sample_id,task,model_name,question,answer
0,sport,mistral_7b_instruct_relpanel,Which sport did Isla Petrov play?,Isla Petrov played soccer.
1,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Hughes play?,Adrian Hughes played rugby league.
2,sport,mistral_7b_instruct_relpanel,Which sport did Bastian Granger play?,Soccer (Football)
3,sport,mistral_7b_instruct_relpanel,Which sport did Lea Evers play?,Tennis
4,sport,mistral_7b_instruct_relpanel,Which sport did Lena Rossi play?,Lena Rossi played soccer.
5,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Schmidt play?,Handball
6,sport,mistral_7b_instruct_relpanel,Which sport did Paula Hartmann play?,Paula Hartmann played tennis.
7,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Parker play?,Nikolai Parker played ice hockey.
8,sport,mistral_7b_instruct_relpanel,Which sport did Oren Lopez play?,Basketball
9,sport,mistral_7b_instruct_relpanel,Which sport did Damian Gibson play?,Damian Gibson played basketball.
10,sport,mistral_7b_instruct_relpanel,Which sport did Paula Weiss play?,"Paula Weiss is a mathematician, not a professional athlete. She is known for her contributions to mathematics, not sports."
11,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Rossi play?,Nikolai Rossi did not play any sport that is widely recognized. It seems there might be a confusion as Nikolai Rossi is not a well-known figure in sports.
12,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Weiss play?,Adrian Weiss played tennis.
13,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Meyer play?,Nikolai Meyer played ice hockey.
14,sport,mistral_7b_instruct_relpanel,Which sport did Greta Gibson play?,Tennis
15,sport,mistral_7b_instruct_relpanel,Which sport did Una Hartmann play?,Una Hartmann played tennis.
16,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Gibson play?,Hanna Gibson played basketball.
17,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Ulrich play?,Nikolai Ulrich played football (soccer).
18,sport,mistral_7b_instruct_relpanel,Which sport did Ria Ulrich play?,Ria Ulrich played soccer.
19,sport,mistral_7b_instruct_relpanel,Which sport did Sara Braun play?,Sara Braun played tennis.
20,sport,mistral_7b_instruct_relpanel,Which sport did Jade Bergman play?,Jade Bergman played soccer.
21,sport,mistral_7b_instruct_relpanel,Which sport did Daria Petrov play?,Tennis
22,sport,mistral_7b_instruct_relpanel,Which sport did Tilda Foster play?,Tennis (according to her Wikipedia page)
23,sport,mistral_7b_instruct_relpanel,Which sport did Mara Meyer play?,Mara Meyer played soccer.
24,sport,mistral_7b_instruct_relpanel,Which sport did Fabian Ingram play?,Fabian Ingram played cricket.
25,sport,mistral_7b_instruct_relpanel,Which sport did Kara Schmidt play?,Kara Schmidt played soccer.
26,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Ingram play?,Adrian Ingram played American football.
27,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Jakobsen play?,Hanna Jakobsen played handball.
28,sport,mistral_7b_instruct_relpanel,Which sport did Damian Ulrich play?,Damian Ulrich played ice hockey.
29,sport,mistral_7b_instruct_relpanel,Which sport did Bastian Gibson play?,Tennis
30,sport,mistral_7b_instruct_relpanel,Which sport did Henrik Meyer play?,Henrik Meyer played handball.
31,sport,mistral_7b_instruct_relpanel,Which sport did Nora Schmidt play?,Nora Schmidt played soccer.
32,sport,mistral_7b_instruct_relpanel,Which sport did Ilias Novak play?,Tennis
33,sport,mistral_7b_instruct_relpanel,Which sport did Gavin Petrov play?,Gavin Petrov played soccer.
34,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Osborne play?,Tennis
35,sport,mistral_7b_instruct_relpanel,Which sport did Elise Jakobsen play?,Elise Jakobsen plays handball.
36,sport,mistral_7b_instruct_relpanel,Which sport did Daria Lopez play?,Daria Lopez played soccer.
37,sport,mistral_7b_instruct_relpanel,Which sport did Kamil Iverson play?,Basketball
38,sport,mistral_7b_instruct_relpanel,Which sport did Sara Osborne play?,Tennis
39,sport,mistral_7b_instruct_relpanel,Which sport did Marko Weiss play?,Soccer (Football)
40,sport,mistral_7b_instruct_relpanel,Which sport did Elise Coleman play?,Elise Coleman plays track and field.
41,sport,mistral_7b_instruct_relpanel,Which sport did Jade Hughes play?,Jade Hughes played soccer.
42,sport,mistral_7b_instruct_relpanel,Which sport did Emil Ulrich play?,Ice hockey
