model_key,variant,n_rel,pearson_syn,pearson_syn_p,spearman_syn,spearman_syn_p
gemma_7b_it,default_chat,15,0.6032232766109371,0.017281612125936905,0.5214285714285714,0.04621923447857302
gemma_7b_it,subj_shallow_chat,15,0.6091975468243842,0.01592402683690062,0.5214285714285714,0.04621923447857302
gemma_7b_it,obj_shallow_chat,15,0.6582395001446684,0.007633098365469795,0.5714285714285713,0.02606319337636288
gemma_7b_it,default_plain,15,0.5729833312994255,0.025567940734913915,0.5285714285714286,0.04279728930945035
llama3_1_8b_instruct,default_chat,15,0.45520965290804355,0.08819009856561129,0.6129071627364191,0.015123417740956385
llama3_1_8b_instruct,subj_shallow_chat,15,0.3277557430153094,0.23303975064814955,0.43727879446691886,0.10311280363758146
llama3_1_8b_instruct,obj_shallow_chat,15,0.45520965290804355,0.08819009856561129,0.6129071627364191,0.015123417740956385
llama3_1_8b_instruct,default_plain,15,0.2594663596706402,0.3503752509418293,0.3870992606756331,0.15402477055979708
mistral_7b_instruct,default_chat,15,0.8329733882853365,0.00011549639043405323,0.841823392448559,8.292280771228803e-05
mistral_7b_instruct,subj_shallow_chat,15,0.8290972439628136,0.00013274929333933314,0.8007152437727271,0.0003350106159404215
mistral_7b_instruct,obj_shallow_chat,15,0.854826189315631,4.9072538421834766e-05,0.8614838113804786,3.678053428695235e-05
mistral_7b_instruct,default_plain,15,0.8117501440112893,0.0002380217864051593,0.831099527576603,0.0001235905054837271
qwen2_5_7b_instruct,default_chat,15,0.4929125720840441,0.06191715833888945,0.6505418130798835,0.008637196684049008
qwen2_5_7b_instruct,subj_shallow_chat,15,0.3924734158597214,0.14789777930907444,0.4910425806718679,0.0630665231902101
qwen2_5_7b_instruct,obj_shallow_chat,15,0.4997542815019693,0.05784147890665823,0.6218677937705773,0.013317587485816369
qwen2_5_7b_instruct,default_plain,15,0.5967634034145259,0.018847874432793482,0.7795748999717611,0.0006106963725141159
