model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,cosine,train,subject_only,75,25,2,0.08,72,1.0,1.0,1.0,1.0,1.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,cosine,train,subject_only,51,17,3,0.17647058823529413,43,0.3333333333333333,1.0,0.4583333333333333,4.333333333333333,4.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,cosine,train,subject_only,60,20,1,0.05,60,0.0,1.0,0.16666666666666666,6.0,6.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,cosine,train,subject_only,223,75,6,0.08,220,0.3333333333333333,0.6666666666666666,0.44912319481285,8.5,4.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,cosine,train,subject_only,505,169,146,0.863905325443787,141,0.00684931506849315,0.0684931506849315,0.03451097176674894,78.63013698630137,93.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,cosine,train,subject_only,627,209,197,0.9425837320574163,79,0.01015228426395939,0.08121827411167512,0.04864990099066593,47.015228426395936,59.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,cosine,train,subject_only,710,237,237,1.0,5,0.3924050632911392,1.0,0.6490857946554147,1.9367088607594938,2.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,cosine,train,subject_only,57,19,18,0.9473684210526315,9,0.0,1.0,0.2316798941798942,5.0,5.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,cosine,train,subject_only,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,cosine,train,subject_only,743,248,6,0.024193548387096774,727,0.6666666666666666,0.8333333333333334,0.6931372549019607,5.166666666666667,1.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,cosine,train,subject_only,745,249,16,0.0642570281124498,729,0.0,0.3125,0.07997966344284323,88.5625,28.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,cosine,train,subject_only,689,230,225,0.9782608695652174,27,0.008888888888888889,0.13333333333333333,0.09173363076286312,15.96,17.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,cosine,train,subject_only,615,206,204,0.9902912621359223,29,0.04411764705882353,0.3284313725490196,0.13220025691280726,17.691176470588236,21.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,cosine,train,subject_only,384,129,129,1.0,6,0.09302325581395349,1.0,0.39741602067183496,3.13953488372093,3.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,cosine,train,subject_only,714,238,237,0.9957983193277311,13,0.1518987341772152,0.9873417721518988,0.3853655018211979,4.118143459915612,4.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,cosine,train,subject_only,238,80,80,1.0,5,0.35,1.0,0.561666666666667,2.675,2.0,306.1748962402344
qwen2_5_7b_instruct,person_university,cosine,train,subject_only,68,23,5,0.21739130434782608,52,0.0,0.4,0.1009181450357921,15.6,17.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,cosine,train,subject_only,33,11,0,0.0,33,nan,nan,nan,nan,nan,243.78701782226562
qwen2_5_7b_instruct,product_by_company,cosine,train,subject_only,391,131,129,0.9847328244274809,28,0.0,0.2868217054263566,0.10868173842661777,12.751937984496124,13.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,cosine,train,subject_only,271,91,87,0.9560439560439561,28,0.22988505747126436,0.8390804597701149,0.3733577027610159,6.609195402298851,5.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,cosine,train,subject_only,37,13,13,1.0,3,0.46153846153846156,1.0,0.6923076923076923,1.7692307692307692,2.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,cosine,train,subject_only,72,24,3,0.125,69,0.0,0.0,0.028480353890189953,39.666666666666664,30.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,cosine,train,subject_only,75,25,0,0.0,75,nan,nan,nan,nan,nan,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,cosine,train,subject_only,39,13,0,0.0,38,nan,nan,nan,nan,nan,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,cosine,train,subject_only,57,19,0,0.0,57,nan,nan,nan,nan,nan,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,cosine,train,subject_only,180,61,61,1.0,25,0.639344262295082,1.0,0.7691647150663545,1.8852459016393444,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,cosine,train,subject_only,180,61,61,1.0,18,0.21311475409836064,0.8032786885245902,0.41139905845788194,5.573770491803279,3.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,cosine,train,subject_only,45,15,15,1.0,3,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,387.233642578125
