model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,euclidean,all,75,25,25,1.0,95,0.0,0.2,0.06770745711399931,41.84,38.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,euclidean,all,51,17,17,1.0,57,0.17647058823529413,0.29411764705882354,0.21298068266229597,26.88235294117647,25.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,euclidean,all,60,20,20,1.0,79,0.15,0.3,0.20319443925686903,33.5,42.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,euclidean,all,223,75,75,1.0,287,0.0,0.02666666666666667,0.019355312738028575,134.66666666666666,134.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,euclidean,all,505,169,169,1.0,163,0.011834319526627219,0.33136094674556216,0.09757044594980605,44.14792899408284,24.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,euclidean,all,627,209,209,1.0,91,0.10526315789473684,0.45454545454545453,0.20108979927162968,22.784688995215312,13.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,euclidean,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.8178621659634318,1.6582278481012658,1.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,euclidean,all,57,19,19,1.0,10,0.3157894736842105,1.0,0.5469924812030075,2.8947368421052633,2.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,euclidean,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,euclidean,all,743,248,248,1.0,968,0.004032258064516129,0.016129032258064516,0.01254987182488337,418.96774193548384,402.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,euclidean,all,745,249,249,1.0,962,0.0,0.01606425702811245,0.009858580638975732,464.28915662650604,445.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,euclidean,all,689,230,230,1.0,30,0.6478260869565218,0.8565217391304348,0.7452412478107685,3.4869565217391303,1.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,euclidean,all,615,206,206,1.0,31,0.33495145631067963,0.7766990291262136,0.46427582846666404,6.194174757281553,4.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,euclidean,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6421188630490957,2.0697674418604652,2.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,euclidean,all,714,238,238,1.0,14,0.42016806722689076,0.9873949579831933,0.5880003516558142,3.3781512605042017,2.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,euclidean,all,238,80,80,1.0,5,0.2,1.0,0.44125,3.1,3.0,306.1748962402344
qwen2_5_7b_instruct,person_university,euclidean,all,68,23,23,1.0,69,0.0,0.21739130434782608,0.07117197109329611,30.73913043478261,26.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,euclidean,all,33,11,11,1.0,44,0.0,0.2727272727272727,0.08443972867954058,21.818181818181817,18.0,243.78701782226562
qwen2_5_7b_instruct,product_by_company,euclidean,all,391,131,131,1.0,30,0.2595419847328244,0.7480916030534351,0.3867993544491064,8.183206106870228,5.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,euclidean,all,271,91,91,1.0,31,0.16483516483516483,0.7362637362637363,0.2859954561768732,8.219780219780219,7.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,euclidean,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,euclidean,all,72,24,24,1.0,90,0.041666666666666664,0.16666666666666666,0.11858818178302431,39.041666666666664,44.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,euclidean,all,75,25,25,1.0,100,0.0,0.2,0.04673811907951064,57.52,67.0,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,euclidean,all,39,13,13,1.0,51,0.0,0.23076923076923078,0.06316451864125901,26.076923076923077,26.0,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,euclidean,all,57,19,19,1.0,76,0.3157894736842105,0.5263157894736842,0.3921459076948713,22.42105263157895,7.0,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,euclidean,all,180,61,61,1.0,25,0.6229508196721312,0.8852459016393442,0.7030451369503797,3.918032786885246,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,euclidean,all,180,61,61,1.0,18,0.22950819672131148,0.6885245901639344,0.3842899586752045,6.377049180327869,4.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,euclidean,all,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,387.233642578125
