model_key,relation_key,n,hall,ref,other,relation_group,hall_rate,lre_n,cos_improvement
llama3_1_8b_base,company_ceo,200,111,89,0,factual,0.555,75,0.5664451122283936
llama3_1_8b_base,company_hq,200,199,1,0,factual,0.995,169,0.664017915725708
llama3_1_8b_base,landmark_in_country,200,182,18,0,factual,0.91,209,0.7381425499916077
llama3_1_8b_base,landmark_on_continent,200,158,42,0,factual,0.79,237,0.7742034792900085
llama3_1_8b_base,person_father,200,26,174,0,factual,0.13,248,0.5227635502815247
llama3_1_8b_base,person_mother,200,14,186,0,factual,0.07,249,0.5028377175331116
llama3_1_8b_base,person_occupation,200,197,3,0,factual,0.985,206,0.7781861424446106
llama3_1_8b_base,person_plays_instrument,200,162,38,0,factual,0.81,129,0.7859238386154175
llama3_1_8b_base,person_plays_position_in_sport,200,177,23,0,factual,0.885,238,0.7855201363563538
llama3_1_8b_base,person_plays_pro_sport,200,187,13,0,factual,0.935,80,0.8033220171928406
llama3_1_8b_base,person_university,200,111,89,0,factual,0.555,23,0.6753845810890198
llama3_1_8b_base,product_by_company,200,186,14,0,factual,0.93,131,0.6448284387588501
llama3_1_8b_base,star_constellation,200,151,49,0,factual,0.755,91,0.6474343538284302
llama3_1_8b_base,superhero_archnemesis,200,124,76,0,factual,0.62,24,0.5648308992385864
llama3_1_8b_base,superhero_person,200,11,189,0,factual,0.055,25,0.6274425387382507
