model_key,relation_key,relation_group,relation_name,n_used_chat,n_used_plain,delta_cos_mean_test_chat,delta_cos_mean_test_plain,delta_diff_chat_minus_plain,subject_layer_chat,object_layer_chat,subject_layer_plain,object_layer_plain
llama3_1_8b_instruct,company_ceo,factual,company_ceo,298,298,0.6132782697677612,0.693597674369812,-0.080319,16,30,16,30
llama3_1_8b_instruct,company_hq,factual,company_hq,674,674,0.5848116874694824,0.5850859880447388,-0.000274,16,30,16,30
llama3_1_8b_instruct,landmark_in_country,factual,landmark_in_country,836,836,0.6142134666442871,0.6152938604354858,-0.001080,16,30,16,30
llama3_1_8b_instruct,landmark_on_continent,factual,landmark_on_continent,947,947,0.6960952877998352,0.6730756759643555,0.023020,16,30,16,30
llama3_1_8b_instruct,object_superclass,commonsense,object_superclass,76,76,0.6067107319831848,0.6119386553764343,-0.005228,16,30,16,30
llama3_1_8b_instruct,occupation_age,bias,occupation_age,45,45,0.6681158542633057,0.6651508212089539,0.002965,16,30,16,30
llama3_1_8b_instruct,person_father,factual,person_father,991,991,0.588173508644104,0.6252703070640564,-0.037097,16,30,16,30
llama3_1_8b_instruct,person_mother,factual,person_mother,994,994,0.5939101576805115,0.6387864947319031,-0.044876,16,30,16,30
llama3_1_8b_instruct,person_native_language,bias,person_native_language,919,919,0.6979237198829651,0.7114022970199585,-0.013479,16,30,16,30
llama3_1_8b_instruct,person_occupation,factual,person_occupation,821,821,0.6167792081832886,0.6701974272727966,-0.053418,16,30,16,30
llama3_1_8b_instruct,person_plays_instrument,factual,person_plays_instrument,513,513,0.7216948866844177,0.7394185662269592,-0.017724,16,30,16,30
llama3_1_8b_instruct,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,0.6373834013938904,0.6020659804344177,0.035317,16,30,16,30
llama3_1_8b_instruct,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,0.6446248888969421,0.7208093404769897,-0.076184,16,30,16,30
llama3_1_8b_instruct,person_university,factual,person_university,91,91,0.6357534527778625,0.6395126581192017,-0.003759,16,30,16,30
llama3_1_8b_instruct,product_by_company,factual,product_by_company,522,522,0.552331268787384,0.5881890654563904,-0.035858,16,30,16,30
llama3_1_8b_instruct,star_constellation,factual,star_constellation,362,362,0.5876062512397766,0.6002018451690674,-0.012596,16,30,16,30
llama3_1_8b_instruct,substance_phase,commonsense,substance_phase,50,50,0.6565148830413818,0.7031323909759521,-0.046618,16,30,16,30
llama3_1_8b_instruct,superhero_archnemesis,factual,superhero_archnemesis,96,96,0.5596081614494324,0.595162034034729,-0.035554,16,30,16,30
llama3_1_8b_instruct,superhero_person,factual,superhero_person,100,100,0.585985541343689,0.651264488697052,-0.065279,16,30,16,30
llama3_1_8b_instruct,task_done_by_tool,commonsense,task_done_by_tool,52,52,0.5604146122932434,0.5414351224899292,0.018979,16,30,16,30
llama3_1_8b_instruct,word_sentiment,commonsense,word_sentiment,60,60,0.6719135642051697,0.6833052039146423,-0.011392,16,30,16,30
gemma_7b_it,company_ceo,factual,company_ceo,298,298,0.4598595201969147,0.440260112285614,0.019599,14,26,14,26
gemma_7b_it,company_hq,factual,company_hq,674,674,0.6782824993133545,0.6451324820518494,0.033150,14,26,14,26
gemma_7b_it,landmark_in_country,factual,landmark_in_country,836,836,0.8109847903251648,0.750450611114502,0.060534,14,26,14,26
gemma_7b_it,landmark_on_continent,factual,landmark_on_continent,947,947,0.7809144258499146,0.7937581539154053,-0.012844,14,26,14,26
gemma_7b_it,object_superclass,commonsense,object_superclass,76,76,0.8222200274467468,0.7768341302871704,0.045386,14,26,14,26
gemma_7b_it,occupation_age,bias,occupation_age,45,45,0.8224641680717468,0.7481443881988525,0.074320,14,26,14,26
gemma_7b_it,person_father,factual,person_father,991,991,0.5095401406288147,0.4925591051578522,0.016981,14,26,14,26
gemma_7b_it,person_mother,factual,person_mother,994,994,0.47774919867515564,0.4661955237388611,0.011554,14,26,14,26
gemma_7b_it,person_native_language,bias,person_native_language,919,919,0.831462562084198,0.7857978940010071,0.045665,14,26,14,26
gemma_7b_it,person_occupation,factual,person_occupation,821,821,0.7826636433601379,0.7704560160636902,0.012208,14,26,14,26
gemma_7b_it,person_plays_instrument,factual,person_plays_instrument,513,513,0.8146815299987793,0.8002429604530334,0.014439,14,26,14,26
gemma_7b_it,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,0.7479735016822815,0.7599588632583618,-0.011985,14,26,14,26
gemma_7b_it,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,0.8236700296401978,0.7855754494667053,0.038095,14,26,14,26
