model_key,relation_key,CORRECT,HALLUCINATION,REFUSAL,UNKNOWN,n_total,n_refusal,n_correct,n_hall,answered_n,noncorrect_n,hall_rate_answered,hall_rate_noncorrect
gemma_7b_it,adj_antonym,73,27,0,0,100,0,73,27,100,27,0.27,1.0
gemma_7b_it,adj_comparative,62,6,0,0,68,0,62,6,68,6,0.08823529411764706,1.0
gemma_7b_it,adj_superlative,60,20,0,0,80,0,60,20,80,20,0.25,1.0
gemma_7b_it,characteristic_gender,18,12,0,0,30,0,18,12,30,12,0.4,1.0
gemma_7b_it,city_in_country,26,1,0,0,27,0,26,1,27,1,0.037037037037037035,1.0
gemma_7b_it,company_ceo,76,167,55,0,298,55,76,167,243,222,0.6872427983539094,0.7522522522522522
gemma_7b_it,company_hq,292,273,109,0,674,109,292,273,565,382,0.4831858407079646,0.7146596858638743
gemma_7b_it,country_capital_city,23,1,0,0,24,0,23,1,24,1,0.041666666666666664,1.0
gemma_7b_it,country_currency,30,0,0,0,30,0,30,0,30,0,0.0,
gemma_7b_it,country_language,23,1,0,0,24,0,23,1,24,1,0.041666666666666664,1.0
gemma_7b_it,country_largest_city,22,2,0,0,24,0,22,2,24,2,0.08333333333333333,1.0
gemma_7b_it,degree_gender,8,30,0,0,38,0,8,30,38,30,0.7894736842105263,1.0
gemma_7b_it,food_from_country,24,6,0,0,30,0,24,6,30,6,0.2,1.0
gemma_7b_it,fruit_inside_color,21,15,0,0,36,0,21,15,36,15,0.4166666666666667,1.0
gemma_7b_it,fruit_outside_color,17,13,0,0,30,0,17,13,30,13,0.43333333333333335,1.0
gemma_7b_it,landmark_in_country,509,276,51,0,836,51,509,276,785,327,0.35159235668789807,0.8440366972477065
gemma_7b_it,landmark_on_continent,324,594,29,0,947,29,324,594,918,623,0.6470588235294118,0.9534510433386838
gemma_7b_it,name_birthplace,19,4,8,0,31,8,19,4,23,12,0.17391304347826086,0.3333333333333333
gemma_7b_it,name_gender,19,0,0,0,19,0,19,0,19,0,0.0,
gemma_7b_it,name_religion,17,0,14,0,31,14,17,0,17,14,0.0,0.0
gemma_7b_it,object_superclass,60,16,0,0,76,0,60,16,76,16,0.21052631578947367,1.0
gemma_7b_it,occupation_age,28,17,0,0,45,0,28,17,45,17,0.37777777777777777,1.0
gemma_7b_it,occupation_gender,12,7,0,0,19,0,12,7,19,7,0.3684210526315789,1.0
gemma_7b_it,person_band_lead_singer,21,0,0,0,21,0,21,0,21,0,0.0,
gemma_7b_it,person_father,74,126,791,0,991,791,74,126,200,917,0.63,0.13740458015267176
gemma_7b_it,person_mother,63,125,806,0,994,806,63,125,188,931,0.6648936170212766,0.13426423200859292
gemma_7b_it,person_native_language,674,226,19,0,919,19,674,226,900,245,0.2511111111111111,0.9224489795918367
gemma_7b_it,person_occupation,183,576,62,0,821,62,183,576,759,638,0.758893280632411,0.9028213166144201
gemma_7b_it,person_plays_instrument,227,285,1,0,513,1,227,285,512,286,0.556640625,0.9965034965034965
gemma_7b_it,person_plays_position_in_sport,260,681,11,0,952,11,260,681,941,692,0.7236981934112646,0.9841040462427746
gemma_7b_it,person_plays_pro_sport,259,59,0,0,318,0,259,59,318,59,0.18553459119496854,1.0
gemma_7b_it,person_university,27,64,0,0,91,0,27,64,91,64,0.7032967032967034,1.0
gemma_7b_it,pokemon_evolutions,17,27,0,0,44,0,17,27,44,27,0.6136363636363636,1.0
gemma_7b_it,presidents_birth_year,0,12,7,0,19,7,0,12,12,19,1.0,0.631578947368421
gemma_7b_it,presidents_election_year,12,7,0,0,19,0,12,7,19,7,0.3684210526315789,1.0
gemma_7b_it,product_by_company,326,194,2,0,522,2,326,194,520,196,0.3730769230769231,0.9897959183673469
gemma_7b_it,star_constellation,243,119,0,0,362,0,243,119,362,119,0.3287292817679558,1.0
gemma_7b_it,substance_phase,44,6,0,0,50,0,44,6,50,6,0.12,1.0
gemma_7b_it,superhero_archnemesis,18,78,0,0,96,0,18,78,96,78,0.8125,1.0
gemma_7b_it,superhero_person,40,57,3,0,100,3,40,57,97,60,0.5876288659793815,0.95
gemma_7b_it,task_done_by_person,26,6,0,0,32,0,26,6,32,6,0.1875,1.0
gemma_7b_it,task_done_by_tool,31,21,0,0,52,0,31,21,52,21,0.40384615384615385,1.0
gemma_7b_it,verb_past_tense,73,3,0,0,76,0,73,3,76,3,0.039473684210526314,1.0
gemma_7b_it,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,
gemma_7b_it,word_last_letter,192,49,0,0,241,0,192,49,241,49,0.2033195020746888,1.0
gemma_7b_it,word_sentiment,55,5,0,0,60,0,55,5,60,5,0.08333333333333333,1.0
gemma_7b_it,work_location,24,14,0,0,38,0,24,14,38,14,0.3684210526315789,1.0
llama3_1_8b_instruct,adj_antonym,75,25,0,0,100,0,75,25,100,25,0.25,1.0
llama3_1_8b_instruct,adj_comparative,64,4,0,0,68,0,64,4,68,4,0.058823529411764705,1.0
llama3_1_8b_instruct,adj_superlative,60,20,0,0,80,0,60,20,80,20,0.25,1.0
llama3_1_8b_instruct,characteristic_gender,30,0,0,0,30,0,30,0,30,0,0.0,
llama3_1_8b_instruct,city_in_country,26,1,0,0,27,0,26,1,27,1,0.037037037037037035,1.0
llama3_1_8b_instruct,company_ceo,137,132,29,0,298,29,137,132,269,161,0.49070631970260226,0.8198757763975155
llama3_1_8b_instruct,company_hq,447,171,56,0,674,56,447,171,618,227,0.2766990291262136,0.7533039647577092
llama3_1_8b_instruct,country_capital_city,24,0,0,0,24,0,24,0,24,0,0.0,
llama3_1_8b_instruct,country_currency,29,1,0,0,30,0,29,1,30,1,0.03333333333333333,1.0
llama3_1_8b_instruct,country_language,22,2,0,0,24,0,22,2,24,2,0.08333333333333333,1.0
llama3_1_8b_instruct,country_largest_city,23,1,0,0,24,0,23,1,24,1,0.041666666666666664,1.0
llama3_1_8b_instruct,degree_gender,36,2,0,0,38,0,36,2,38,2,0.05263157894736842,1.0
llama3_1_8b_instruct,food_from_country,26,4,0,0,30,0,26,4,30,4,0.13333333333333333,1.0
llama3_1_8b_instruct,fruit_inside_color,12,24,0,0,36,0,12,24,36,24,0.6666666666666666,1.0
llama3_1_8b_instruct,fruit_outside_color,17,13,0,0,30,0,17,13,30,13,0.43333333333333335,1.0
llama3_1_8b_instruct,landmark_in_country,739,92,5,0,836,5,739,92,831,97,0.11070998796630566,0.9484536082474226
llama3_1_8b_instruct,landmark_on_continent,736,190,21,0,947,21,736,190,926,211,0.20518358531317496,0.9004739336492891
llama3_1_8b_instruct,name_birthplace,26,5,0,0,31,0,26,5,31,5,0.16129032258064516,1.0
llama3_1_8b_instruct,name_gender,19,0,0,0,19,0,19,0,19,0,0.0,
llama3_1_8b_instruct,name_religion,22,4,5,0,31,5,22,4,26,9,0.15384615384615385,0.4444444444444444
llama3_1_8b_instruct,object_superclass,57,19,0,0,76,0,57,19,76,19,0.25,1.0
llama3_1_8b_instruct,occupation_age,24,21,0,0,45,0,24,21,45,21,0.4666666666666667,1.0
llama3_1_8b_instruct,occupation_gender,19,0,0,0,19,0,19,0,19,0,0.0,
llama3_1_8b_instruct,person_band_lead_singer,21,0,0,0,21,0,21,0,21,0,0.0,
llama3_1_8b_instruct,person_father,543,434,14,0,991,14,543,434,977,448,0.44421699078812693,0.96875
llama3_1_8b_instruct,person_mother,363,612,19,0,994,19,363,612,975,631,0.6276923076923077,0.9698890649762282
llama3_1_8b_instruct,person_native_language,772,143,4,0,919,4,772,143,915,147,0.15628415300546447,0.9727891156462585
llama3_1_8b_instruct,person_occupation,495,317,9,0,821,9,495,317,812,326,0.39039408866995073,0.9723926380368099
llama3_1_8b_instruct,person_plays_instrument,312,179,22,0,513,22,312,179,491,201,0.3645621181262729,0.8905472636815921
llama3_1_8b_instruct,person_plays_position_in_sport,717,156,79,0,952,79,717,156,873,235,0.17869415807560138,0.6638297872340425
llama3_1_8b_instruct,person_plays_pro_sport,298,18,2,0,318,2,298,18,316,20,0.056962025316455694,0.9
llama3_1_8b_instruct,person_university,35,56,0,0,91,0,35,56,91,56,0.6153846153846154,1.0
llama3_1_8b_instruct,pokemon_evolutions,39,4,1,0,44,1,39,4,43,5,0.09302325581395349,0.8
llama3_1_8b_instruct,presidents_birth_year,0,19,0,0,19,0,0,19,19,19,1.0,1.0
llama3_1_8b_instruct,presidents_election_year,11,8,0,0,19,0,11,8,19,8,0.42105263157894735,1.0
llama3_1_8b_instruct,product_by_company,411,107,4,0,522,4,411,107,518,111,0.20656370656370657,0.963963963963964
llama3_1_8b_instruct,star_constellation,278,83,1,0,362,1,278,83,361,84,0.2299168975069252,0.9880952380952381
llama3_1_8b_instruct,substance_phase,48,2,0,0,50,0,48,2,50,2,0.04,1.0
llama3_1_8b_instruct,superhero_archnemesis,38,58,0,0,96,0,38,58,96,58,0.6041666666666666,1.0
llama3_1_8b_instruct,superhero_person,59,36,5,0,100,5,59,36,95,41,0.37894736842105264,0.8780487804878049
llama3_1_8b_instruct,task_done_by_person,25,7,0,0,32,0,25,7,32,7,0.21875,1.0
llama3_1_8b_instruct,task_done_by_tool,29,23,0,0,52,0,29,23,52,23,0.4423076923076923,1.0
llama3_1_8b_instruct,verb_past_tense,75,1,0,0,76,0,75,1,76,1,0.013157894736842105,1.0
llama3_1_8b_instruct,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,
llama3_1_8b_instruct,word_last_letter,236,5,0,0,241,0,236,5,241,5,0.02074688796680498,1.0
llama3_1_8b_instruct,word_sentiment,59,1,0,0,60,0,59,1,60,1,0.016666666666666666,1.0
llama3_1_8b_instruct,work_location,25,13,0,0,38,0,25,13,38,13,0.34210526315789475,1.0
mistral_7b_instruct,adj_antonym,72,28,0,0,100,0,72,28,100,28,0.28,1.0
mistral_7b_instruct,adj_comparative,58,10,0,0,68,0,58,10,68,10,0.14705882352941177,1.0
mistral_7b_instruct,adj_superlative,65,15,0,0,80,0,65,15,80,15,0.1875,1.0
mistral_7b_instruct,characteristic_gender,0,30,0,0,30,0,0,30,30,30,1.0,1.0
mistral_7b_instruct,city_in_country,26,1,0,0,27,0,26,1,27,1,0.037037037037037035,1.0
mistral_7b_instruct,company_ceo,168,108,22,0,298,22,168,108,276,130,0.391304347826087,0.8307692307692308
mistral_7b_instruct,company_hq,452,193,29,0,674,29,452,193,645,222,0.2992248062015504,0.8693693693693694
mistral_7b_instruct,country_capital_city,21,3,0,0,24,0,21,3,24,3,0.125,1.0
mistral_7b_instruct,country_currency,29,1,0,0,30,0,29,1,30,1,0.03333333333333333,1.0
mistral_7b_instruct,country_language,21,3,0,0,24,0,21,3,24,3,0.125,1.0
mistral_7b_instruct,country_largest_city,22,2,0,0,24,0,22,2,24,2,0.08333333333333333,1.0
mistral_7b_instruct,degree_gender,0,23,15,0,38,15,0,23,23,38,1.0,0.6052631578947368
mistral_7b_instruct,food_from_country,29,1,0,0,30,0,29,1,30,1,0.03333333333333333,1.0
mistral_7b_instruct,fruit_inside_color,20,16,0,0,36,0,20,16,36,16,0.4444444444444444,1.0
mistral_7b_instruct,fruit_outside_color,20,10,0,0,30,0,20,10,30,10,0.3333333333333333,1.0
mistral_7b_instruct,landmark_in_country,714,111,11,0,836,11,714,111,825,122,0.13454545454545455,0.9098360655737705
mistral_7b_instruct,landmark_on_continent,584,335,28,0,947,28,584,335,919,363,0.3645266594124048,0.9228650137741047
mistral_7b_instruct,name_birthplace,26,3,2,0,31,2,26,3,29,5,0.10344827586206896,0.6
mistral_7b_instruct,name_gender,19,0,0,0,19,0,19,0,19,0,0.0,
mistral_7b_instruct,name_religion,14,0,17,0,31,17,14,0,14,17,0.0,0.0
mistral_7b_instruct,object_superclass,49,27,0,0,76,0,49,27,76,27,0.35526315789473684,1.0
mistral_7b_instruct,occupation_age,11,22,12,0,45,12,11,22,33,34,0.6666666666666666,0.6470588235294118
mistral_7b_instruct,occupation_gender,1,13,5,0,19,5,1,13,14,18,0.9285714285714286,0.7222222222222222
mistral_7b_instruct,person_band_lead_singer,21,0,0,0,21,0,21,0,21,0,0.0,
mistral_7b_instruct,person_father,445,489,57,0,991,57,445,489,934,546,0.5235546038543897,0.8956043956043956
mistral_7b_instruct,person_mother,293,571,130,0,994,130,293,571,864,701,0.6608796296296297,0.8145506419400856
mistral_7b_instruct,person_native_language,809,89,21,0,919,21,809,89,898,110,0.09910913140311804,0.8090909090909091
mistral_7b_instruct,person_occupation,395,382,44,0,821,44,395,382,777,426,0.49163449163449163,0.8967136150234741
mistral_7b_instruct,person_plays_instrument,274,205,34,0,513,34,274,205,479,239,0.4279749478079332,0.8577405857740585
mistral_7b_instruct,person_plays_position_in_sport,530,346,76,0,952,76,530,346,876,422,0.3949771689497717,0.8199052132701422
mistral_7b_instruct,person_plays_pro_sport,288,25,5,0,318,5,288,25,313,30,0.07987220447284345,0.8333333333333334
mistral_7b_instruct,person_university,30,60,1,0,91,1,30,60,90,61,0.6666666666666666,0.9836065573770492
mistral_7b_instruct,pokemon_evolutions,34,10,0,0,44,0,34,10,44,10,0.22727272727272727,1.0
mistral_7b_instruct,presidents_birth_year,0,19,0,0,19,0,0,19,19,19,1.0,1.0
mistral_7b_instruct,presidents_election_year,18,1,0,0,19,0,18,1,19,1,0.05263157894736842,1.0
mistral_7b_instruct,product_by_company,404,117,1,0,522,1,404,117,521,118,0.22456813819577734,0.9915254237288136
mistral_7b_instruct,star_constellation,268,91,3,0,362,3,268,91,359,94,0.25348189415041783,0.9680851063829787
mistral_7b_instruct,substance_phase,48,2,0,0,50,0,48,2,50,2,0.04,1.0
mistral_7b_instruct,superhero_archnemesis,40,55,1,0,96,1,40,55,95,56,0.5789473684210527,0.9821428571428571
mistral_7b_instruct,superhero_person,64,35,1,0,100,1,64,35,99,36,0.35353535353535354,0.9722222222222222
mistral_7b_instruct,task_done_by_person,24,8,0,0,32,0,24,8,32,8,0.25,1.0
mistral_7b_instruct,task_done_by_tool,28,23,1,0,52,1,28,23,51,24,0.45098039215686275,0.9583333333333334
mistral_7b_instruct,verb_past_tense,73,3,0,0,76,0,73,3,76,3,0.039473684210526314,1.0
mistral_7b_instruct,word_first_letter,240,1,0,0,241,0,240,1,241,1,0.004149377593360996,1.0
mistral_7b_instruct,word_last_letter,171,70,0,0,241,0,171,70,241,70,0.29045643153526973,1.0
mistral_7b_instruct,word_sentiment,59,1,0,0,60,0,59,1,60,1,0.016666666666666666,1.0
mistral_7b_instruct,work_location,29,9,0,0,38,0,29,9,38,9,0.23684210526315788,1.0
qwen2_5_7b_instruct,adj_antonym,71,29,0,0,100,0,71,29,100,29,0.29,1.0
qwen2_5_7b_instruct,adj_comparative,62,6,0,0,68,0,62,6,68,6,0.08823529411764706,1.0
qwen2_5_7b_instruct,adj_superlative,59,21,0,0,80,0,59,21,80,21,0.2625,1.0
qwen2_5_7b_instruct,characteristic_gender,5,24,1,0,30,1,5,24,29,25,0.8275862068965517,0.96
qwen2_5_7b_instruct,city_in_country,26,1,0,0,27,0,26,1,27,1,0.037037037037037035,1.0
qwen2_5_7b_instruct,company_ceo,105,187,6,0,298,6,105,187,292,193,0.6404109589041096,0.9689119170984456
qwen2_5_7b_instruct,company_hq,324,345,5,0,674,5,324,345,669,350,0.515695067264574,0.9857142857142858
qwen2_5_7b_instruct,country_capital_city,24,0,0,0,24,0,24,0,24,0,0.0,
qwen2_5_7b_instruct,country_currency,30,0,0,0,30,0,30,0,30,0,0.0,
qwen2_5_7b_instruct,country_language,21,3,0,0,24,0,21,3,24,3,0.125,1.0
qwen2_5_7b_instruct,country_largest_city,23,1,0,0,24,0,23,1,24,1,0.041666666666666664,1.0
qwen2_5_7b_instruct,degree_gender,11,27,0,0,38,0,11,27,38,27,0.7105263157894737,1.0
qwen2_5_7b_instruct,food_from_country,26,4,0,0,30,0,26,4,30,4,0.13333333333333333,1.0
qwen2_5_7b_instruct,fruit_inside_color,20,16,0,0,36,0,20,16,36,16,0.4444444444444444,1.0
qwen2_5_7b_instruct,fruit_outside_color,19,11,0,0,30,0,19,11,30,11,0.36666666666666664,1.0
qwen2_5_7b_instruct,landmark_in_country,659,160,17,0,836,17,659,160,819,177,0.19536019536019536,0.903954802259887
qwen2_5_7b_instruct,landmark_on_continent,679,255,13,0,947,13,679,255,934,268,0.27301927194860814,0.9514925373134329
qwen2_5_7b_instruct,name_birthplace,28,3,0,0,31,0,28,3,31,3,0.0967741935483871,1.0
qwen2_5_7b_instruct,name_gender,19,0,0,0,19,0,19,0,19,0,0.0,
qwen2_5_7b_instruct,name_religion,28,2,1,0,31,1,28,2,30,3,0.06666666666666667,0.6666666666666666
qwen2_5_7b_instruct,object_superclass,53,23,0,0,76,0,53,23,76,23,0.3026315789473684,1.0
qwen2_5_7b_instruct,occupation_age,23,6,16,0,45,16,23,6,29,22,0.20689655172413793,0.2727272727272727
qwen2_5_7b_instruct,occupation_gender,2,11,6,0,19,6,2,11,13,17,0.8461538461538461,0.6470588235294118
qwen2_5_7b_instruct,person_band_lead_singer,21,0,0,0,21,0,21,0,21,0,0.0,
qwen2_5_7b_instruct,person_father,231,747,13,0,991,13,231,747,978,760,0.7638036809815951,0.9828947368421053
qwen2_5_7b_instruct,person_mother,101,883,10,0,994,10,101,883,984,893,0.8973577235772358,0.9888017917133258
qwen2_5_7b_instruct,person_native_language,810,109,0,0,919,0,810,109,919,109,0.11860718171926006,1.0
qwen2_5_7b_instruct,person_occupation,244,576,1,0,821,1,244,576,820,577,0.7024390243902439,0.9982668977469671
qwen2_5_7b_instruct,person_plays_instrument,207,303,3,0,513,3,207,303,510,306,0.5941176470588235,0.9901960784313726
qwen2_5_7b_instruct,person_plays_position_in_sport,368,584,0,0,952,0,368,584,952,584,0.6134453781512605,1.0
qwen2_5_7b_instruct,person_plays_pro_sport,272,45,1,0,318,1,272,45,317,46,0.14195583596214512,0.9782608695652174
qwen2_5_7b_instruct,person_university,27,64,0,0,91,0,27,64,91,64,0.7032967032967034,1.0
qwen2_5_7b_instruct,pokemon_evolutions,26,18,0,0,44,0,26,18,44,18,0.4090909090909091,1.0
qwen2_5_7b_instruct,presidents_birth_year,0,19,0,0,19,0,0,19,19,19,1.0,1.0
qwen2_5_7b_instruct,presidents_election_year,18,1,0,0,19,0,18,1,19,1,0.05263157894736842,1.0
qwen2_5_7b_instruct,product_by_company,363,158,1,0,522,1,363,158,521,159,0.30326295585412666,0.9937106918238994
qwen2_5_7b_instruct,star_constellation,277,85,0,0,362,0,277,85,362,85,0.23480662983425415,1.0
qwen2_5_7b_instruct,substance_phase,50,0,0,0,50,0,50,0,50,0,0.0,
qwen2_5_7b_instruct,superhero_archnemesis,25,71,0,0,96,0,25,71,96,71,0.7395833333333334,1.0
qwen2_5_7b_instruct,superhero_person,39,59,2,0,100,2,39,59,98,61,0.6020408163265306,0.9672131147540983
qwen2_5_7b_instruct,task_done_by_person,28,4,0,0,32,0,28,4,32,4,0.125,1.0
qwen2_5_7b_instruct,task_done_by_tool,25,27,0,0,52,0,25,27,52,27,0.5192307692307693,1.0
qwen2_5_7b_instruct,verb_past_tense,75,1,0,0,76,0,75,1,76,1,0.013157894736842105,1.0
qwen2_5_7b_instruct,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,
qwen2_5_7b_instruct,word_last_letter,204,37,0,0,241,0,204,37,241,37,0.15352697095435686,1.0
qwen2_5_7b_instruct,word_sentiment,60,0,0,0,60,0,60,0,60,0,0.0,
qwen2_5_7b_instruct,work_location,24,14,0,0,38,0,24,14,38,14,0.3684210526315789,1.0
