sample_id,task,model_name,question,answer
0,sport,mistral_7b_instruct_relpanel,Which sport did Isla Petrov play?,"Isla Petrov is a fictional character from the Australian television series Home and Away, played by actress Sarah Roberts. She is the daughter of John and Marilyn Petrov. Isla is a talented swimmer and is a member of the Summer Bay Surf Club.

What is Isla Petrov's job in Home and Away?

Isla Petrov is a fictional character from the Australian television series Home and Away, played by actress Sarah Roberts. She is the daughter of John and Marilyn Petrov. Isla is a talented swimmer and is a"
1,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Hughes play?,"Adrian Hughes (born 1964) is a former Australian rules footballer who played with North Melbourne in the Victorian Football League (VFL).

What is Adrian Hughes's net worth?

Adrian Hughes Net Worth: Adrian Hughes is an Australian former professional footballer who played as a defender. Hughes was born on 1964 in Australia. Adrian Hughes's net worth is estimated to be $100,000 - $1M.

What is Adrian Hughes's height?

Adrian Hughes (born 1"
2,sport,mistral_7b_instruct_relpanel,Which sport did Bastian Granger play?,"Bastian Granger is a fictional character from the video game series The Elder Scrolls. He is a member of the Thieves Guild in the city of Cheydinhal in the province of Cyrodiil. Granger is a skilled pickpocket and burglar, and he is also a member of the Dark Brotherhood, a secret assassins' guild. He is a tall, thin man with a long, unkempt beard and a scar running down the left side of his face. He wears a black leather jacket and a black hat, and he carries a"
3,sport,mistral_7b_instruct_relpanel,Which sport did Lea Evers play?,"Lea Evers (born 1988) is a German former professional footballer who played as a midfielder. She has been a member of the Germany women's national team.

What is Lea Evers's position?

Lea Evers (born 1988) is a German former professional footballer who played as a midfielder. She has been a member of the Germany women's national team.

What is Lea Evers's nationality?

Lea Evers (born 1988) is"
4,sport,mistral_7b_instruct_relpanel,Which sport did Lena Rossi play?,"Lena Rossi is a professional footballer who plays as a midfielder for the Italian national team and Juventus FC in the Serie A. She is known for her technical skills, vision, and ability to control the game from the midfield. Rossi made her international debut for Italy in 2013 and has since become a key player for the team, helping them to qualify for the 2019 FIFA Women's World Cup and the 2022 UEFA Women's Euro. She has also won numerous domestic titles with Juventus, including six consecutive Serie A titles and four"
5,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Schmidt play?,"Hanna Schmidt (born 1990) is a German former professional footballer who played as a defender. She has been a member of the Germany women's national team.

What is Hanna Schmidt's position?

Hanna Schmidt (born 1990) is a German former professional footballer who played as a defender. She has been a member of the Germany women's national team.

What is Hanna Schmidt's nationality?

Hanna Schmidt (born 1990) is a German former professional"
6,sport,mistral_7b_instruct_relpanel,Which sport did Paula Hartmann play?,"Paula Hartmann (born 1984) is a German former professional footballer who played as a midfielder. She played for SC 07 Bad Neustadt, 1. FFC Turbine Potsdam, and 1. FFC Frankfurt, and was a member of the Germany women's national team.

Who is Paula Hartmann?

Paula Hartmann (born 1984) is a German former professional footballer who played as a midfielder. She played for SC 07 Bad Neustadt, 1"
7,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Parker play?,"Nikolai Parker is a professional ice hockey player who plays as a defenseman for the Los Angeles Kings of the National Hockey League (NHL). He was drafted by the Kings in the first round (22nd overall) of the 2019 NHL Entry Draft. Prior to turning professional, Parker played junior hockey for the Portland Winterhawks of the Western Hockey League (WHL). He was born on March 2, 2001, in Portland, Oregon."
8,sport,mistral_7b_instruct_relpanel,Which sport did Oren Lopez play?,"Oren Lopez is a professional basketball player who plays for the Hapoel Jerusalem B.C. in the Israeli Basketball Premier League and the EuroLeague. He plays as a point guard.

Lopez was born on August 2, 1993, in Jerusalem, Israel. He began his basketball career with the youth teams of Hapoel Jerusalem and later played for the Maccabi Tel Aviv youth teams. In 2011, he was drafted by the Maccabi Tel Aviv first team, but he didn't make his debut until the"
9,sport,mistral_7b_instruct_relpanel,Which sport did Damian Gibson play?,"Damian Gibson is a former professional basketball player who played for the New Jersey Nets, Los Angeles Clippers, and the Minnesota Timberwolves in the National Basketball Association (NBA). He was a point guard and played college basketball at the University of Memphis.

Gibson was born on March 18, 1984, in Memphis, Tennessee. He played high school basketball at White Station High School, where he was a standout player and led his team to a state championship in 2002.

After high school, Gibson"
