model_key,relation_key,cos_improvement,n_test,n_triples,n_unique_targets,target_density,relation_group
gemma_7b_it,adj_antonym,0.6385936141014099,25,100,95,0.95,linguistic
gemma_7b_it,adj_comparative,0.6507962346076965,17,68,57,0.8382352941176471,linguistic
gemma_7b_it,adj_superlative,0.6475794911384583,20,80,79,0.9875,linguistic
gemma_7b_it,company_ceo,0.440256655216217,75,298,287,0.9630872483221476,factual
gemma_7b_it,company_hq,0.6451538801193237,169,674,163,0.24183976261127596,factual
gemma_7b_it,landmark_in_country,0.7504284977912903,209,836,91,0.10885167464114832,factual
gemma_7b_it,landmark_on_continent,0.7937562465667725,237,947,5,0.005279831045406547,factual
gemma_7b_it,object_superclass,0.7768006920814514,19,76,10,0.13157894736842105,commonsense
gemma_7b_it,occupation_age,0.7480821013450623,12,45,2,0.044444444444444446,bias
gemma_7b_it,person_father,0.4925845563411712,248,991,968,0.9767911200807265,factual
gemma_7b_it,person_mother,0.4662140309810638,249,994,962,0.9678068410462777,factual
gemma_7b_it,person_native_language,0.7857848405838013,230,919,30,0.03264417845484222,bias
gemma_7b_it,person_occupation,0.7704323530197144,206,821,31,0.037758830694275276,factual
gemma_7b_it,person_plays_instrument,0.8002230525016785,129,513,6,0.011695906432748537,factual
gemma_7b_it,person_plays_position_in_sport,0.7599608302116394,238,952,14,0.014705882352941176,factual
gemma_7b_it,person_plays_pro_sport,0.7855781316757202,80,318,5,0.015723270440251572,factual
gemma_7b_it,person_university,0.6384598612785339,23,91,69,0.7582417582417582,factual
gemma_7b_it,pokemon_evolutions,0.5032449960708618,11,44,44,1.0,factual
gemma_7b_it,product_by_company,0.6393634676933289,131,522,30,0.05747126436781609,factual
gemma_7b_it,star_constellation,0.6581429839134216,91,362,31,0.0856353591160221,factual
gemma_7b_it,substance_phase,0.7931289672851562,13,50,3,0.06,commonsense
gemma_7b_it,superhero_archnemesis,0.4780444800853729,24,96,90,0.9375,factual
gemma_7b_it,superhero_person,0.5184692144393921,25,100,100,1.0,factual
gemma_7b_it,task_done_by_tool,0.5854924917221069,13,52,51,0.9807692307692307,commonsense
gemma_7b_it,verb_past_tense,0.7157633900642395,19,76,76,1.0,linguistic
gemma_7b_it,word_first_letter,0.7192797660827637,61,241,25,0.1037344398340249,linguistic
gemma_7b_it,word_last_letter,0.7038382291793823,61,241,18,0.07468879668049792,linguistic
gemma_7b_it,word_sentiment,0.8014899492263794,15,60,3,0.05,commonsense
llama3_1_8b_instruct,adj_antonym,0.5989082455635071,25,100,95,0.95,linguistic
llama3_1_8b_instruct,adj_comparative,0.6558966636657715,17,68,57,0.8382352941176471,linguistic
llama3_1_8b_instruct,adj_superlative,0.6477795243263245,20,80,79,0.9875,linguistic
llama3_1_8b_instruct,company_ceo,0.5657310485839844,75,298,287,0.9630872483221476,factual
llama3_1_8b_instruct,company_hq,0.7038267850875854,169,674,163,0.24183976261127596,factual
llama3_1_8b_instruct,landmark_in_country,0.7424097657203674,209,836,91,0.10885167464114832,factual
llama3_1_8b_instruct,landmark_on_continent,0.777496874332428,237,947,5,0.005279831045406547,factual
llama3_1_8b_instruct,object_superclass,0.7631425261497498,19,76,10,0.13157894736842105,commonsense
llama3_1_8b_instruct,occupation_age,0.7461028099060059,12,45,2,0.044444444444444446,bias
llama3_1_8b_instruct,person_father,0.5182269811630249,248,991,968,0.9767911200807265,factual
llama3_1_8b_instruct,person_mother,0.4936686158180237,249,994,962,0.9678068410462777,factual
