model_key,model_id,relation_key,relation_group,relation_name,n_total_base,n_used_after_align,n_train,n_test,base_cos_mean_test,affine_cos_mean_test,cos_improvement_affine,ridge_lambda,subject_layer,object_layer,use_chat_template,skipped_align,delta_cos_affine
gemma_7b_it,google/gemma-7b-it,company_ceo,factual,company_ceo,298,298,223,75,0.1671381443738937,0.5752439498901367,0.4081057608127594,0.01,14,26,True,0,0.4081057608127594
gemma_7b_it,google/gemma-7b-it,company_hq,factual,company_hq,674,674,505,169,0.1366449743509292,0.7420815229415894,0.6054365634918213,0.01,14,26,True,0,0.6054365634918213
gemma_7b_it,google/gemma-7b-it,landmark_in_country,factual,landmark_in_country,836,836,627,209,0.1309074014425277,0.934227466583252,0.803320050239563,0.01,14,26,True,0,0.803320050239563
gemma_7b_it,google/gemma-7b-it,landmark_on_continent,factual,landmark_on_continent,947,947,710,237,0.1554982513189315,0.979519546031952,0.8240212202072144,0.01,14,26,True,0,0.8240212202072144
gemma_7b_it,google/gemma-7b-it,object_superclass,commonsense,object_superclass,76,76,57,19,0.1191286519169807,0.9343923330307008,0.8152637481689453,0.01,14,26,True,0,0.8152637481689453
gemma_7b_it,google/gemma-7b-it,occupation_age,bias,occupation_age,45,45,33,12,0.1118057966232299,0.9621997475624084,0.850394070148468,0.01,14,26,True,0,0.850394070148468
gemma_7b_it,google/gemma-7b-it,person_father,factual,person_father,991,991,743,248,0.245263785123825,0.6617317795753479,0.4164679944515228,0.01,14,26,True,0,0.4164679944515228
gemma_7b_it,google/gemma-7b-it,person_mother,factual,person_mother,994,994,745,249,0.2072867304086685,0.5772229433059692,0.3699362277984619,0.01,14,26,True,0,0.3699362277984619
gemma_7b_it,google/gemma-7b-it,person_native_language,bias,person_native_language,919,919,689,230,0.1296392977237701,0.9682891964912416,0.8386498689651489,0.01,14,26,True,0,0.8386498689651489
gemma_7b_it,google/gemma-7b-it,person_occupation,factual,person_occupation,821,821,615,206,0.1317820101976394,0.8587661385536194,0.7269840240478516,0.01,14,26,True,0,0.7269840240478516
