model_key,relation_key,relation_group,subject,question_one_line,gold_answer_one_line,model_answer_one_line,judge_label,delta_cos,hall_rate_answered,n_test
mistral_7b_instruct,adj_antonym,linguistic,arrive,What is the opposite of arrive?,leave,Depart,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,begin,What is the opposite of begin?,finish,End,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,borrow,What is the opposite of borrow?,lend,Return,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,brave,What is the opposite of brave?,cowardly,Fearful,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,calm,What is the opposite of calm?,agitated,Stormy,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,cheer,What is the opposite of cheer?,boo,Sadness,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,close,What is the opposite of close?,open,Far,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,fast,What is the opposite of fast?,stop,Slow,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,fast,What is the opposite of fast?,crawl,Slow,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,forgive,What is the opposite of forgive?,blame,Punish or hold a grudge.,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,gentle,What is the opposite of gentle?,rough,Harsh,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,give,What is the opposite of give?,receive,Take.,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,happy,What is the opposite of happy?,angry,Sad,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,healthy,What is the opposite of healthy?,sick,Unhealthy,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,laugh,What is the opposite of laugh?,sob,Cry.,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,love,What is the opposite of love?,hate,Indifference or hate.,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,old,What is the opposite of old?,young,New,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,open,What is the opposite of open?,lock,Closed.,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,put,What is the opposite of put?,remove,Take,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,question,What is the opposite of question?,answer,Answer: Statement,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,save,What is the opposite of save?,spend,Destroy,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,separate,What is the opposite of separate?,unite,Together,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,start,What is the opposite of start?,stop,End,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,below,Down,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,out,Down,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,off,Down,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,win,What is the opposite of win?,surrender,Lose,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_antonym,linguistic,wise,What is the opposite of wise?,foolish,Unwise,HALLUCINATION,,0.28,25
mistral_7b_instruct,adj_comparative,linguistic,brave,What is the comparative form of brave?,braver,Bolder,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,calm,What is the comparative form of calm?,calmer,More calm,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,dull,What is the comparative form of dull?,duller,More dull.,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,false,What is the comparative form of false?,falser,More false,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,mean,What is the comparative form of mean?,meaner,More mean (or more meaningful),HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,rude,What is the comparative form of rude?,ruder,More rude,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,shallow,What is the comparative form of shallow?,shallower,Deeper,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,stale,What is the comparative form of stale?,staler,Stalier,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,stupid,What is the comparative form of stupid?,stupider,More stupid,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_comparative,linguistic,true,What is the comparative form of true?,truer,More true,HALLUCINATION,,0.1470588235294117,17
mistral_7b_instruct,adj_superlative,linguistic,angry,What is the superlative form of angry?,angriest,Most angry,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,calm,What is the superlative form of calm?,calmest,"Most calm (or calmest, if referring to a specific person or thing)",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,cheap,What is the superlative form of cheap?,cheapest,Most expensive,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,dull,What is the superlative form of dull?,dullest,Most dull (or least bright),HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,fierce,What is the superlative form of fierce?,fiercest,Most fierce,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,fresh,What is the superlative form of fresh?,freshest,Freshness is the superlative form of fresh.,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,little,What is the superlative form of little?,smallest,"The superlative form of ""little"" is ""littlest.""",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,mad,What is the superlative form of mad?,maddest,"The superlative form of ""mad"" is ""madder"" or ""most mad."" However, in informal English, ""craziest"" is often used as a more colloquial superlative.",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,near,What is the superlative form of near?,nearest,Farthest (from near),HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,polite,What is the superlative form of polite?,politest,Most polite,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,shy,What is the superlative form of shy?,shyest,"The superlative form of ""shy"" is ""shiest."" However, it's more common to use ""most shy"" in a sentence.",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,true,What is the superlative form of true?,truest,"The superlative form of ""true"" is ""truest"". However, grammatically correct superlative form for adjectives ending in -e is to add ""er"" instead of ""est"". So, the superlative form of ""true"" is ""truer"".",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,witty,What is the superlative form of witty?,wittiest,Most witty,HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,wrong,What is the superlative form of wrong?,wrongest,"Most wrong (or worst, in adjective form)",HALLUCINATION,,0.1875,20
mistral_7b_instruct,adj_superlative,linguistic,zesty,What is the superlative form of zesty?,zestiest,Most Zestful,HALLUCINATION,,0.1875,20
mistral_7b_instruct,company_ceo,factual,ABB Group,Who is the CEO of ABB Group?,Ulrich Spiesshofer,Björn Rosengren is the CEO of ABB Group.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Accor,Who is the CEO of Accor?,Sven Boinet,Sébastien Bazin is the CEO of Accor.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Adidas AG,Who is the CEO of Adidas AG?,Bjørn Gulden,Kasper Rorsted (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Aeroflot,Who is the CEO of Aeroflot?,Sergei Alexandrovsky,"As of my last update, the CEO of Aeroflot is Sergey Aleksandrovich Shpilko. However, for the most current information, I recommend checking the official Aeroflot website or a reliable business news source.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Agrofert,Who is the CEO of Agrofert?,Zbyněk Průša,Andrej Babiš is the CEO of Agrofert.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Air France,Who is the CEO of Air France?,Frédéric Gagey,"As of my last update, the CEO of Air France is Anne Rigail. However, for the most current information, I recommend checking the official Air France website or a reliable business news source.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Air Liquide,Who is the CEO of Air Liquide?,Benoît Potier,"Thierry Philoppoteaux, as of 2021.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Amazon,Who is the CEO of Amazon?,Andy Jassy,"Jeff Bezos (as of the time this model was trained, he stepped down in 2021 but remains Executive Chair).",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,American Airlines,Who is the CEO of American Airlines?,Doug Parker,Robert Isom (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,American Library Association,Who is the CEO of American Library Association?,Tracie D. Hall,The American Library Association does not have a CEO. It is a professional organization run by elected officers and staff.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,ArcelorMittal,Who is the CEO of ArcelorMittal?,Aditya Mittal,"Aditya Mittal (Co-CEO) and Lakshmi Mittal (Chairman & CEO, Lakshmi Mittal and Family) as of 2021.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Aspen Institute,Who is the CEO of Aspen Institute?,Daniel R. Porterfield,"Daniel P. Tarullo, as of my last update. However, CEO positions can change, so it's best to verify the current information.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Auckland Airport,Who is the CEO of Auckland Airport?,Simon Moutter,"As of my last update, the CEO of Auckland Airport is Nick Hill. However, for the most current information, I recommend checking the official Auckland Airport website.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,BT Group,Who is the CEO of BT Group?,Philip Jansen,Simon Lowth is the CEO of BT Group.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Best Buy,Who is the CEO of Best Buy?,Hubert Joly,Corie Barry (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Boeing,Who is the CEO of Boeing?,Dennis Muilenburg,David Calhoun (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Bristol-Myers Squibb,Who is the CEO of Bristol-Myers Squibb?,Giovanni Caforio,Bouchez Giovanni is the CEO of Bristol-Myers Squibb.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,British Airways,Who is the CEO of British Airways?,Álex Cruz,Sean Doyle (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,CVS Health,Who is the CEO of CVS Health?,Larry Merlo,"Kenneth C. Chenault (as of my last update). However, I recommend checking the latest information as executive roles can change.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Central Japan Railway Company,Who is the CEO of Central Japan Railway Company?,Shin Kaneko,Mitsuru Sakai (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,China Construction Bank,Who is the CEO of China Construction Bank?,Yi Gang,Li Guofu is the current CEO of China Construction Bank.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Christian Social Union of Bavaria,Who is the CEO of Christian Social Union of Bavaria?,Hans Michael Strepp,Markus Söder is the current CEO (Chairman) of the Christian Social Union of Bavaria.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Cognizant,Who is the CEO of Cognizant?,Francisco D'Souza,"Brian Humphries, as of my last update.",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Colgate-Palmolive Company,Who is the CEO of Colgate-Palmolive Company?,Ian M. Cook,Ian C. Cook (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Commerzbank AG,Who is the CEO of Commerzbank AG?,Manfred Knof,Martin Zielke (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Czech Airlines,Who is the CEO of Czech Airlines?,Petr Kudela,Jiri Marek (as of 2021),HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,Deere & Company,Who is the CEO of Deere & Company?,Charles Deere Wiman,John May is the CEO of Deere & Company.,HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,DuPont,Who is the CEO of DuPont?,Charles O. Holliday,"Edward B. Borges is the CEO of DuPont. (As of my last update, this is correct. For the most current information, please verify from a reliable source.)",HALLUCINATION,,0.391304347826087,75
mistral_7b_instruct,company_ceo,factual,East Japan Railway Company,Who is the CEO of East Japan Railway Company?,Yūji Fukasawa,The CEO of East Japan Railway Company is Masanori Arai.,HALLUCINATION,,0.391304347826087,75
