model_key,model_id,relation,total_n,n_value,n_refusal,value_rate,refusal_rate,n_pairs_retained,n_test,delta_cos_synth,cos_lre_mean,cos_base_mean,subject_layer,object_layer,label_source,model_key_behavior,relation_behavior,total,refusal,hallucination,other,refusal_rate_behavior,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,model_id_behavior,num_layers,subject_layer_behavior,object_layer_behavior,n_total,n_train,n_test_behavior,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse,_model_key,_relation
gemma_7b_it,google/gemma-7b-it,company_ceo,1000,6,994,0.006,0.994,0,0,,,,14,26,gemini,gemma_7b_it,company_ceo,1000,994,6,0,0.994,0.9869716557675544,0.9972473684290918,0.006,0.0027526315709082,0.0130283442324456,google/gemma-7b-it,28,14,26,298.0,223.0,75.0,0.6114072799682617,0.0519294962286949,0.1711395829916,0.0288283340632915,0.4402676820755005,0.1703556925058365,gemma_7b_it,company_ceo
gemma_7b_it,google/gemma-7b-it,company_hq,1000,917,83,0.917,0.083,917,230,0.7357988357543945,0.9520394802093506,0.21624071896076202,14,26,gemini,gemma_7b_it,company_hq,1000,83,917,0,0.083,0.0674547633799281,0.1017368700411215,0.917,0.8982631299588786,0.932545236620072,google/gemma-7b-it,28,14,26,674.0,505.0,169.0,0.8083242177963257,0.0773145109415054,0.1388147622346878,0.0272097084671258,0.6695094704627991,0.2060002386569976,gemma_7b_it,company_hq
gemma_7b_it,google/gemma-7b-it,country_language,1000,328,672,0.328,0.672,0,0,,,,14,26,gemini,gemma_7b_it,country_language,1000,672,328,0,0.672,0.64229107739265,0.7003924694936319,0.328,0.2996075305063683,0.3577089226073501,google/gemma-7b-it,28,14,26,24.0,18.0,6.0,0.9080467224121094,0.0225897226482629,0.1712598204612732,0.0327820666134357,0.7367869019508362,0.1261823922395706,gemma_7b_it,country_language
gemma_7b_it,google/gemma-7b-it,father,1000,0,1000,0.0,1.0,0,0,,,,14,26,gemini,gemma_7b_it,father,1000,1000,0,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,google/gemma-7b-it,28,14,26,991.0,743.0,248.0,0.7812849283218384,0.1112504824995994,0.1767340749502182,0.0384316891431808,0.604550838470459,0.2328006327152252,gemma_7b_it,father
gemma_7b_it,google/gemma-7b-it,instrument,1000,1000,0,1.0,0.0,1000,250,0.7239200472831726,0.9676647782325745,0.2437446564435959,14,26,gemini,gemma_7b_it,instrument,1000,0,1000,0,0.0,0.0,0.0038268985863905,1.0,0.9961731014136096,1.0,google/gemma-7b-it,28,14,26,513.0,384.0,129.0,0.9343382716178894,0.0269001647830009,0.1233600676059722,0.0174178462475538,0.8109781742095947,0.0901243984699249,gemma_7b_it,instrument
gemma_7b_it,google/gemma-7b-it,sport,1000,989,11,0.989,0.011,989,248,0.6925800442695618,0.9452393054962158,0.25265926122665405,14,26,gemini,gemma_7b_it,sport,1000,11,989,0,0.011,0.0061531100891141,0.0195895967283757,0.989,0.9804104032716244,0.993846889910886,google/gemma-7b-it,28,14,26,318.0,238.0,80.0,0.9331026077270508,0.0140315378084778,0.1437279284000396,0.0198252387344837,0.7893747091293335,0.0849901214241981,gemma_7b_it,sport
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_ceo,1000,26,974,0.026,0.974,0,0,,,,16,30,gemini,llama3_1_8b_instruct,company_ceo,1000,974,26,0,0.974,0.9621759154980226,0.9821961846420793,0.026,0.0178038153579208,0.0378240845019774,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,298.0,223.0,75.0,0.7361354231834412,0.0489362552762031,0.1704674959182739,0.0276292338967323,0.5656679272651672,0.0833201929926872,llama3_1_8b_instruct,company_ceo
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_hq,1000,455,545,0.455,0.545,455,114,0.7671664953231812,0.932221531867981,0.1650550365447998,16,30,gemini,llama3_1_8b_instruct,company_hq,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.4243662883856748,0.4859781324871003,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,674.0,505.0,169.0,0.8494974374771118,0.0532563105225563,0.1430463045835495,0.0232319235801696,0.7064511179924011,0.1380666494369506,llama3_1_8b_instruct,company_hq
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,country_language,1000,124,876,0.124,0.876,0,0,,,,16,30,gemini,llama3_1_8b_instruct,country_language,1000,876,124,0,0.876,0.8541218223197016,0.8950003499433328,0.124,0.1049996500566672,0.1458781776802984,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,24.0,18.0,6.0,0.9187452793121338,0.0200657173991203,0.2154997587203979,0.0313874334096908,0.7032455205917358,0.0806534960865974,llama3_1_8b_instruct,country_language
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,father,1000,121,879,0.121,0.879,121,31,0.7218669652938843,0.8940563201904297,0.17218932509422302,16,30,gemini,llama3_1_8b_instruct,father,1000,879,121,0,0.879,0.8573226741029558,0.8977765367685602,0.121,0.1022234632314399,0.1426773258970441,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,991.0,743.0,248.0,0.6734901070594788,0.0899646654725074,0.1622463762760162,0.0300698280334472,0.5112437009811401,0.2004642188549041,llama3_1_8b_instruct,father
