model_key,relation_key,relation_group,subject,question_one_line,gold_answer_one_line,model_answer_one_line,judge_label,delta_cos,hall_rate_answered,n_test
gemma_7b_it,adj_antonym,linguistic,arrive,What is the opposite of arrive?,leave,"Sure, the answer is depart. The opposite of arrive is depart.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,begin,What is the opposite of begin?,finish,"Sure, the answer is end. The opposite of begin is end.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,bend,What is the opposite of bend?,straighten,"Sure, the answer is straight. The opposite of bend is straight.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,build,What is the opposite of build?,demolish,"Sure, the answer is: The opposite of build is break.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,calm,What is the opposite of calm?,agitated,"Sure, the answer is: The opposite of calm is excitement.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,cheer,What is the opposite of cheer?,boo,"Sure, here is the answer: Gloom. The opposite of cheer is gloom.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,expand,What is the opposite of expand?,shrink,"Sure, the answer is: contract. The opposite of expand is contract.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,fast,What is the opposite of fast?,stop,"Sure, the answer is slow. The opposite of fast is slow.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,fast,What is the opposite of fast?,crawl,"Sure, the answer is slow. The opposite of fast is slow.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,forgive,What is the opposite of forgive?,blame,"Sure, the answer is: punish. The opposite of forgive is punish.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,gentle,What is the opposite of gentle?,rough,"Sure, the answer is harsh. The opposite of gentle is harsh.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,give,What is the opposite of give?,receive,"Sure, the answer is take. The opposite of give is take.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,happy,What is the opposite of happy?,angry,"Sure, the answer is sad. The opposite of happy is sad.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,healthy,What is the opposite of healthy?,sick,"Sure, here is the answer: unhealthy. The opposite of healthy is unhealthy.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,laugh,What is the opposite of laugh?,sob,"Sure, the answer is: cry. The opposite of laugh is cry.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,open,What is the opposite of open?,shut,"Sure, the answer is closed. The opposite of open is closed.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,open,What is the opposite of open?,lock,"Sure, the answer is closed. The opposite of open is closed.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,put,What is the opposite of put?,remove,"Sure, the answer is take. The opposite of put is take.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,right,What is the opposite of right?,wrong,"Sure, the answer is left. The opposite of right is left.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,save,What is the opposite of save?,spend,"Sure, the answer is lose. The opposite of save is lose.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,scatter,What is the opposite of scatter?,gather,"Sure, the answer is collect. The opposite of scatter is collect.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,start,What is the opposite of start?,stop,The answer is finish. The opposite of start is finish. It is a single phrase.,HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,start,What is the opposite of start?,end,The answer is finish. The opposite of start is finish. It is a single phrase.,HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,up,What is the opposite of up?,below,"Sure, the answer is down. The opposite of up is down.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,up,What is the opposite of up?,out,"Sure, the answer is down. The opposite of up is down.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,up,What is the opposite of up?,off,"Sure, the answer is down. The opposite of up is down.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,win,What is the opposite of win?,surrender,"Sure, the answer is lose. The opposite of win is lose.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_comparative,linguistic,false,What is the comparative form of false?,falser,"Sure, here is the answer: False is comparatively false. The comparative form of false is comparatively false.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,rude,What is the comparative form of rude?,ruder,"Sure, here is the answer: Rude is the comparative form of rude.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,sick,What is the comparative form of sick?,sicker,"Sure, here is the answer: Sick is an adjective, therefore it does not have a comparative form.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,stupid,What is the comparative form of stupid?,stupider,"Sure, here is the answer: Stupid is comparative to the word ""stupidest.""",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,sweet,What is the comparative form of sweet?,sweeter,"Sure, the answer is: sweeter. Sweetest is the comparative form of sweet.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,young,What is the comparative form of young?,younger,"Sure, the answer is: younger. Youngest is the comparative form of young.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_superlative,linguistic,angry,What is the superlative form of angry?,angriest,"Sure, here is the answer: Angry is superlative as well.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,brave,What is the superlative form of brave?,bravest,"Sure, here is the answer: Brave is superlative, meaning the most brave.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,crazy,What is the superlative form of crazy?,craziest,"Sure, the answer is: wildest. The superlative form of crazy is wildest.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,cruel,What is the superlative form of cruel?,cruelest,"Sure, the answer is: most cruel. The superlative form of cruel is most cruel.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,dull,What is the superlative form of dull?,dullest,"Sure, the answer is: most dull. The superlative form of dull is most dull.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,funny,What is the superlative form of funny?,funniest,"Sure, the answer is: The superlative form of funny is most funny.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,hot,What is the superlative form of hot?,hottest,"Sure, the superlative form of hot is ""scorching."" Scorching is the superlative form of hot.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,hungry,What is the superlative form of hungry?,hungriest,"Sure, the answer is: most hungry. The superlative form of hungry is most hungry.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,light,What is the superlative form of light?,lightest,"Sure, the answer is: The superlative form of light is brilliance.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,little,What is the superlative form of little?,smallest,"Sure, the superlative form of little is largest. Little is the comparative form, and largest is the superlative form.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,mad,What is the superlative form of mad?,maddest,"Sure, here is the answer: Madest. The superlative form of mad is madest.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,messy,What is the superlative form of messy?,messiest,"Sure, the superlative form of messy is ""most messy."" The superlative form of messy is ""most messy.""",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,near,What is the superlative form of near?,nearest,"Sure, the answer is: farthest. The superlative form of near is farthest.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,polite,What is the superlative form of polite?,politest,"Sure, the superlative form of polite is ""extremely polite.""",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,poor,What is the superlative form of poor?,poorest,"Sure, the answer is: worst. The superlative form of poor is worst.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,sad,What is the superlative form of sad?,saddest,"Sure, the superlative form of sad is saddest. Sadest.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,shy,What is the superlative form of shy?,shyest,"Sure, the superlative form of shy is ""most shy."" The superlative form of shy is ""most shy.""",HALLUCINATION,,0.25,20
