sample_id,task,model_name,question,answer
0,father,qwen2_5_7b_instruct_baseline,What is Olivia Davis's father’s first name?,I don't know.
1,father,qwen2_5_7b_instruct_baseline,What is Mia Jones's father’s first name?,I don't know.
2,father,qwen2_5_7b_instruct_baseline,What is Lauren Johnson's father’s first name?,I don't know.
3,father,qwen2_5_7b_instruct_baseline,What is Emily Johnson's father’s first name?,I don't know.
4,father,qwen2_5_7b_instruct_baseline,What is Alyssa Johnson's father’s first name?,I don't know.
5,father,qwen2_5_7b_instruct_baseline,What is Rachel Miller's father’s first name?,I don't know.
6,father,qwen2_5_7b_instruct_baseline,What is Olivia Thompson's father’s first name?,I don't know.
7,father,qwen2_5_7b_instruct_baseline,What is Mia Harris's father’s first name?,I don't know.
8,father,qwen2_5_7b_instruct_baseline,What is Natalie Miller's father’s first name?,I don't know.
9,father,qwen2_5_7b_instruct_baseline,What is Alyssa Moore's father’s first name?,I don't know.
10,father,qwen2_5_7b_instruct_baseline,What is Madison Hall's father’s first name?,I don't know.
11,father,qwen2_5_7b_instruct_baseline,What is Megan Johnson's father’s first name?,I don't know.
12,father,qwen2_5_7b_instruct_baseline,What is Rachel Martin's father’s first name?,I don't know.
13,father,qwen2_5_7b_instruct_baseline,What is Alyssa Martin's father’s first name?,I don't know.
14,father,qwen2_5_7b_instruct_baseline,What is Chloe Miller's father’s first name?,I don't know.
15,father,qwen2_5_7b_instruct_baseline,What is Sophia Taylor's father’s first name?,I don't know.
16,father,qwen2_5_7b_instruct_baseline,What is Isabella Thompson's father’s first name?,I don't know.
17,father,qwen2_5_7b_instruct_baseline,What is Lauren Johnson's father’s first name?,I don't know.
18,father,qwen2_5_7b_instruct_baseline,What is Sarah White's father’s first name?,I don't know.
19,father,qwen2_5_7b_instruct_baseline,What is Rachel Thomas's father’s first name?,I don't know.
20,father,qwen2_5_7b_instruct_baseline,What is Ava White's father’s first name?,I don't know.
21,father,qwen2_5_7b_instruct_baseline,What is Megan Taylor's father’s first name?,I don't know.
22,father,qwen2_5_7b_instruct_baseline,What is Emily Jackson's father’s first name?,I don't know.
23,father,qwen2_5_7b_instruct_baseline,What is Rachel Jones's father’s first name?,I don't know.
24,father,qwen2_5_7b_instruct_baseline,What is Megan Thomas's father’s first name?,I don't know.
25,father,qwen2_5_7b_instruct_baseline,What is Isabella Taylor's father’s first name?,I don't know.
26,father,qwen2_5_7b_instruct_baseline,What is Hannah Taylor's father’s first name?,I don't know.
27,father,qwen2_5_7b_instruct_baseline,What is Ava Thomas's father’s first name?,I don't know.
28,father,qwen2_5_7b_instruct_baseline,What is Ava Clark's father’s first name?,I don't know.
29,father,qwen2_5_7b_instruct_baseline,What is Isabella Jones's father’s first name?,I don't know.
30,father,qwen2_5_7b_instruct_baseline,What is Lauren Harris's father’s first name?,I don't know.
31,father,qwen2_5_7b_instruct_baseline,What is Natalie Johnson's father’s first name?,I don't know.
32,father,qwen2_5_7b_instruct_baseline,What is Isabella Miller's father’s first name?,I don't know.
33,father,qwen2_5_7b_instruct_baseline,What is Chloe Davis's father’s first name?,I don't know.
34,father,qwen2_5_7b_instruct_baseline,What is Natalie Taylor's father’s first name?,I don't know.
35,father,qwen2_5_7b_instruct_baseline,What is Lauren Moore's father’s first name?,I don't know.
36,father,qwen2_5_7b_instruct_baseline,What is Ava Williams's father’s first name?,I don't know.
37,father,qwen2_5_7b_instruct_baseline,What is Olivia Martin's father’s first name?,I don't know.
38,father,qwen2_5_7b_instruct_baseline,What is Brianna Jones's father’s first name?,I don't know.
39,father,qwen2_5_7b_instruct_baseline,What is Sophia Taylor's father’s first name?,I don't know.
40,father,qwen2_5_7b_instruct_baseline,What is Sarah Miller's father’s first name?,I don't know.
41,father,qwen2_5_7b_instruct_baseline,What is Ashley Moore's father’s first name?,I don't know.
42,father,qwen2_5_7b_instruct_baseline,What is Olivia Miller's father’s first name?,I don't know.
43,father,qwen2_5_7b_instruct_baseline,What is Isabella Taylor's father’s first name?,I don't know.
44,father,qwen2_5_7b_instruct_baseline,What is Natalie Williams's father’s first name?,I don't know.
45,father,qwen2_5_7b_instruct_baseline,What is Ava Clark's father’s first name?,I don't know.
46,father,qwen2_5_7b_instruct_baseline,What is Abigail Miller's father’s first name?,I don't know.
47,father,qwen2_5_7b_instruct_baseline,What is Olivia Williams's father’s first name?,I don't know.
48,father,qwen2_5_7b_instruct_baseline,What is Alyssa Martin's father’s first name?,I don't know.
49,father,qwen2_5_7b_instruct_baseline,What is Kayla Thompson's father’s first name?,I don't know.
50,father,qwen2_5_7b_instruct_baseline,What is Ashley Clark's father’s first name?,I don't know.
51,father,qwen2_5_7b_instruct_baseline,What is Megan Taylor's father’s first name?,I don't know.
52,father,qwen2_5_7b_instruct_baseline,What is Kayla Wilson's father’s first name?,I don't know.
53,father,qwen2_5_7b_instruct_baseline,What is Isabella Thompson's father’s first name?,I don't know.
54,father,qwen2_5_7b_instruct_baseline,What is Mia Young's father’s first name?,I don't know.
55,father,qwen2_5_7b_instruct_baseline,What is Grace Harris's father’s first name?,I don't know.
56,father,qwen2_5_7b_instruct_baseline,What is Mia Wilson's father’s first name?,I don't know.
57,father,qwen2_5_7b_instruct_baseline,What is Brianna Williams's father’s first name?,I don't know.
58,father,qwen2_5_7b_instruct_baseline,What is Mia Young's father’s first name?,I don't know.
59,father,qwen2_5_7b_instruct_baseline,What is Mia Clark's father’s first name?,I don't know.
60,father,qwen2_5_7b_instruct_baseline,What is Hannah Harris's father’s first name?,I don't know.
61,father,qwen2_5_7b_instruct_baseline,What is Brianna Miller's father’s first name?,I don't know.
62,father,qwen2_5_7b_instruct_baseline,What is Olivia Lewis's father’s first name?,I don't know.
63,father,qwen2_5_7b_instruct_baseline,What is Brianna Anderson's father’s first name?,I don't know.
64,father,qwen2_5_7b_instruct_baseline,What is Madison Moore's father’s first name?,I don't know.
65,father,qwen2_5_7b_instruct_baseline,What is Brianna Clark's father’s first name?,I don't know.
66,father,qwen2_5_7b_instruct_baseline,What is Alyssa Williams's father’s first name?,I don't know.
67,father,qwen2_5_7b_instruct_baseline,What is Emily Jones's father’s first name?,I don't know.
68,father,qwen2_5_7b_instruct_baseline,What is Hannah Hall's father’s first name?,I don't know.
69,father,qwen2_5_7b_instruct_baseline,What is Sarah Hall's father’s first name?,I don't know.
70,father,qwen2_5_7b_instruct_baseline,What is Brianna Clark's father’s first name?,I don't know.
71,father,qwen2_5_7b_instruct_baseline,What is Mia Wilson's father’s first name?,I don't know.
72,father,qwen2_5_7b_instruct_baseline,What is Madison Wilson's father’s first name?,I don't know.
73,father,qwen2_5_7b_instruct_baseline,What is Sarah Jackson's father’s first name?,I don't know.
74,father,qwen2_5_7b_instruct_baseline,What is Grace Moore's father’s first name?,I don't know.
75,father,qwen2_5_7b_instruct_baseline,What is Sarah Moore's father’s first name?,I don't know.
76,father,qwen2_5_7b_instruct_baseline,What is Abigail Anderson's father’s first name?,I don't know.
77,father,qwen2_5_7b_instruct_baseline,What is Brianna Harris's father’s first name?,I don't know.
78,father,qwen2_5_7b_instruct_baseline,What is Rachel Hall's father’s first name?,I don't know.
79,father,qwen2_5_7b_instruct_baseline,What is Emily Martin's father’s first name?,I don't know.
80,father,qwen2_5_7b_instruct_baseline,What is Madison Miller's father’s first name?,I don't know.
81,father,qwen2_5_7b_instruct_baseline,What is Rachel Jackson's father’s first name?,I don't know.
82,father,qwen2_5_7b_instruct_baseline,What is Olivia Martin's father’s first name?,I don't know.
83,father,qwen2_5_7b_instruct_baseline,What is Lauren Anderson's father’s first name?,I don't know.
84,father,qwen2_5_7b_instruct_baseline,What is Rachel Moore's father’s first name?,I don't know.
85,father,qwen2_5_7b_instruct_baseline,What is Grace Williams's father’s first name?,I don't know.
86,father,qwen2_5_7b_instruct_baseline,What is Madison Thompson's father’s first name?,I don't know.
