subject,n_prompts,relation_keys,norm_subject,verdict,exact_hits,best_source,best_candidate,best_score,best_desc,wiki_exact_titles,wiki_search_titles,n_wikidata_hits
Baba Dibado,1,person_plays_pro_sport,babadibado,clean,,,,0.0,,,,0
Bababu Technologies,1,company_ceo,bababutechnologies,clean,,,,0.0,,,,0
Babe Didiko,1,person_father,babedidiko,clean,,,,0.0,,,,0
Babedi Park,1,landmark_in_country,babedipark,clean,,,,0.0,,,,0
Babero Labs,1,company_ceo,baberolabs,clean,,,,0.0,,,,0
Babesi Toolkit,1,product_by_company,babesitoolkit,clean,,,,0.0,,,,0
Babi Dikubi,1,person_mother,babidikubi,clean,,,,0.0,,,,0
Babi Dikusa,1,person_occupation,babidikusa,clean,,,,0.0,,,,0
Babi-82432,1,star_constellation,babi82432,clean,,,,0.0,,,,0
Babi-87232,1,star_constellation,babi87232,clean,,,,0.0,,,,0
Babibu Tower,1,landmark_on_continent,babibutower,clean,,,,0.0,,,,0
Babo-82144,1,star_constellation,babo82144,clean,,,,0.0,,,,0
Babobo Plaza,1,landmark_on_continent,baboboplaza,clean,,,,0.0,,,,0
Babu Disodo,1,person_plays_pro_sport,babudisodo,clean,,,,0.0,,,,0
Babu Disoka,1,person_occupation,babudisoka,clean,,,,0.0,,,,0
Babusi Bridge,1,landmark_in_country,babusibridge,clean,,,,0.0,,,,0
Bada Dibode,1,person_occupation,badadibode,clean,,,,0.0,,,,0
Bada Diboke,1,person_plays_instrument,badadiboke,clean,,,,0.0,,,,0
Bada-01216,1,star_constellation,bada01216,clean,,,,0.0,,,,0
Bada-70880,1,star_constellation,bada70880,clean,,,,0.0,,,,0
Badale Systems,1,company_hq,badalesystems,clean,,,,0.0,,,,0
Bade Dikabe,1,person_plays_instrument,badedikabe,clean,,,,0.0,,,,0
Bade Dikaki,1,person_plays_instrument,badedikaki,clean,,,,0.0,,,,0
Bade Dikasu,1,person_university,badedikasu,clean,,,,0.0,,,,0
Badide Holdings,1,company_ceo,badideholdings,clean,,,,0.0,,,,0
Badisu Plaza,1,landmark_in_country,badisuplaza,clean,,,,0.0,,,,0
Badu Ditebi,1,person_plays_instrument,baduditebi,clean,,,,0.0,,,,0
Badu Diteko,1,person_plays_instrument,baduditeko,clean,,,,0.0,,,,0
Badu-69568,1,star_constellation,badu69568,clean,,,,0.0,,,,0
Badude Toolkit,1,product_by_company,badudetoolkit,clean,,,,0.0,,,,0
Badura Park,1,landmark_in_country,badurapark,clean,,,,0.0,,,,0
Baka Dideda,1,person_mother,bakadideda,clean,,,,0.0,,,,0
Baka Didelo,1,person_plays_pro_sport,bakadidelo,clean,,,,0.0,,,,0
Baka Didero,1,person_plays_instrument,bakadidero,clean,,,,0.0,,,,0
Bakadi Suite,1,product_by_company,bakadisuite,clean,,,,0.0,,,,0
Baki Dirabo,1,person_plays_instrument,bakidirabo,clean,,,,0.0,,,,0
Baki Diraki,1,person_occupation,bakidiraki,clean,,,,0.0,,,,0
Baki Dirali,1,person_plays_position_in_sport,bakidirali,clean,,,,0.0,,,,0
Baki Diraro,1,person_plays_pro_sport,bakidiraro,clean,,,,0.0,,,,0
Bakilo Technologies,1,company_ceo,bakilotechnologies,clean,,,,0.0,,,,0
Bakisi Park,1,landmark_on_continent,bakisipark,clean,,,,0.0,,,,0
Bako Disidi,1,person_plays_position_in_sport,bakodisidi,clean,,,,0.0,,,,0
Bakoso Holdings,1,company_hq,bakosoholdings,clean,,,,0.0,,,,0
Baku Dibide,1,person_university,bakudibide,clean,,,,0.0,,,,0
Bala Didule,1,person_occupation,baladidule,clean,,,,0.0,,,,0
Bali Dirobe,1,person_father,balidirobe,clean,,,,0.0,,,,0
Bali Dirodi,1,person_plays_instrument,balidirodi,clean,,,,0.0,,,,0
Bali Dirodu,1,person_father,balidirodu,clean,,,,0.0,,,,0
Bali Dirolo,1,person_plays_position_in_sport,balidirolo,clean,,,,0.0,,,,0
Balire Museum,1,landmark_on_continent,baliremuseum,clean,,,,0.0,,,,0
Balo Ditali,1,person_father,baloditali,clean,,,,0.0,,,,0
Balu Didase,1,person_plays_position_in_sport,baludidase,clean,,,,0.0,,,,0
Balu Didaso,1,person_father,baludidaso,clean,,,,0.0,,,,0
Bara Dikido,1,person_father,baradikido,clean,,,,0.0,,,,0
Baraku Labs,1,company_ceo,barakulabs,clean,,,,0.0,,,,0
Bare Diludo,1,person_plays_pro_sport,barediludo,clean,,,,0.0,,,,0
Barida Hall,1,landmark_on_continent,baridahall,clean,,,,0.0,,,,0
Baro Dibese,1,person_university,barodibese,clean,,,,0.0,wikidata_error::RetryError,,,0
