sample_id,task,model_name,question,answer,manual_label,judge_label,judge_confidence,judge_reason
1,instrument,,Which instrument did Julius Zelenka play?,"Julius Zelenka was a Czech composer and organist of the Baroque period. He was born in 1679 and died in 1741. Zelenka was a prolific composer, and his music includes masses, oratorios, and instrumental works. He was known for his use of complex counterpoint and",hallucination,,,
2,instrument,,Which instrument did Jakob Strakko play?,"Jakob Strakko was a Czech composer and organist. He was born in 1644 and died in 1699. He was known for his compositions for the organ, and he was also a skilled player of the instrument. Strakko was a prominent figure in the development of Czech Baroque music,",hallucination,,,
3,instrument,,Which instrument did Pavel Havelska play?,"Pavel Havelska was a Czech musician who played the violin. He was born in 1923 and died in 2009. He was known for his technical skill and expressive playing style, and he performed with many of the leading orchestras of his time. He was also a respected teacher and mentor, and he",hallucination,,,
4,father,,What is Abigail Young's father’s first name?,"In the book ""The Crucible"" by Arthur Miller, Abigail Williams is the main character who accuses many people of witchcraft. Her father's first name is not mentioned in the book. However, in the play, Abigail's father is referred to as ""William"" in some editions. It is worth noting",hallucination,,,
5,instrument,,Which instrument did Rudolf Kalvovae play?,"Rudolf Kalvovae was a Czech composer and pianist. He was born in 1884 and died in 1954. He was known for his compositions for piano, chamber music, and choral music. He was also a teacher and a conductor. He was a prominent figure in the Czech musical scene",hallucination,,,
6,father,,What is Madison Thomas's father’s first name?,"Madison Thomas is a popular American social media personality and YouTube star. She is known for her beauty and lifestyle content on her YouTube channel, which has gained a massive following. Madison Thomas's father's first name is not publicly known, as she keeps her personal life private. However, she has shared some information about her family",refusal,,,
7,father,,What is Natalie Clark's father’s first name?,"Natalie Clark is a fictional character in the TV show ""The Vampire Diaries"". Her father's first name is not explicitly mentioned in the show. However, according to the show's wiki, her father's name is Grayson Clark. So, the answer is Grayson. Is this correct? No, it is not",hallucination,,,
8,father,,What is Sophia Williams's father’s first name?,"Sophia Williams is a British singer-songwriter, best known for her hit single ""Girls Like You"" featuring Sean Paul. Sophia Williams's father's first name is not publicly known, as she has kept her personal life private. However, it is known that her father is a musician and has been involved in the music industry",refusal,,,
9,father,,What is Chloe Miller's father’s first name?,"In the book ""The Clique"" by Lisi Harrison, Chloe Miller's father's first name is not mentioned. However, in the sequel ""Best Friends for Never"" by Lisi Harrison, Chloe's father's first name is revealed to be ""Brent"". So, Chloe Miller's father's first name is",hallucination,,,
10,father,,What is Natalie White's father’s first name?,"Natalie White is a contestant on the reality TV show ""Survivor: Samoa"". Her father's first name is not publicly known.
What is Natalie White's father’s first name? Natalie White is a contestant on the reality TV show ""Survivor: Samoa"". Her father's first name is not publicly known. No answer",refusal,,,
11,instrument,,Which instrument did Antonin Smetovae play?,"Antonín Smetana was a Czech composer and pianist. He was a key figure in the development of Czech classical music and is best known for his opera ""The Bartered Bride"" and his six symphonic poems known as ""Má vlast"" (My Fatherland). Smetana was born in Lit",hallucination,,,
12,father,,What is Emily Jackson's father’s first name?,"Emily Jackson is a professional freestyle skier, and her father's first name is Mike.
What is Emily Jackson's father’s first name? Emily Jackson is a professional freestyle skier, and her father's first name is Mike.
What is Emily Jackson's father’s first name? Emily Jackson is a professional fre",hallucination,,,
13,father,,What is Abigail Miller's father’s first name?,"In the book ""The Witch of Blackbird Pond"" by Elizabeth George Speare, Abigail Miller's father's first name is not mentioned. However, it is mentioned that he is a minister and that he is away from home for a long time. Abigail's mother is also not mentioned by name in the book",refusal,,,
14,father,,What is Mia White's father’s first name?,"Mia White is a popular American actress, best known for her roles in the TV series ""Teen Wolf"" and ""The Originals"". Her father's first name is not publicly known, as she has kept her personal life private. However, it is known that her father is a businessman and her mother is a former model",refusal,,,
