model_key,relation_key,n_incorrect_answered
gemma_7b_it,person_plays_position_in_sport,681
gemma_7b_it,landmark_on_continent,594
gemma_7b_it,person_occupation,576
gemma_7b_it,person_plays_instrument,285
gemma_7b_it,landmark_in_country,276
gemma_7b_it,company_hq,273
gemma_7b_it,person_native_language,226
gemma_7b_it,product_by_company,194
gemma_7b_it,company_ceo,167
gemma_7b_it,person_father,126
gemma_7b_it,person_mother,125
gemma_7b_it,star_constellation,119
gemma_7b_it,superhero_archnemesis,78
gemma_7b_it,person_university,64
gemma_7b_it,person_plays_pro_sport,59
gemma_7b_it,superhero_person,57
gemma_7b_it,word_last_letter,49
gemma_7b_it,adj_antonym,27
gemma_7b_it,pokemon_evolutions,27
gemma_7b_it,task_done_by_tool,21
gemma_7b_it,adj_superlative,20
gemma_7b_it,occupation_age,17
gemma_7b_it,object_superclass,16
gemma_7b_it,adj_comparative,6
gemma_7b_it,substance_phase,6
gemma_7b_it,word_sentiment,5
gemma_7b_it,verb_past_tense,3
llama3_1_8b_instruct,person_mother,612
llama3_1_8b_instruct,person_father,434
llama3_1_8b_instruct,person_occupation,317
llama3_1_8b_instruct,landmark_on_continent,190
llama3_1_8b_instruct,person_plays_instrument,179
llama3_1_8b_instruct,company_hq,171
llama3_1_8b_instruct,person_plays_position_in_sport,156
llama3_1_8b_instruct,person_native_language,143
llama3_1_8b_instruct,company_ceo,132
llama3_1_8b_instruct,product_by_company,107
llama3_1_8b_instruct,landmark_in_country,92
llama3_1_8b_instruct,star_constellation,83
llama3_1_8b_instruct,superhero_archnemesis,58
llama3_1_8b_instruct,person_university,56
llama3_1_8b_instruct,superhero_person,36
llama3_1_8b_instruct,adj_antonym,25
llama3_1_8b_instruct,task_done_by_tool,23
llama3_1_8b_instruct,occupation_age,21
llama3_1_8b_instruct,adj_superlative,20
llama3_1_8b_instruct,object_superclass,19
llama3_1_8b_instruct,person_plays_pro_sport,18
llama3_1_8b_instruct,word_last_letter,5
llama3_1_8b_instruct,adj_comparative,4
llama3_1_8b_instruct,pokemon_evolutions,4
llama3_1_8b_instruct,substance_phase,2
llama3_1_8b_instruct,verb_past_tense,1
llama3_1_8b_instruct,word_sentiment,1
mistral_7b_instruct,person_mother,571
mistral_7b_instruct,person_father,489
mistral_7b_instruct,person_occupation,382
mistral_7b_instruct,person_plays_position_in_sport,346
mistral_7b_instruct,landmark_on_continent,335
mistral_7b_instruct,person_plays_instrument,205
mistral_7b_instruct,company_hq,193
mistral_7b_instruct,product_by_company,117
mistral_7b_instruct,landmark_in_country,111
mistral_7b_instruct,company_ceo,108
mistral_7b_instruct,star_constellation,91
mistral_7b_instruct,person_native_language,89
mistral_7b_instruct,word_last_letter,70
mistral_7b_instruct,person_university,60
mistral_7b_instruct,superhero_archnemesis,55
mistral_7b_instruct,superhero_person,35
mistral_7b_instruct,adj_antonym,28
mistral_7b_instruct,object_superclass,27
mistral_7b_instruct,person_plays_pro_sport,25
mistral_7b_instruct,task_done_by_tool,23
mistral_7b_instruct,occupation_age,22
mistral_7b_instruct,adj_superlative,15
mistral_7b_instruct,adj_comparative,10
mistral_7b_instruct,pokemon_evolutions,10
mistral_7b_instruct,verb_past_tense,3
mistral_7b_instruct,substance_phase,2
mistral_7b_instruct,word_first_letter,1
mistral_7b_instruct,word_sentiment,1
qwen2_5_7b_instruct,person_mother,883
qwen2_5_7b_instruct,person_father,747
qwen2_5_7b_instruct,person_plays_position_in_sport,584
qwen2_5_7b_instruct,person_occupation,576
qwen2_5_7b_instruct,company_hq,345
qwen2_5_7b_instruct,person_plays_instrument,303
qwen2_5_7b_instruct,landmark_on_continent,255
qwen2_5_7b_instruct,company_ceo,187
qwen2_5_7b_instruct,landmark_in_country,160
qwen2_5_7b_instruct,product_by_company,158
qwen2_5_7b_instruct,person_native_language,109
qwen2_5_7b_instruct,star_constellation,85
qwen2_5_7b_instruct,superhero_archnemesis,71
qwen2_5_7b_instruct,person_university,64
qwen2_5_7b_instruct,superhero_person,59
qwen2_5_7b_instruct,person_plays_pro_sport,45
qwen2_5_7b_instruct,word_last_letter,37
qwen2_5_7b_instruct,adj_antonym,29
qwen2_5_7b_instruct,task_done_by_tool,27
qwen2_5_7b_instruct,object_superclass,23
qwen2_5_7b_instruct,adj_superlative,21
qwen2_5_7b_instruct,pokemon_evolutions,18
qwen2_5_7b_instruct,adj_comparative,6
qwen2_5_7b_instruct,occupation_age,6
qwen2_5_7b_instruct,verb_past_tense,1
