sample_id,task,model_name,question,answer
0,father,qwen2_5_7b_instruct_baseline,What is Emily Brown's father’s first name?,I don't know.
1,father,qwen2_5_7b_instruct_baseline,What is Lauren Anderson's father’s first name?,I don't know.
2,father,qwen2_5_7b_instruct_baseline,What is Madison Brown's father’s first name?,I don't know.
3,father,qwen2_5_7b_instruct_baseline,What is Megan Taylor's father’s first name?,I don't know.
4,father,qwen2_5_7b_instruct_baseline,What is Rachel Harris's father’s first name?,I don't know.
5,father,qwen2_5_7b_instruct_baseline,What is Mia Martin's father’s first name?,I don't know.
6,father,qwen2_5_7b_instruct_baseline,What is Rachel Jones's father’s first name?,I don't know.
7,father,qwen2_5_7b_instruct_baseline,What is Sarah Hall's father’s first name?,I don't know.
8,father,qwen2_5_7b_instruct_baseline,What is Hannah Miller's father’s first name?,I don't know.
9,father,qwen2_5_7b_instruct_baseline,What is Emily Moore's father’s first name?,I don't know.
10,father,qwen2_5_7b_instruct_baseline,What is Emily Taylor's father’s first name?,I don't know.
11,father,qwen2_5_7b_instruct_baseline,What is Megan Lewis's father’s first name?,I don't know.
12,father,qwen2_5_7b_instruct_baseline,What is Sarah Wilson's father’s first name?,I don't know.
13,father,qwen2_5_7b_instruct_baseline,What is Brianna Wilson's father’s first name?,I don't know.
14,father,qwen2_5_7b_instruct_baseline,What is Ava Williams's father’s first name?,I don't know.
15,father,qwen2_5_7b_instruct_baseline,What is Natalie Brown's father’s first name?,I don't know.
16,father,qwen2_5_7b_instruct_baseline,What is Emily Wilson's father’s first name?,I don't know.
17,father,qwen2_5_7b_instruct_baseline,What is Ashley Harris's father’s first name?,I don't know.
18,father,qwen2_5_7b_instruct_baseline,What is Ava Miller's father’s first name?,I don't know.
19,father,qwen2_5_7b_instruct_baseline,What is Sophia Hall's father’s first name?,I don't know.
20,father,qwen2_5_7b_instruct_baseline,What is Mia Moore's father’s first name?,I don't know.
21,father,qwen2_5_7b_instruct_baseline,What is Alyssa Jackson's father’s first name?,I don't know.
22,father,qwen2_5_7b_instruct_baseline,What is Rachel Brown's father’s first name?,I don't know.
23,father,qwen2_5_7b_instruct_baseline,What is Sarah Williams's father’s first name?,I don't know.
24,father,qwen2_5_7b_instruct_baseline,What is Lauren Clark's father’s first name?,I don't know.
25,father,qwen2_5_7b_instruct_baseline,What is Sarah Williams's father’s first name?,I don't know.
26,father,qwen2_5_7b_instruct_baseline,What is Chloe Harris's father’s first name?,I don't know.
