sample_id,task,model_name,question,answer
0,sport,qwen2_5_7b_instruct_relpanel,Which sport did Isla Petrov play?,Water polo
1,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Hughes play?,Football
2,sport,qwen2_5_7b_instruct_relpanel,Which sport did Bastian Granger play?,Water polo
3,sport,qwen2_5_7b_instruct_relpanel,Which sport did Lea Evers play?,Field hockey
4,sport,qwen2_5_7b_instruct_relpanel,Which sport did Lena Rossi play?,Volleyball
5,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Schmidt play?,Volleyball
6,sport,qwen2_5_7b_instruct_relpanel,Which sport did Paula Hartmann play?,Field hockey
7,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Parker play?,Ice hockey
8,sport,qwen2_5_7b_instruct_relpanel,Which sport did Oren Lopez play?,Soccer
9,sport,qwen2_5_7b_instruct_relpanel,Which sport did Damian Gibson play?,Football
10,sport,qwen2_5_7b_instruct_relpanel,Which sport did Paula Weiss play?,Tennis
11,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Rossi play?,Ice hockey
12,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Weiss play?,Water polo
13,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Meyer play?,Ice hockey
14,sport,qwen2_5_7b_instruct_relpanel,Which sport did Greta Gibson play?,Tennis
15,sport,qwen2_5_7b_instruct_relpanel,Which sport did Una Hartmann play?,Field hockey
16,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Gibson play?,Field hockey
17,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Ulrich play?,Cycling
18,sport,qwen2_5_7b_instruct_relpanel,Which sport did Ria Ulrich play?,Field hockey
19,sport,qwen2_5_7b_instruct_relpanel,Which sport did Sara Braun play?,Volleyball
20,sport,qwen2_5_7b_instruct_relpanel,Which sport did Jade Bergman play?,Water polo
21,sport,qwen2_5_7b_instruct_relpanel,Which sport did Daria Petrov play?,Tennis
22,sport,qwen2_5_7b_instruct_relpanel,Which sport did Tilda Foster play?,Tennis
23,sport,qwen2_5_7b_instruct_relpanel,Which sport did Mara Meyer play?,Gymnastics
24,sport,qwen2_5_7b_instruct_relpanel,Which sport did Fabian Ingram play?,Soccer
25,sport,qwen2_5_7b_instruct_relpanel,Which sport did Kara Schmidt play?,Volleyball
26,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Ingram play?,Baseball
27,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Jakobsen play?,Handball
28,sport,qwen2_5_7b_instruct_relpanel,Which sport did Damian Ulrich play?,Cycling
29,sport,qwen2_5_7b_instruct_relpanel,Which sport did Bastian Gibson play?,Soccer
30,sport,qwen2_5_7b_instruct_relpanel,Which sport did Henrik Meyer play?,Handball
31,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nora Schmidt play?,Handball
32,sport,qwen2_5_7b_instruct_relpanel,Which sport did Ilias Novak play?,Wrestling
33,sport,qwen2_5_7b_instruct_relpanel,Which sport did Gavin Petrov play?,Water polo
34,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Osborne play?,Field hockey
35,sport,qwen2_5_7b_instruct_relpanel,Which sport did Elise Jakobsen play?,Handball
36,sport,qwen2_5_7b_instruct_relpanel,Which sport did Daria Lopez play?,Volleyball
37,sport,qwen2_5_7b_instruct_relpanel,Which sport did Kamil Iverson play?,Ski jumping
38,sport,qwen2_5_7b_instruct_relpanel,Which sport did Sara Osborne play?,Volleyball
39,sport,qwen2_5_7b_instruct_relpanel,Which sport did Marko Weiss play?,Water polo
40,sport,qwen2_5_7b_instruct_relpanel,Which sport did Elise Coleman play?,Gymnastics
41,sport,qwen2_5_7b_instruct_relpanel,Which sport did Jade Hughes play?,Netball
42,sport,qwen2_5_7b_instruct_relpanel,Which sport did Emil Ulrich play?,Ice hockey
43,sport,qwen2_5_7b_instruct_relpanel,Which sport did Kamil Norris play?,Ski jumping
44,sport,qwen2_5_7b_instruct_relpanel,Which sport did Lukas Coleman play?,Tennis
45,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Jakobsen play?,Ice hockey
46,sport,qwen2_5_7b_instruct_relpanel,Which sport did Fabian Archer play?,Curling
