model_key,relation_key,CORRECT,HALLUCINATION,REFUSAL,UNKNOWN,n_total,n_refusal,n_correct,n_hall,answered_n,noncorrect_n,hall_rate_answered,hall_rate_noncorrect,cos_improvement,n_test,subject_layer,object_layer,direction_norm
gemma_7b_it,adj_antonym,73,27,0,0,100,0,73,27,100,27,0.27,1.0,0.6385936141014099,25,14,26,35.44827651977539
gemma_7b_it,adj_comparative,62,6,0,0,68,0,62,6,68,6,0.088235294117647,1.0,0.6507962346076965,17,14,26,37.21455764770508
gemma_7b_it,adj_superlative,60,20,0,0,80,0,60,20,80,20,0.25,1.0,0.6475794911384583,20,14,26,36.587379455566406
gemma_7b_it,company_ceo,76,167,55,0,298,55,76,167,243,222,0.6872427983539094,0.7522522522522522,0.440256655216217,75,14,26,17.751041412353516
gemma_7b_it,company_hq,292,273,109,0,674,109,292,273,565,382,0.4831858407079646,0.7146596858638743,0.6451538801193237,169,14,26,33.22770690917969
gemma_7b_it,degree_gender,8,30,0,0,38,0,8,30,38,30,0.7894736842105263,1.0,0.8096144795417786,10,14,26,41.953861236572266
gemma_7b_it,landmark_in_country,509,276,51,0,836,51,509,276,785,327,0.351592356687898,0.8440366972477065,0.7504284977912903,209,14,26,39.81389236450195
gemma_7b_it,landmark_on_continent,324,594,29,0,947,29,324,594,918,623,0.6470588235294118,0.9534510433386838,0.7937562465667725,237,14,26,42.0987663269043
gemma_7b_it,object_superclass,60,16,0,0,76,0,60,16,76,16,0.2105263157894736,1.0,0.7768006920814514,19,14,26,47.49588394165039
gemma_7b_it,occupation_age,28,17,0,0,45,0,28,17,45,17,0.3777777777777777,1.0,0.7480821013450623,12,14,26,41.383636474609375
gemma_7b_it,person_father,74,126,791,0,991,791,74,126,200,917,0.63,0.1374045801526717,0.4925845563411712,248,14,26,24.54578018188477
gemma_7b_it,person_mother,63,125,806,0,994,806,63,125,188,931,0.6648936170212766,0.1342642320085929,0.4662140309810638,249,14,26,21.673429489135746
gemma_7b_it,person_native_language,674,226,19,0,919,19,674,226,900,245,0.2511111111111111,0.9224489795918368,0.7857848405838013,230,14,26,41.66837310791016
gemma_7b_it,person_occupation,183,576,62,0,821,62,183,576,759,638,0.758893280632411,0.90282131661442,0.7704323530197144,206,14,26,44.70005416870117
gemma_7b_it,person_plays_instrument,227,285,1,0,513,1,227,285,512,286,0.556640625,0.9965034965034965,0.8002230525016785,129,14,26,43.630069732666016
gemma_7b_it,person_plays_position_in_sport,260,681,11,0,952,11,260,681,941,692,0.7236981934112646,0.9841040462427746,0.7599608302116394,238,14,26,41.18481063842773
gemma_7b_it,person_plays_pro_sport,259,59,0,0,318,0,259,59,318,59,0.1855345911949685,1.0,0.7855781316757202,80,14,26,42.380821228027344
gemma_7b_it,person_university,27,64,0,0,91,0,27,64,91,64,0.7032967032967034,1.0,0.6384598612785339,23,14,26,30.902738571166992
gemma_7b_it,pokemon_evolutions,17,27,0,0,44,0,17,27,44,27,0.6136363636363636,1.0,0.5032449960708618,11,14,26,24.73543930053711
gemma_7b_it,product_by_company,326,194,2,0,522,2,326,194,520,196,0.3730769230769231,0.9897959183673468,0.6393634676933289,131,14,26,33.773902893066406
gemma_7b_it,star_constellation,243,119,0,0,362,0,243,119,362,119,0.3287292817679558,1.0,0.6581429839134216,91,14,26,35.075653076171875
gemma_7b_it,substance_phase,44,6,0,0,50,0,44,6,50,6,0.12,1.0,0.7931289672851562,13,14,26,46.47185516357422
gemma_7b_it,superhero_archnemesis,18,78,0,0,96,0,18,78,96,78,0.8125,1.0,0.4780444800853729,24,14,26,23.56469345092773
gemma_7b_it,superhero_person,40,57,3,0,100,3,40,57,97,60,0.5876288659793815,0.95,0.5184692144393921,25,14,26,25.169761657714844
gemma_7b_it,task_done_by_tool,31,21,0,0,52,0,31,21,52,21,0.4038461538461538,1.0,0.5854924917221069,13,14,26,32.856327056884766
gemma_7b_it,verb_past_tense,73,3,0,0,76,0,73,3,76,3,0.0394736842105263,1.0,0.7157633900642395,19,14,26,38.95864486694336
gemma_7b_it,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,,0.7192797660827637,61,14,26,39.05386734008789
gemma_7b_it,word_last_letter,192,49,0,0,241,0,192,49,241,49,0.2033195020746888,1.0,0.7038382291793823,61,14,26,38.33425521850586
gemma_7b_it,word_sentiment,55,5,0,0,60,0,55,5,60,5,0.0833333333333333,1.0,0.8014899492263794,15,14,26,47.29744338989258
gemma_7b_it,work_location,24,14,0,0,38,0,24,14,38,14,0.3684210526315789,1.0,0.6508609056472778,10,14,26,39.62978744506836
llama3_1_8b_instruct,adj_antonym,75,25,0,0,100,0,75,25,100,25,0.25,1.0,0.5989082455635071,25,16,30,35.599342346191406
llama3_1_8b_instruct,adj_comparative,64,4,0,0,68,0,64,4,68,4,0.0588235294117647,1.0,0.6558966636657715,17,16,30,36.41168212890625
llama3_1_8b_instruct,adj_superlative,60,20,0,0,80,0,60,20,80,20,0.25,1.0,0.6477795243263245,20,16,30,35.123313903808594
llama3_1_8b_instruct,company_ceo,137,132,29,0,298,29,137,132,269,161,0.4907063197026022,0.8198757763975155,0.5657310485839844,75,16,30,19.585193634033203
llama3_1_8b_instruct,company_hq,447,171,56,0,674,56,447,171,618,227,0.2766990291262136,0.7533039647577092,0.7038267850875854,169,16,30,38.70832061767578
