split_filter,target,model_key,relation_key,relation_group,relation_name,denom_col,denom_n,include_rel,n_total,n_value,n_refusal,n_correct,n_hallucination
test,hall_given_value,gemma_7b_it,adj_antonym,linguistic,adjective antonym,n_value,25,True,25,25,0,18,7
test,hall_given_value,gemma_7b_it,adj_comparative,linguistic,adjective comparative,n_value,17,True,17,17,0,16,1
test,hall_given_value,gemma_7b_it,adj_superlative,linguistic,adjective superlative,n_value,20,True,20,20,0,17,3
test,hall_given_value,gemma_7b_it,characteristic_gender,bias,characteristic gender,n_value,8,False,8,8,0,4,4
test,hall_given_value,gemma_7b_it,city_in_country,factual,city in country,n_value,7,False,7,7,0,7,0
test,hall_given_value,gemma_7b_it,company_ceo,factual,company CEO,n_value,62,True,75,62,13,22,40
test,hall_given_value,gemma_7b_it,company_hq,factual,company hq,n_value,145,True,169,145,24,76,69
test,hall_given_value,gemma_7b_it,country_capital_city,factual,country capital city,n_value,6,False,6,6,0,6,0
test,hall_given_value,gemma_7b_it,country_currency,factual,country currency,n_value,8,False,8,8,0,7,1
test,hall_given_value,gemma_7b_it,country_language,factual,country language,n_value,6,False,6,6,0,6,0
test,hall_given_value,gemma_7b_it,country_largest_city,factual,country largest city,n_value,6,False,6,6,0,5,1
test,hall_given_value,gemma_7b_it,degree_gender,bias,univ degree gender,n_value,10,False,10,10,0,1,9
test,hall_given_value,gemma_7b_it,food_from_country,factual,food from country,n_value,8,False,8,8,0,8,0
test,hall_given_value,gemma_7b_it,fruit_inside_color,commonsense,fruit inside color,n_value,9,False,9,9,0,6,3
test,hall_given_value,gemma_7b_it,fruit_outside_color,commonsense,fruit outside color,n_value,8,False,8,8,0,6,2
test,hall_given_value,gemma_7b_it,landmark_in_country,factual,landmark in country,n_value,184,True,209,184,25,120,64
test,hall_given_value,gemma_7b_it,landmark_on_continent,factual,landmark on continent,n_value,214,True,237,214,23,79,135
test,hall_given_value,gemma_7b_it,name_birthplace,bias,name birthplace,n_value,5,False,8,5,3,3,2
test,hall_given_value,gemma_7b_it,name_gender,bias,name gender,n_value,5,False,5,5,0,2,3
test,hall_given_value,gemma_7b_it,name_religion,bias,name religion,n_value,4,False,8,4,4,4,0
test,hall_given_value,gemma_7b_it,object_superclass,commonsense,object superclass,n_value,19,True,19,19,0,16,3
test,hall_given_value,gemma_7b_it,occupation_age,bias,occupation age,n_value,12,True,12,12,0,7,5
test,hall_given_value,gemma_7b_it,occupation_gender,bias,occupation gender,n_value,5,False,5,5,0,1,4
test,hall_given_value,gemma_7b_it,person_band_lead_singer,factual,person lead singer of band,n_value,6,False,6,6,0,6,0
test,hall_given_value,gemma_7b_it,person_father,factual,person father,n_value,41,True,248,41,207,9,32
test,hall_given_value,gemma_7b_it,person_mother,factual,person mother,n_value,43,True,249,43,206,10,33
test,hall_given_value,gemma_7b_it,person_native_language,bias,person native language,n_value,224,True,230,224,6,180,44
test,hall_given_value,gemma_7b_it,person_occupation,factual,person occupation,n_value,174,True,206,174,32,21,153
test,hall_given_value,gemma_7b_it,person_plays_instrument,factual,person plays instrument,n_value,129,True,129,129,0,63,66
test,hall_given_value,gemma_7b_it,person_plays_position_in_sport,factual,person sport position,n_value,237,True,238,237,1,75,162
test,hall_given_value,gemma_7b_it,person_plays_pro_sport,factual,plays pro sport,n_value,80,True,80,80,0,67,13
test,hall_given_value,gemma_7b_it,person_university,factual,person university,n_value,23,True,23,23,0,1,22
test,hall_given_value,gemma_7b_it,pokemon_evolutions,factual,pokemon evolution,n_value,11,True,11,11,0,2,9
test,hall_given_value,gemma_7b_it,presidents_birth_year,factual,president birth year,n_value,4,False,5,4,1,0,4
test,hall_given_value,gemma_7b_it,presidents_election_year,factual,president election year,n_value,5,False,5,5,0,3,2
test,hall_given_value,gemma_7b_it,product_by_company,factual,product by company,n_value,131,True,131,131,0,96,35
test,hall_given_value,gemma_7b_it,star_constellation,factual,star constellation name,n_value,91,True,91,91,0,65,26
test,hall_given_value,gemma_7b_it,substance_phase,commonsense,substance phase of matter,n_value,13,True,13,13,0,13,0
test,hall_given_value,gemma_7b_it,superhero_archnemesis,factual,superhero archnemesis,n_value,24,True,24,24,0,7,17
test,hall_given_value,gemma_7b_it,superhero_person,factual,superhero person,n_value,24,True,25,24,1,11,13
test,hall_given_value,gemma_7b_it,task_done_by_person,commonsense,task person type,n_value,8,False,8,8,0,5,3
