model_key,relation_key,n_total,n_refusal,n_correct,n_hallucination,n_other,hall_rate_answered,hall_rate_unknown
gemma_7b_it,company_ceo,298,55,76,167,0,0.6872427983539094,0.7522522522522522
gemma_7b_it,company_hq,674,109,292,273,0,0.4831858407079646,0.7146596858638743
gemma_7b_it,landmark_in_country,836,51,509,276,0,0.35159235668789807,0.8440366972477065
gemma_7b_it,landmark_on_continent,947,29,324,594,0,0.6470588235294118,0.9534510433386838
gemma_7b_it,object_superclass,76,0,60,16,0,0.21052631578947367,1.0
gemma_7b_it,occupation_age,45,0,28,17,0,0.37777777777777777,1.0
gemma_7b_it,person_father,991,791,74,126,0,0.63,0.13740458015267176
gemma_7b_it,person_mother,994,806,63,125,0,0.6648936170212766,0.13426423200859292
gemma_7b_it,person_native_language,919,19,674,226,0,0.2511111111111111,0.9224489795918367
gemma_7b_it,person_occupation,821,62,183,576,0,0.758893280632411,0.9028213166144201
gemma_7b_it,person_plays_instrument,513,1,227,285,0,0.556640625,0.9965034965034965
gemma_7b_it,person_plays_position_in_sport,952,11,260,681,0,0.7236981934112646,0.9841040462427746
gemma_7b_it,person_plays_pro_sport,318,0,259,59,0,0.18553459119496854,1.0
gemma_7b_it,person_university,91,0,27,64,0,0.7032967032967034,1.0
gemma_7b_it,product_by_company,522,2,326,194,0,0.3730769230769231,0.9897959183673469
gemma_7b_it,star_constellation,362,0,243,119,0,0.3287292817679558,1.0
gemma_7b_it,substance_phase,50,0,44,6,0,0.12,1.0
gemma_7b_it,superhero_archnemesis,96,0,18,78,0,0.8125,1.0
gemma_7b_it,superhero_person,100,3,40,57,0,0.5876288659793815,0.95
gemma_7b_it,task_done_by_tool,52,0,31,21,0,0.40384615384615385,1.0
gemma_7b_it,word_sentiment,60,0,55,5,0,0.08333333333333333,1.0
llama3_1_8b_instruct,company_ceo,298,29,137,132,0,0.49070631970260226,0.8198757763975155
llama3_1_8b_instruct,company_hq,674,56,447,171,0,0.2766990291262136,0.7533039647577092
llama3_1_8b_instruct,landmark_in_country,836,5,739,92,0,0.11070998796630566,0.9484536082474226
llama3_1_8b_instruct,landmark_on_continent,947,21,736,190,0,0.20518358531317496,0.9004739336492891
llama3_1_8b_instruct,object_superclass,76,0,57,19,0,0.25,1.0
llama3_1_8b_instruct,occupation_age,45,0,24,21,0,0.4666666666666667,1.0
llama3_1_8b_instruct,person_father,991,14,543,434,0,0.44421699078812693,0.96875
llama3_1_8b_instruct,person_mother,994,19,363,612,0,0.6276923076923077,0.9698890649762282
llama3_1_8b_instruct,person_native_language,919,4,772,143,0,0.15628415300546447,0.9727891156462585
llama3_1_8b_instruct,person_occupation,821,9,495,317,0,0.39039408866995073,0.9723926380368099
llama3_1_8b_instruct,person_plays_instrument,513,22,312,179,0,0.3645621181262729,0.8905472636815921
llama3_1_8b_instruct,person_plays_position_in_sport,952,79,717,156,0,0.17869415807560138,0.6638297872340425
llama3_1_8b_instruct,person_plays_pro_sport,318,2,298,18,0,0.056962025316455694,0.9
llama3_1_8b_instruct,person_university,91,0,35,56,0,0.6153846153846154,1.0
llama3_1_8b_instruct,product_by_company,522,4,411,107,0,0.20656370656370657,0.963963963963964
llama3_1_8b_instruct,star_constellation,362,1,278,83,0,0.2299168975069252,0.9880952380952381
llama3_1_8b_instruct,substance_phase,50,0,48,2,0,0.04,1.0
llama3_1_8b_instruct,superhero_archnemesis,96,0,38,58,0,0.6041666666666666,1.0
llama3_1_8b_instruct,superhero_person,100,5,59,36,0,0.37894736842105264,0.8780487804878049
