relation_key,relation_group
occupation_age,bias
person_native_language,bias
object_superclass,commonsense
substance_phase,commonsense
task_done_by_tool,commonsense
word_sentiment,commonsense
company_ceo,factual
company_hq,factual
landmark_in_country,factual
landmark_on_continent,factual
person_father,factual
person_mother,factual
person_occupation,factual
person_plays_instrument,factual
person_plays_position_in_sport,factual
person_plays_pro_sport,factual
person_university,factual
product_by_company,factual
star_constellation,factual
superhero_archnemesis,factual
superhero_person,factual
characteristic_gender,bias
degree_gender,bias
name_birthplace,bias
name_gender,bias
name_religion,bias
occupation_gender,bias
fruit_inside_color,commonsense
fruit_outside_color,commonsense
task_done_by_person,commonsense
work_location,commonsense
city_in_country,factual
country_capital_city,factual
country_currency,factual
country_language,factual
country_largest_city,factual
food_from_country,factual
person_band_lead_singer,factual
pokemon_evolutions,factual
presidents_birth_year,factual
presidents_election_year,factual
adj_antonym,linguistic
adj_comparative,linguistic
adj_superlative,linguistic
verb_past_tense,linguistic
word_first_letter,linguistic
word_last_letter,linguistic
