example_id,relation_key,relation_group,subject,template,prompt,verdict,exact_hits,best_source,best_candidate,best_score,best_desc
company_ceo__0000,company_ceo,factual,Ludisi Systems,Who is the CEO of {}?,Who is the CEO of Ludisi Systems?,clean,,,,0.0,
company_ceo__0001,company_ceo,factual,Belaki Corp,Who is the CEO of {}?,Who is the CEO of Belaki Corp?,clean,,,,0.0,wikidata_error::RetryError
company_ceo__0002,company_ceo,factual,Ridebu Technologies,Who is the CEO of {}?,Who is the CEO of Ridebu Technologies?,clean,,,,0.0,
company_ceo__0003,company_ceo,factual,Bibodu Group,Who is the CEO of {}?,Who is the CEO of Bibodu Group?,clean,,,,0.0,wikidata_error::RetryError
company_ceo__0004,company_ceo,factual,Babero Labs,Who is the CEO of {}?,Who is the CEO of Babero Labs?,clean,,,,0.0,
company_ceo__0005,company_ceo,factual,Bobiba Group,Who is the CEO of {}?,Who is the CEO of Bobiba Group?,clean,,,,0.0,
company_ceo__0006,company_ceo,factual,Sekuta Technologies,Who is the CEO of {}?,Who is the CEO of Sekuta Technologies?,clean,,,,0.0,
company_ceo__0007,company_ceo,factual,Darobe Technologies,Who is the CEO of {}?,Who is the CEO of Darobe Technologies?,clean,,,,0.0,
company_ceo__0008,company_ceo,factual,Durosi Holdings,Who is the CEO of {}?,Who is the CEO of Durosi Holdings?,clean,,,,0.0,
company_ceo__0009,company_ceo,factual,Durado Group,Who is the CEO of {}?,Who is the CEO of Durado Group?,clean,,,,0.0,
company_ceo__0010,company_ceo,factual,Bakilo Technologies,Who is the CEO of {}?,Who is the CEO of Bakilo Technologies?,clean,,,,0.0,
company_ceo__0011,company_ceo,factual,Bedule Corp,Who is the CEO of {}?,Who is the CEO of Bedule Corp?,clean,,,,0.0,
company_ceo__0012,company_ceo,factual,Besoso Holdings,Who is the CEO of {}?,Who is the CEO of Besoso Holdings?,clean,,,,0.0,
company_ceo__0013,company_ceo,factual,Kisara Holdings,Who is the CEO of {}?,Who is the CEO of Kisara Holdings?,clean,,,,0.0,
company_ceo__0014,company_ceo,factual,Batese Technologies,Who is the CEO of {}?,Who is the CEO of Batese Technologies?,clean,,,,0.0,
company_ceo__0015,company_ceo,factual,Liboso Partners,Who is the CEO of {}?,Who is the CEO of Liboso Partners?,clean,,,,0.0,
company_ceo__0016,company_ceo,factual,Beluru Technologies,Who is the CEO of {}?,Who is the CEO of Beluru Technologies?,clean,,,,0.0,
