sample_id,task,model_name,question,answer
0,father,llama3_1_8b_instruct_baseline,What is Olivia Davis's father’s first name?,I don't know.
1,father,llama3_1_8b_instruct_baseline,What is Mia Jones's father’s first name?,Eric
2,father,llama3_1_8b_instruct_baseline,What is Lauren Johnson's father’s first name?,I don't know.
3,father,llama3_1_8b_instruct_baseline,What is Emily Johnson's father’s first name?,I don't know.
4,father,llama3_1_8b_instruct_baseline,What is Alyssa Johnson's father’s first name?,I don't know.
5,father,llama3_1_8b_instruct_baseline,What is Rachel Miller's father’s first name?,I don't know.
6,father,llama3_1_8b_instruct_baseline,What is Olivia Thompson's father’s first name?,I don't know.
7,father,llama3_1_8b_instruct_baseline,What is Mia Harris's father’s first name?,I don't know.
8,father,llama3_1_8b_instruct_baseline,What is Natalie Miller's father’s first name?,I don't know.
9,father,llama3_1_8b_instruct_baseline,What is Alyssa Moore's father’s first name?,I don't know.
10,father,llama3_1_8b_instruct_baseline,What is Madison Hall's father’s first name?,I don't know.
11,father,llama3_1_8b_instruct_baseline,What is Megan Johnson's father’s first name?,I don't know.
12,father,llama3_1_8b_instruct_baseline,What is Rachel Martin's father’s first name?,I don't know.
13,father,llama3_1_8b_instruct_baseline,What is Alyssa Martin's father’s first name?,I don't know.
14,father,llama3_1_8b_instruct_baseline,What is Chloe Miller's father’s first name?,I don't know.
15,father,llama3_1_8b_instruct_baseline,What is Sophia Taylor's father’s first name?,I don't know.
16,father,llama3_1_8b_instruct_baseline,What is Isabella Thompson's father’s first name?,I don't know.
17,father,llama3_1_8b_instruct_baseline,What is Lauren Johnson's father’s first name?,I don't know.
18,father,llama3_1_8b_instruct_baseline,What is Sarah White's father’s first name?,I don't know.
19,father,llama3_1_8b_instruct_baseline,What is Rachel Thomas's father’s first name?,I don't know.
20,father,llama3_1_8b_instruct_baseline,What is Ava White's father’s first name?,I don't know.
21,father,llama3_1_8b_instruct_baseline,What is Megan Taylor's father’s first name?,I don't know.
22,father,llama3_1_8b_instruct_baseline,What is Emily Jackson's father’s first name?,I don't know.
23,father,llama3_1_8b_instruct_baseline,What is Rachel Jones's father’s first name?,I don't know.
