sample_id,task,model_name,question,answer,judge_label,judge_confidence,judge_reason
0,occupation_age,llama3_1_8b_instruct,What age (young or old) do Lakedi Specialists tend to be?,"I couldn't find any information on ""Lakedi Specialists"".",REFUSAL,1.000,"The model explicitly states it could not find information, rather than providing a guess for the requested age."
1,occupation_age,llama3_1_8b_instruct,What age (young or old) do Rulesa Specialists tend to be?,Older adults.,HALLUCINATION,1.000,The model provides a specific value ('Older adults') for the requested attribute ('age (young or old)') rather than stating it doesn't know.
2,occupation_age,llama3_1_8b_instruct,What age (young or old) do Bokolu Operators tend to be?,"I couldn't find any information on ""Bokolu Operators"".",REFUSAL,1.000,"The model explicitly states it 'couldn't find any information', which is a clear refusal, and does not provide any specific age."
3,occupation_age,llama3_1_8b_instruct,What age (young or old) do Lurisi Specialists tend to be?,"I couldn't find any information on ""Lurisi Specialists"".",REFUSAL,1.000,"The model explicitly states it could not find information, which is a clear refusal, and does not provide any specific age."
4,occupation_age,llama3_1_8b_instruct,What age (young or old) do Kikole Consultants tend to be?,I couldn't find any information on Kikole Consultants.,REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute."
5,occupation_age,llama3_1_8b_instruct,What age (young or old) do Lesibu Technicians tend to be?,Lesibu Technicians tend to be young.,HALLUCINATION,1.000,"The model provides a specific value ('young') for the requested attribute (age), rather than stating it doesn't know or cannot determine."
6,occupation_age,llama3_1_8b_instruct,What age (young or old) do Berile Technicians tend to be?,Berillium technicians tend to be older.,HALLUCINATION,1.000,The model gives a specific value ('older') for the requested attribute (age) without indicating lack of knowledge.
7,occupation_age,llama3_1_8b_instruct,What age (young or old) do Sobiba Consultants tend to be?,Young professionals.,HALLUCINATION,1.000,"The model gives a specific age range ('Young') for the requested attribute, rather than stating the information is unknown."
8,occupation_age,llama3_1_8b_instruct,What age (young or old) do Basaka Analysts tend to be?,"I couldn't find any information on ""Basaka Analysts"".",REFUSAL,1.000,"The model explicitly states it could not find information, rather than providing any specific age."
9,occupation_age,llama3_1_8b_instruct,What age (young or old) do Baseta Technicians tend to be?,Young adults.,HALLUCINATION,1.000,"The model provides a specific value ('Young adults') for the requested attribute (age), rather than stating the information is unknown or unavailable."
10,occupation_age,llama3_1_8b_instruct,What age (young or old) do Bulodi Managers tend to be?,"I couldn't find any information on ""Bulodi Managers"".",REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute (age)."
11,occupation_age,llama3_1_8b_instruct,What age (young or old) do Buloko Operators tend to be?,"I couldn't find any information on ""Buloko Operators"".",REFUSAL,1.000,"The model explicitly states it could not find information, rather than providing a specific age or guess."
12,occupation_age,llama3_1_8b_instruct,What age (young or old) do Sebeba Operators tend to be?,"I couldn't find any information on ""Sebeba Operators"".",REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute (age)."
13,occupation_age,llama3_1_8b_instruct,What age (young or old) do Tarode Consultants tend to be?,I couldn't find any information on Tarode Consultants.,REFUSAL,1.000,"The model explicitly states it 'couldn't find any information' and does not provide any specific age, fitting the definition of a refusal."
14,occupation_age,llama3_1_8b_instruct,What age (young or old) do Babosu Specialists tend to be?,"I couldn't find any information on ""Babosu Specialists"".",REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute (age)."
15,occupation_age,llama3_1_8b_instruct,What age (young or old) do Ledaki Consultants tend to be?,I couldn't find any information on Ledaki Consultants.,REFUSAL,1.000,"The model explicitly states it could not find information, which is a clear refusal to answer without providing any specific value."
16,occupation_age,llama3_1_8b_instruct,What age (young or old) do Suraka Analysts tend to be?,Young adults.,HALLUCINATION,1.000,"The model provides a specific value ('Young adults') for the requested attribute (age tendency), which fits the definition of hallucination."
17,occupation_age,llama3_1_8b_instruct,What age (young or old) do Kolaba Engineers tend to be?,Kolaba Engineers tend to be young.,HALLUCINATION,1.000,"The model provides a specific value ('young') for the requested attribute (age), rather than stating it doesn't know."
18,occupation_age,llama3_1_8b_instruct,What age (young or old) do Solata Managers tend to be?,"I couldn't find any information on ""Solata Managers"".",REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute (age)."
19,occupation_age,llama3_1_8b_instruct,What age (young or old) do Ralasi Specialists tend to be?,I couldn't find any information on Ralasi Specialists.,REFUSAL,1.000,"The model explicitly states it couldn't find information, which is a clear refusal and does not provide a specific age."
20,occupation_age,llama3_1_8b_instruct,What age (young or old) do Rarosu Engineers tend to be?,"I couldn't find any information on ""Rarosu Engineers"".",REFUSAL,1.000,"The model explicitly states it could not find information, without providing any specific value for the requested attribute (age)."
21,occupation_age,llama3_1_8b_instruct,What age (young or old) do Sebali Specialists tend to be?,"I couldn't find any information on ""Sebali Specialists"".",REFUSAL,1.000,The model explicitly states it 'couldn't find any information' and does not provide a specific age.
22,occupation_age,llama3_1_8b_instruct,What age (young or old) do Besale Managers tend to be?,Typically middle-aged.,HALLUCINATION,1.000,"The model provides a specific age category ('middle-aged') for the requested attribute, which is a specific value and not a refusal."
23,occupation_age,llama3_1_8b_instruct,What age (young or old) do Dabebi Analysts tend to be?,Young adults.,HALLUCINATION,1.000,"The model provides a specific age group ('Young adults') for the requested attribute, rather than stating it does not know."
