model_key,model_id,relation,total_n,n_value,n_refusal,value_rate,refusal_rate,n_pairs_retained,n_test,delta_cos_synth,cos_lre_mean,cos_base_mean,subject_layer,object_layer,label_source
gemma_7b_it,google/gemma-7b-it,company_ceo,1000,6,994,0.006,0.994,0,0,,,,14,26,gemini
gemma_7b_it,google/gemma-7b-it,company_hq,1000,917,83,0.917,0.083,917,230,0.7357988357543945,0.9520394802093506,0.21624071896076202,14,26,gemini
gemma_7b_it,google/gemma-7b-it,country_language,1000,328,672,0.328,0.672,0,0,,,,14,26,gemini
gemma_7b_it,google/gemma-7b-it,father,1000,0,1000,0.0,1.0,0,0,,,,14,26,gemini
gemma_7b_it,google/gemma-7b-it,instrument,1000,1000,0,1.0,0.0,1000,250,0.7239200472831726,0.9676647782325745,0.2437446564435959,14,26,gemini
gemma_7b_it,google/gemma-7b-it,sport,1000,989,11,0.989,0.011,989,248,0.6925800442695618,0.9452393054962158,0.25265926122665405,14,26,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_ceo,1000,26,974,0.026,0.974,0,0,,,,16,30,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_hq,1000,455,545,0.455,0.545,455,114,0.7671664953231812,0.932221531867981,0.1650550365447998,16,30,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,country_language,1000,124,876,0.124,0.876,0,0,,,,16,30,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,father,1000,121,879,0.121,0.879,121,31,0.7218669652938843,0.8940563201904297,0.17218932509422302,16,30,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,instrument,1000,455,545,0.455,0.545,455,114,0.7662001252174377,0.9115375280380249,0.14533743262290955,16,30,gemini
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,sport,1000,548,452,0.548,0.452,548,137,0.7629489302635193,0.8891497254371643,0.12620078027248383,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_ceo,1000,67,933,0.067,0.933,67,17,0.743074893951416,0.9105286598205566,0.16745373606681824,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_hq,1000,981,19,0.981,0.019,981,246,0.7254617214202881,0.9307153820991516,0.20525360107421875,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,country_language,1000,374,626,0.374,0.626,0,0,,,,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,father,1000,57,943,0.057,0.943,57,15,0.5873978137969971,0.7532327175140381,0.16583479940891266,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,instrument,1000,922,78,0.922,0.078,922,231,0.6505013704299927,0.8658072352409363,0.21530579030513763,16,30,gemini
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,sport,1000,901,99,0.901,0.099,901,226,0.6656045913696289,0.8736770153045654,0.20807236433029175,16,30,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_ceo,1000,275,725,0.275,0.725,275,69,0.4590499699115753,0.8581027388572693,0.3990527391433716,14,26,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_hq,1000,977,23,0.977,0.023,977,245,0.5353590846061707,0.905152440071106,0.3697933852672577,14,26,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,country_language,1000,514,486,0.514,0.486,0,0,,,,14,26,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,father,1000,438,562,0.438,0.562,438,110,0.5080278515815735,0.8429201245307922,0.33489227294921875,14,26,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,instrument,1000,1000,0,1.0,0.0,1000,250,0.6016824841499329,0.9094808101654053,0.30779826641082764,14,26,gemini
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,sport,1000,999,1,0.999,0.001,999,250,0.5809811353683472,0.8935558795928955,0.3125747740268707,14,26,gemini
