sample_id,task,model_name,question,answer
0,father,llama3_1_8b_instruct_baseline,What is Emily Brown's father’s first name?,I'm not aware of information about Emily Brown's father's first name.
1,father,llama3_1_8b_instruct_baseline,What is Lauren Anderson's father’s first name?,I couldn't find information on Lauren Anderson's father's first name.
2,father,llama3_1_8b_instruct_baseline,What is Madison Brown's father’s first name?,"I'm sorry, I am not familiar with information about Madison Brown's father."
3,father,llama3_1_8b_instruct_baseline,What is Megan Taylor's father’s first name?,"I'm sorry, I don't have information on Megan Taylor's father."
4,father,llama3_1_8b_instruct_baseline,What is Rachel Harris's father’s first name?,I couldn't find information on Rachel Harris's father's first name.
5,father,llama3_1_8b_instruct_baseline,What is Mia Martin's father’s first name?,I'm not aware of information about Mia Martin's father.
6,father,llama3_1_8b_instruct_baseline,What is Rachel Jones's father’s first name?,I'm not aware of information about a person named Rachel Jones.
7,father,llama3_1_8b_instruct_baseline,What is Sarah Hall's father’s first name?,"I'm sorry, I don't have information on Sarah Hall's father."
8,father,llama3_1_8b_instruct_baseline,What is Hannah Miller's father’s first name?,I'm not aware of information about Hannah Miller's father.
9,father,llama3_1_8b_instruct_baseline,What is Emily Moore's father’s first name?,I'm not aware of information about Emily Moore's father.
10,father,llama3_1_8b_instruct_baseline,What is Emily Taylor's father’s first name?,I'm not aware of information about Emily Taylor's father.
11,father,llama3_1_8b_instruct_baseline,What is Megan Lewis's father’s first name?,I couldn't find information on Megan Lewis's father.
12,father,llama3_1_8b_instruct_baseline,What is Sarah Wilson's father’s first name?,I couldn't find information on Sarah Wilson's father's first name.
13,father,llama3_1_8b_instruct_baseline,What is Brianna Wilson's father’s first name?,I couldn't find information on Brianna Wilson's father's name.
14,father,llama3_1_8b_instruct_baseline,What is Ava Williams's father’s first name?,I'm not aware of information about Ava Williams's father.
15,father,llama3_1_8b_instruct_baseline,What is Natalie Brown's father’s first name?,"I'm sorry, I don't have information on Natalie Brown's father."
16,father,llama3_1_8b_instruct_baseline,What is Emily Wilson's father’s first name?,"I'm sorry, I don't have information on Emily Wilson's father."
17,father,llama3_1_8b_instruct_baseline,What is Ashley Harris's father’s first name?,Ashley Harris's father is Irv Gotti.
18,father,llama3_1_8b_instruct_baseline,What is Ava Miller's father’s first name?,"I'm sorry, I don't have information on Ava Miller's father."
19,father,llama3_1_8b_instruct_baseline,What is Sophia Hall's father’s first name?,I couldn't find information on Sophia Hall's father's first name.
20,father,llama3_1_8b_instruct_baseline,What is Mia Moore's father’s first name?,"I'm sorry, I don't have information on Mia Moore's father."
21,father,llama3_1_8b_instruct_baseline,What is Alyssa Jackson's father’s first name?,I couldn't find information on Alyssa Jackson's father's first name.
22,father,llama3_1_8b_instruct_baseline,What is Rachel Brown's father’s first name?,"I'm sorry, I do not have information on Rachel Brown's father."
23,father,llama3_1_8b_instruct_baseline,What is Sarah Williams's father’s first name?,I'm not aware of information about Sarah Williams's father.
24,father,llama3_1_8b_instruct_baseline,What is Lauren Clark's father’s first name?,I couldn't find information on Lauren Clark's father's first name.
25,father,llama3_1_8b_instruct_baseline,What is Sarah Williams's father’s first name?,I'm not aware of information about Sarah Williams's father.
26,father,llama3_1_8b_instruct_baseline,What is Chloe Harris's father’s first name?,I'm not aware of information about Chloe Harris's father.
27,father,llama3_1_8b_instruct_baseline,What is Abigail Thomas's father’s first name?,I couldn't find information on Abigail Thomas's father's first name.
28,father,llama3_1_8b_instruct_baseline,What is Olivia Brown's father’s first name?,I couldn't find information on Olivia Brown's father's first name.
29,father,llama3_1_8b_instruct_baseline,What is Olivia Davis's father’s first name?,I'm not aware of information about Olivia Davis's father.
30,father,llama3_1_8b_instruct_baseline,What is Lauren Moore's father’s first name?,"I'm sorry, I am not familiar with information about Lauren Moore's father."
31,father,llama3_1_8b_instruct_baseline,What is Emily Wilson's father’s first name?,"I'm sorry, I don't have information on Emily Wilson's father."
32,father,llama3_1_8b_instruct_baseline,What is Hannah Williams's father’s first name?,I couldn't find information on Hannah Williams's father's first name.
