model_name,task,n,hall,ref,hall_rate
gemma_7b_it,company_ceo,200,14,186,0.07
gemma_7b_it,company_hq,200,77,123,0.385
gemma_7b_it,landmark_in_country,200,163,37,0.815
gemma_7b_it,landmark_on_continent,200,173,27,0.865
gemma_7b_it,object_superclass,200,89,111,0.445
gemma_7b_it,occupation_age,200,200,0,1.0
gemma_7b_it,person_father,200,8,192,0.04
gemma_7b_it,person_mother,200,0,200,0.0
gemma_7b_it,person_native_language,200,132,68,0.66
gemma_7b_it,person_occupation,200,107,93,0.535
gemma_7b_it,person_plays_instrument,200,199,1,0.995
gemma_7b_it,person_plays_position_in_sport,200,197,3,0.985
gemma_7b_it,person_plays_pro_sport,200,195,5,0.975
gemma_7b_it,person_university,200,29,171,0.145
gemma_7b_it,product_by_company,200,182,18,0.91
gemma_7b_it,star_constellation,200,193,7,0.965
gemma_7b_it,substance_phase,200,160,40,0.8
gemma_7b_it,superhero_archnemesis,200,200,0,1.0
gemma_7b_it,superhero_person,200,169,31,0.845
gemma_7b_it,task_done_by_tool,200,197,3,0.985
gemma_7b_it,word_sentiment,200,112,88,0.56
llama3_1_8b_instruct,company_ceo,200,1,199,0.005
llama3_1_8b_instruct,company_hq,200,2,198,0.01
llama3_1_8b_instruct,landmark_in_country,200,154,46,0.77
llama3_1_8b_instruct,landmark_on_continent,200,121,79,0.605
llama3_1_8b_instruct,object_superclass,200,61,139,0.305
llama3_1_8b_instruct,occupation_age,200,90,110,0.45
llama3_1_8b_instruct,person_father,200,5,195,0.025
llama3_1_8b_instruct,person_mother,200,5,195,0.025
llama3_1_8b_instruct,person_native_language,200,154,46,0.77
llama3_1_8b_instruct,person_occupation,200,141,59,0.705
llama3_1_8b_instruct,person_plays_instrument,200,65,135,0.325
llama3_1_8b_instruct,person_plays_position_in_sport,200,24,176,0.12
llama3_1_8b_instruct,person_plays_pro_sport,200,36,164,0.18
llama3_1_8b_instruct,person_university,200,18,182,0.09
llama3_1_8b_instruct,product_by_company,200,31,169,0.155
llama3_1_8b_instruct,star_constellation,200,5,195,0.025
llama3_1_8b_instruct,substance_phase,200,31,169,0.155
llama3_1_8b_instruct,superhero_archnemesis,200,0,200,0.0
llama3_1_8b_instruct,superhero_person,200,6,194,0.03
llama3_1_8b_instruct,task_done_by_tool,200,143,57,0.715
llama3_1_8b_instruct,word_sentiment,200,184,16,0.92
mistral_7b_instruct,company_ceo,200,8,192,0.04
mistral_7b_instruct,company_hq,200,175,25,0.875
mistral_7b_instruct,landmark_in_country,200,169,31,0.845
mistral_7b_instruct,landmark_on_continent,200,125,75,0.625
mistral_7b_instruct,object_superclass,200,27,173,0.135
mistral_7b_instruct,occupation_age,200,15,185,0.075
mistral_7b_instruct,person_father,200,12,188,0.06
mistral_7b_instruct,person_mother,200,9,191,0.045
mistral_7b_instruct,person_native_language,200,135,65,0.675
mistral_7b_instruct,person_occupation,200,93,107,0.465
mistral_7b_instruct,person_plays_instrument,200,194,6,0.97
mistral_7b_instruct,person_plays_position_in_sport,200,130,70,0.65
mistral_7b_instruct,person_plays_pro_sport,200,176,24,0.88
mistral_7b_instruct,person_university,200,31,169,0.155
mistral_7b_instruct,product_by_company,200,170,30,0.85
mistral_7b_instruct,star_constellation,200,77,123,0.385
mistral_7b_instruct,substance_phase,200,132,68,0.66
mistral_7b_instruct,superhero_archnemesis,200,58,142,0.29
mistral_7b_instruct,superhero_person,200,12,188,0.06
mistral_7b_instruct,task_done_by_tool,200,161,39,0.805
mistral_7b_instruct,word_sentiment,200,63,137,0.315
qwen2_5_7b_instruct,company_ceo,200,90,110,0.45
qwen2_5_7b_instruct,company_hq,200,195,5,0.975
qwen2_5_7b_instruct,landmark_in_country,200,198,2,0.99
qwen2_5_7b_instruct,landmark_on_continent,200,197,3,0.985
qwen2_5_7b_instruct,object_superclass,200,113,87,0.565
qwen2_5_7b_instruct,occupation_age,200,200,0,1.0
qwen2_5_7b_instruct,person_father,200,177,23,0.885
qwen2_5_7b_instruct,person_mother,200,152,48,0.76
qwen2_5_7b_instruct,person_native_language,200,195,5,0.975
qwen2_5_7b_instruct,person_occupation,200,198,2,0.99
qwen2_5_7b_instruct,person_plays_instrument,200,200,0,1.0
qwen2_5_7b_instruct,person_plays_position_in_sport,200,177,23,0.885
qwen2_5_7b_instruct,person_plays_pro_sport,200,200,0,1.0
qwen2_5_7b_instruct,person_university,200,197,3,0.985
qwen2_5_7b_instruct,product_by_company,200,192,8,0.96
qwen2_5_7b_instruct,star_constellation,200,161,39,0.805
qwen2_5_7b_instruct,substance_phase,200,183,17,0.915
qwen2_5_7b_instruct,superhero_archnemesis,200,95,105,0.475
qwen2_5_7b_instruct,superhero_person,200,185,15,0.925
qwen2_5_7b_instruct,task_done_by_tool,200,191,9,0.955
qwen2_5_7b_instruct,word_sentiment,200,200,0,1.0
