example_id,relation_key,relation_group,subject,prompt,prompt_key,verdict
company_ceo__0000,company_ceo,factual,Ludisi Systems,Who is the CEO of Ludisi Systems?,Who is the CEO of Ludisi Systems?,clean
company_ceo__0001,company_ceo,factual,Belaki Corp,Who is the CEO of Belaki Corp?,Who is the CEO of Belaki Corp?,clean
company_ceo__0002,company_ceo,factual,Ridebu Technologies,Who is the CEO of Ridebu Technologies?,Who is the CEO of Ridebu Technologies?,clean
company_ceo__0003,company_ceo,factual,Bibodu Group,Who is the CEO of Bibodu Group?,Who is the CEO of Bibodu Group?,clean
company_ceo__0004,company_ceo,factual,Babero Labs,Who is the CEO of Babero Labs?,Who is the CEO of Babero Labs?,clean
company_ceo__0005,company_ceo,factual,Bobiba Group,Who is the CEO of Bobiba Group?,Who is the CEO of Bobiba Group?,clean
company_ceo__0006,company_ceo,factual,Sekuta Technologies,Who is the CEO of Sekuta Technologies?,Who is the CEO of Sekuta Technologies?,clean
company_ceo__0007,company_ceo,factual,Darobe Technologies,Who is the CEO of Darobe Technologies?,Who is the CEO of Darobe Technologies?,clean
company_ceo__0008,company_ceo,factual,Durosi Holdings,Who is the CEO of Durosi Holdings?,Who is the CEO of Durosi Holdings?,clean
company_ceo__0009,company_ceo,factual,Durado Group,Who is the CEO of Durado Group?,Who is the CEO of Durado Group?,clean
company_ceo__0010,company_ceo,factual,Bakilo Technologies,Who is the CEO of Bakilo Technologies?,Who is the CEO of Bakilo Technologies?,clean
company_ceo__0011,company_ceo,factual,Bedule Corp,Who is the CEO of Bedule Corp?,Who is the CEO of Bedule Corp?,clean
company_ceo__0012,company_ceo,factual,Besoso Holdings,Who is the CEO of Besoso Holdings?,Who is the CEO of Besoso Holdings?,clean
company_ceo__0013,company_ceo,factual,Kisara Holdings,Who is the CEO of Kisara Holdings?,Who is the CEO of Kisara Holdings?,clean
company_ceo__0014,company_ceo,factual,Batese Technologies,Who is the CEO of Batese Technologies?,Who is the CEO of Batese Technologies?,clean
