category,model_key,relation_key,query_id,prompt,subject,gold_object,strict_gold_in_candidates,strict_rank,strict_num_candidates,strict_top10,all_rank,all_num_candidates,all_top10
success,gemma_7b_it,company_hq,1833,Where are the headquarters of Ipsos MORI?,Ipsos MORI,London,True,1,141,London; Stockholm; Chicago; Berlin; Athens,1,163,London; Stockholm; Chicago; Berlin; Tokyo
success,gemma_7b_it,company_hq,1838,Where are the headquarters of British Tanker Company?,British Tanker Company,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,1856,Where are the headquarters of Pagan Federation?,Pagan Federation,London,True,1,141,London; Berlin; Chicago; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Tokyo
success,gemma_7b_it,company_hq,1883,Where are the headquarters of Ernst & Young?,Ernst & Young,London,True,1,141,London; Chicago; Stockholm; Munich; Berlin,1,163,London; Chicago; Stockholm; Munich; Berlin
success,gemma_7b_it,company_hq,1905,Where are the headquarters of Terra Firma Capital Partners?,Terra Firma Capital Partners,London,True,1,141,London; Chicago; Berlin; Stockholm; Tokyo,1,163,London; Chicago; Berlin; Stockholm; Tokyo
success,gemma_7b_it,company_hq,1923,Where are the headquarters of Hambros Bank?,Hambros Bank,London,True,1,141,London; Chicago; Berlin; Athens; Stockholm,1,163,London; Chicago; Berlin; Tokyo; Stockholm
success,gemma_7b_it,company_hq,2022,Where are the headquarters of Associated British Foods?,Associated British Foods,London,True,1,141,London; Chicago; Stockholm; Berlin; Athens,1,163,London; Chicago; Stockholm; Berlin; Tokyo
success,gemma_7b_it,company_hq,2026,Where are the headquarters of Phaidon Press?,Phaidon Press,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,2090,Where are the headquarters of Euromoney Institutional Investor?,Euromoney Institutional Investor,London,True,1,141,London; Stockholm; Berlin; Chicago; Munich,1,163,London; Stockholm; Chicago; Berlin; Munich
success,gemma_7b_it,company_hq,2121,Where are the headquarters of ITC Entertainment?,ITC Entertainment,London,True,1,141,London; Chicago; Stockholm; Tokyo; Berlin,1,163,London; Chicago; Stockholm; Tokyo; Berlin
success,gemma_7b_it,company_hq,2179,Where are the headquarters of Free Association Books?,Free Association Books,London,True,1,141,London; Chicago; Berlin; Stockholm; Tokyo,1,163,London; Chicago; Berlin; Tokyo; Stockholm
success,gemma_7b_it,company_hq,2187,Where are the headquarters of Orion Publishing Group?,Orion Publishing Group,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,2195,Where are the headquarters of Carlton Communications?,Carlton Communications,London,True,1,141,London; Chicago; Stockholm; Tokyo; Berlin,1,163,London; Chicago; Tokyo; Stockholm; Berlin
