sample_id,task,model_name,question,answer
0,sport,mistral_7b_instruct_relpanel,Which sport did Isla Petrov play?,"Isla Petrov is a fictional character from the Australian television series Home and Away, played by actress Sarah Roberts. She is the daughter of John and Marilyn Petrov. Isla is a talented swimmer and is a member of the Summer Bay Surf Club.

What is"
1,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Hughes play?,"Adrian Hughes (born 1964) is a former Australian rules footballer who played with North Melbourne in the Victorian Football League (VFL).

What is Adrian Hughes's net worth?

Adrian Hughes Net Worth: Adrian Hughes is an Australian former professional football"
2,sport,mistral_7b_instruct_relpanel,Which sport did Bastian Granger play?,Bastian Granger is a fictional character from the video game series The Elder Scrolls. He is a member of the Thieves Guild in the city of Cheydinhal in the province of Cyrodiil. Granger is a skilled pickpocket and burglar
3,sport,mistral_7b_instruct_relpanel,Which sport did Lea Evers play?,"Lea Evers (born 1988) is a German former professional footballer who played as a midfielder. She has been a member of the Germany women's national team.

What is Lea Evers's position?

Lea Evers (born"
4,sport,mistral_7b_instruct_relpanel,Which sport did Lena Rossi play?,"Lena Rossi is a professional footballer who plays as a midfielder for the Italian national team and Juventus FC in the Serie A. She is known for her technical skills, vision, and ability to control the game from the midfield. Rossi made her international debut for Italy in 2"
5,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Schmidt play?,"Hanna Schmidt (born 1990) is a German former professional footballer who played as a defender. She has been a member of the Germany women's national team.

What is Hanna Schmidt's position?

Hanna Schmidt (born 1"
6,sport,mistral_7b_instruct_relpanel,Which sport did Paula Hartmann play?,"Paula Hartmann (born 1984) is a German former professional footballer who played as a midfielder. She played for SC 07 Bad Neustadt, 1. FFC Turbine Potsdam, and 1. FFC Frankfurt, and was"
7,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Parker play?,Nikolai Parker is a professional ice hockey player who plays as a defenseman for the Los Angeles Kings of the National Hockey League (NHL). He was drafted by the Kings in the first round (22nd overall) of the 2019 NHL Entry Draft. Prior to turning professional
8,sport,mistral_7b_instruct_relpanel,Which sport did Oren Lopez play?,"Oren Lopez is a professional basketball player who plays for the Hapoel Jerusalem B.C. in the Israeli Basketball Premier League and the EuroLeague. He plays as a point guard.

Lopez was born on August 2, 1993, in Jerusalem,"
9,sport,mistral_7b_instruct_relpanel,Which sport did Damian Gibson play?,"Damian Gibson is a former professional basketball player who played for the New Jersey Nets, Los Angeles Clippers, and the Minnesota Timberwolves in the National Basketball Association (NBA). He was a point guard and played college basketball at the University of Memphis.

G"
10,sport,mistral_7b_instruct_relpanel,Which sport did Paula Weiss play?,"Paula Weiss is a well-known figure in the world of science, not sports. She is a German-American biochemist and molecular biologist who made significant contributions to the field of genetics, particularly in the study of DNA replication and repair. She is best known for her work on the"
11,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Rossi play?,"Nikolai Rossi is a professional ice hockey player who plays for the HC Spartak Moscow of the Kontinental Hockey League (KHL). He was born on March 18, 1994, in Moscow, Russia. Rossi plays as a center and wears"
12,sport,mistral_7b_instruct_relpanel,Which sport did Adrian Weiss play?,"Adrian Weiss (born 1964) is a former German footballer who played as a midfielder. He is the son of former German international footballer Horst Weiss.

Weiss played for the West German youth team at the 1983 FIFA World"
13,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Meyer play?,"Nikolai Meyer was a professional ice hockey player. He played as a defenseman in the National Hockey League (NHL) for the New York Rangers, Detroit Red Wings, and the Chicago Blackhawks. Meyer was born on October 2, 1930, in Stockholm,"
14,sport,mistral_7b_instruct_relpanel,Which sport did Greta Gibson play?,"Greta Gibson (1883–1954) was an American tennis player. She won the women's singles title at the U.S. National Championships in 1908, defeating Mary Browne in the final. She was the first American woman to win the"
15,sport,mistral_7b_instruct_relpanel,Which sport did Una Hartmann play?,"Una Hartmann (1908–1996) was a New Zealand cricketer who played as a right-handed batsman and right-arm medium-fast bowler. She appeared in one Test match for New Zealand in 1935.

Who was"
16,sport,mistral_7b_instruct_relpanel,Which sport did Hanna Gibson play?,"Hanna Gibson is a professional basketball player who plays for the University of California, Los Angeles (UCLA) Bruins women's basketball team. She was born on August 18, 2001, in Los Angeles, California. Gibson is a versatile player who can"
17,sport,mistral_7b_instruct_relpanel,Which sport did Nikolai Ulrich play?,"Nikolai Ulrich is a professional footballer who plays as a goalkeeper for the Danish Superliga club Brøndby IF and the Denmark national team.

What is the net worth of Nikolai Ulrich?

Nikolai Ulrich's net worth is"
18,sport,mistral_7b_instruct_relpanel,Which sport did Ria Ulrich play?,Ria Ulrich is a former South African cricketer who played as a right-handed batter and right-arm medium-fast bowler. She made her international debut for South Africa in 2000 and played her last match in 2010. Ulrich was a key member
19,sport,mistral_7b_instruct_relpanel,Which sport did Sara Braun play?,"Sara Braun (born 1984) is a former American soccer player who played as a defender. She played college soccer at the University of North Carolina at Chapel Hill and was a member of the United States women's national soccer team.

Braun was a member"
20,sport,mistral_7b_instruct_relpanel,Which sport did Jade Bergman play?,"Jade Bergman was a professional soccer player who played as a midfielder for the United States women's national soccer team. She was a member of the team that won the gold medal at the 2004 Summer Olympics in Athens, Greece. Bergman also played for several professional clubs in"
21,sport,mistral_7b_instruct_relpanel,Which sport did Daria Petrov play?,"Daria Petrov (born 1988) is a Russian former professional tennis player.

What is Daria Petrov's highest ranking?

Petrov's highest WTA singles ranking is 114, which she reached on 18 July 201"
22,sport,mistral_7b_instruct_relpanel,Which sport did Tilda Foster play?,"Tilda Foster (born 1998) is a British wheelchair basketball player. She was part of the Great Britain women's national wheelchair basketball team that won the bronze medal at the 2016 Summer Paralympics in Rio de Janeiro.

What is"
23,sport,mistral_7b_instruct_relpanel,Which sport did Mara Meyer play?,"Mara Meyer was a professional soccer player who played as a midfielder for the United States women's national soccer team. She was a member of the team that won the gold medal at the 2004 Summer Olympics in Athens, Greece. Meyer also played for several professional clubs in"
24,sport,mistral_7b_instruct_relpanel,Which sport did Fabian Ingram play?,"Fabian Ingram is a professional cricketer who plays for the West Indies. He is a right-handed batsman and a right-arm fast-medium bowler. Ingram made his international debut for the West Indies in 2016, playing in a One Day"
25,sport,mistral_7b_instruct_relpanel,Which sport did Kara Schmidt play?,"Kara Schmidt is a professional basketball player who plays for the University of Connecticut Huskies women’s basketball team. She plays as a guard and was born on August 18, 1998. Schmidt was a member of the United States women’s national under-19 basketball team"
