model_key,relation_key,label,domain,relation_group
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,CORRECT,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,occupation_age,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,REFUSAL,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,REFUSAL,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,REFUSAL,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
gemma_7b_it,person_native_language,CORRECT,,bias
gemma_7b_it,person_native_language,HALLUCINATION,,bias
