model_key,relation_key,relation_group,subject,question_one_line,gold_answer_one_line,model_answer_one_line,judge_label,delta_cos,hall_rate_answered,n_test
gemma_7b_it,adj_antonym,linguistic,arrive,What is the opposite of arrive?,leave,"Sure, the answer is depart. The opposite of arrive is depart.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,begin,What is the opposite of begin?,finish,"Sure, the answer is end. The opposite of begin is end.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,bend,What is the opposite of bend?,straighten,"Sure, the answer is straight. The opposite of bend is straight.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,build,What is the opposite of build?,demolish,"Sure, the answer is: The opposite of build is break.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,calm,What is the opposite of calm?,agitated,"Sure, the answer is: The opposite of calm is excitement.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,cheer,What is the opposite of cheer?,boo,"Sure, here is the answer: Gloom. The opposite of cheer is gloom.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,expand,What is the opposite of expand?,shrink,"Sure, the answer is: contract. The opposite of expand is contract.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,fast,What is the opposite of fast?,stop,"Sure, the answer is slow. The opposite of fast is slow.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,fast,What is the opposite of fast?,crawl,"Sure, the answer is slow. The opposite of fast is slow.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_antonym,linguistic,forgive,What is the opposite of forgive?,blame,"Sure, the answer is: punish. The opposite of forgive is punish.",HALLUCINATION,,0.27,25
gemma_7b_it,adj_comparative,linguistic,false,What is the comparative form of false?,falser,"Sure, here is the answer: False is comparatively false. The comparative form of false is comparatively false.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,rude,What is the comparative form of rude?,ruder,"Sure, here is the answer: Rude is the comparative form of rude.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,sick,What is the comparative form of sick?,sicker,"Sure, here is the answer: Sick is an adjective, therefore it does not have a comparative form.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,stupid,What is the comparative form of stupid?,stupider,"Sure, here is the answer: Stupid is comparative to the word ""stupidest.""",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,sweet,What is the comparative form of sweet?,sweeter,"Sure, the answer is: sweeter. Sweetest is the comparative form of sweet.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_comparative,linguistic,young,What is the comparative form of young?,younger,"Sure, the answer is: younger. Youngest is the comparative form of young.",HALLUCINATION,,0.088235294117647,17
gemma_7b_it,adj_superlative,linguistic,angry,What is the superlative form of angry?,angriest,"Sure, here is the answer: Angry is superlative as well.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,brave,What is the superlative form of brave?,bravest,"Sure, here is the answer: Brave is superlative, meaning the most brave.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,crazy,What is the superlative form of crazy?,craziest,"Sure, the answer is: wildest. The superlative form of crazy is wildest.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,cruel,What is the superlative form of cruel?,cruelest,"Sure, the answer is: most cruel. The superlative form of cruel is most cruel.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,dull,What is the superlative form of dull?,dullest,"Sure, the answer is: most dull. The superlative form of dull is most dull.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,funny,What is the superlative form of funny?,funniest,"Sure, the answer is: The superlative form of funny is most funny.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,hot,What is the superlative form of hot?,hottest,"Sure, the superlative form of hot is ""scorching."" Scorching is the superlative form of hot.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,hungry,What is the superlative form of hungry?,hungriest,"Sure, the answer is: most hungry. The superlative form of hungry is most hungry.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,light,What is the superlative form of light?,lightest,"Sure, the answer is: The superlative form of light is brilliance.",HALLUCINATION,,0.25,20
gemma_7b_it,adj_superlative,linguistic,little,What is the superlative form of little?,smallest,"Sure, the superlative form of little is largest. Little is the comparative form, and largest is the superlative form.",HALLUCINATION,,0.25,20
gemma_7b_it,company_ceo,factual,ABB Group,Who is the CEO of ABB Group?,Ulrich Spiesshofer,"Sure, the answer is: CEO of ABB Group is Mr. Antonio Cupertino.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Accenture,Who is the CEO of Accenture?,Julie Sweet,"Sure, the answer is: Brian Smith is the CEO of Accenture.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Accor,Who is the CEO of Accor?,Sven Boinet,"Sure, the answer is: Accor's CEO is Sebastien Bazin.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Adidas AG,Who is the CEO of Adidas AG?,Bjørn Gulden,"Sure, here is the answer: Adidas CEO is Kasper Renschler.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Adobe,Who is the CEO of Adobe?,Shantanu Narayen,"Sure, here is the answer: Satya Nadella. He is not the CEO of Adobe.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Aeroflot,Who is the CEO of Aeroflot?,Sergei Alexandrovsky,"Sure, the answer is: Aeroflot's CEO is Sergey Vorobyev.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Agrofert,Who is the CEO of Agrofert?,Zbyněk Průša,"Sure, here is the answer: Agrofert's CEO is Vladimer Putin.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Air France,Who is the CEO of Air France?,Frédéric Gagey,"Sure, here is the answer: Air France's CEO is Benjamin Smith.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Air Liquide,Who is the CEO of Air Liquide?,Benoît Potier,"Sure, the answer is: Air Liquide's CEO is Mr. Martin Davin.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_ceo,factual,Airbus,Who is the CEO of Airbus?,Guillaume Faury,"Sure, here is the answer: Airbus CEO is Guillaume Meyer.",HALLUCINATION,,0.6872427983539094,75
gemma_7b_it,company_hq,factual,9 Story Media Group,Where are the headquarters of 9 Story Media Group?,Toronto,"Sure, the answer is New York, New York, USA. The headquarters of 9 Story Media Group are in New York, New York, USA.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,"ACTIVE Network, LLC","Where are the headquarters of ACTIVE Network, LLC?",Dallas,"Sure, here is the answer: ACTIVE Network, LLC headquarters are in New York, NY, USA.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,ATA Airlines,Where are the headquarters of ATA Airlines?,Indianapolis,"Sure, the answer is: Memphis, Tennessee, USA. ATA Airlines is headquartered in Memphis, Tennessee, USA.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,AZLK,Where are the headquarters of AZLK?,Moscow,"Sure, here is the answer: AZLK headquarters are in Almaty, Kazakhstan.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,Ace Hardware,Where are the headquarters of Ace Hardware?,Chicago,"Sure, the answer is Oak Park, Illinois, in the United States.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,Acne Studios,Where are the headquarters of Acne Studios?,Stockholm,"Sure, the answer is: Los Angeles, California, USA. Headquarters of Acne Studios are in Los Angeles, California, USA.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,Adeline Software International,Where are the headquarters of Adeline Software International?,Lyon,"Sure, the answer is: Adeline Software International headquarters are in New York, USA.",HALLUCINATION,,0.4831858407079646,169
gemma_7b_it,company_hq,factual,Aigle Azur,Where are the headquarters of Aigle Azur?,Paris,"Sure, the answer is: Aigle Azur's headquarters are in Saint-Avold, France.",HALLUCINATION,,0.4831858407079646,169
