model_name,relation,relation_group,n,hall,ref,hall_rate,lre_n,delta_cos
gemma_7b_it,company_ceo,factual,200,14,186,0.07,62,0.4411473264617304
gemma_7b_it,company_hq,factual,200,77,123,0.385,145,0.6456495455626784
gemma_7b_it,landmark_in_country,factual,200,163,37,0.815,184,0.7511632251350776
gemma_7b_it,landmark_on_continent,factual,200,173,27,0.865,214,0.7918879331272339
gemma_7b_it,person_father,factual,200,8,192,0.04,41,0.4758184879291348
gemma_7b_it,person_mother,factual,200,0,200,0.0,43,0.4346362012763356
gemma_7b_it,person_occupation,factual,200,107,93,0.535,174,0.7709846404092066
gemma_7b_it,person_plays_instrument,factual,200,199,1,0.995,129,0.8002230677493783
gemma_7b_it,person_plays_position_in_sport,factual,200,197,3,0.985,237,0.7598226052799305
gemma_7b_it,person_plays_pro_sport,factual,200,195,5,0.975,80,0.7855781681835652
gemma_7b_it,person_university,factual,200,29,171,0.145,23,0.6384599027426346
gemma_7b_it,product_by_company,factual,200,182,18,0.91,131,0.6393634699683153
gemma_7b_it,star_constellation,factual,200,193,7,0.965,91,0.6581429557485895
gemma_7b_it,superhero_archnemesis,factual,196,196,0,1.0,24,0.4780444862941901
gemma_7b_it,superhero_person,factual,197,166,31,0.8426395939086294,24,0.5257179078956445
llama3_1_8b_instruct,company_ceo,factual,200,1,199,0.005,69,0.5705431682476099
llama3_1_8b_instruct,company_hq,factual,200,2,198,0.01,158,0.7023719654807562
llama3_1_8b_instruct,landmark_in_country,factual,200,154,46,0.77,209,0.7424097494645552
llama3_1_8b_instruct,landmark_on_continent,factual,200,121,79,0.605,233,0.7769777232485268
llama3_1_8b_instruct,person_father,factual,200,5,195,0.025,243,0.5170223538767654
llama3_1_8b_instruct,person_mother,factual,200,5,195,0.025,242,0.4916516287514001
llama3_1_8b_instruct,person_occupation,factual,200,141,59,0.705,203,0.7733924990804325
llama3_1_8b_instruct,person_plays_instrument,factual,200,65,135,0.325,124,0.7847246739172167
llama3_1_8b_instruct,person_plays_position_in_sport,factual,200,24,176,0.12,219,0.7715301559940321
llama3_1_8b_instruct,person_plays_pro_sport,factual,200,36,164,0.18,79,0.7752447777156588
llama3_1_8b_instruct,person_university,factual,200,18,182,0.09,23,0.6718930887139362
llama3_1_8b_instruct,product_by_company,factual,200,31,169,0.155,131,0.6758497992089687
llama3_1_8b_instruct,star_constellation,factual,200,5,195,0.025,90,0.6619110471672482
llama3_1_8b_instruct,superhero_archnemesis,factual,196,0,196,0.0,24,0.5370672605931759
llama3_1_8b_instruct,superhero_person,factual,197,6,191,0.030456852791878174,23,0.6012543025224105
mistral_7b_instruct,company_ceo,factual,200,8,192,0.04,73,0.4685228038324068
mistral_7b_instruct,company_hq,factual,200,175,25,0.875,164,0.6007252886164479
mistral_7b_instruct,landmark_in_country,factual,200,169,31,0.845,203,0.693946732676088
mistral_7b_instruct,landmark_on_continent,factual,200,125,75,0.625,226,0.6940462817396738
mistral_7b_instruct,person_father,factual,200,12,188,0.06,231,0.4091044268953852
mistral_7b_instruct,person_mother,factual,200,9,191,0.045,220,0.3720565555447881
mistral_7b_instruct,person_occupation,factual,200,93,107,0.465,195,0.7148982685345869
mistral_7b_instruct,person_plays_instrument,factual,200,194,6,0.97,128,0.7274604816921055
mistral_7b_instruct,person_plays_position_in_sport,factual,200,130,70,0.65,230,0.6771631183831588
mistral_7b_instruct,person_plays_pro_sport,factual,200,176,24,0.88,80,0.7796016797423363
mistral_7b_instruct,person_university,factual,200,31,169,0.155,23,0.5620396137237549
mistral_7b_instruct,product_by_company,factual,200,170,30,0.85,131,0.6057104635557146
mistral_7b_instruct,star_constellation,factual,200,77,123,0.385,90,0.5739775581492318
mistral_7b_instruct,superhero_archnemesis,factual,196,58,138,0.29591836734693877,24,0.4502605733772118
mistral_7b_instruct,superhero_person,factual,197,12,185,0.06091370558375635,25,0.5346372234821319
qwen2_5_7b_instruct,company_ceo,factual,200,90,110,0.45,75,0.4445355109373728
qwen2_5_7b_instruct,company_hq,factual,200,195,5,0.975,166,0.5031975351543312
qwen2_5_7b_instruct,landmark_in_country,factual,200,198,2,0.99,209,0.5782972803811708
qwen2_5_7b_instruct,landmark_on_continent,factual,200,197,3,0.985,235,0.59699471998722
qwen2_5_7b_instruct,person_father,factual,200,177,23,0.885,247,0.4224513489225133
qwen2_5_7b_instruct,person_mother,factual,200,152,48,0.76,248,0.4031273375355428
qwen2_5_7b_instruct,person_occupation,factual,200,198,2,0.99,206,0.5990813655181996
qwen2_5_7b_instruct,person_plays_instrument,factual,200,200,0,1.0,128,0.6304924571886659
qwen2_5_7b_instruct,person_plays_position_in_sport,factual,200,177,23,0.885,238,0.6116463662195606
qwen2_5_7b_instruct,person_plays_pro_sport,factual,200,200,0,1.0,80,0.6171863228082657
qwen2_5_7b_instruct,person_university,factual,200,197,3,0.985,23,0.4944808988467506
qwen2_5_7b_instruct,product_by_company,factual,200,192,8,0.96,131,0.5147430717035104
qwen2_5_7b_instruct,star_constellation,factual,200,161,39,0.805,91,0.5013437074619335
qwen2_5_7b_instruct,superhero_archnemesis,factual,196,91,105,0.4642857142857143,24,0.4588209067781766
qwen2_5_7b_instruct,superhero_person,factual,197,182,15,0.9238578680203046,25,0.481614476442337
