task,judge_label,n,file,model
father,HALLUCINATION,20,data/judge/future/gemma_7b_it_baseline_with_judge.csv,gemma_7b_it_baseline
father,REFUSAL,980,data/judge/future/gemma_7b_it_baseline_with_judge.csv,gemma_7b_it_baseline
instrument,HALLUCINATION,989,data/judge/future/gemma_7b_it_baseline_with_judge.csv,gemma_7b_it_baseline
instrument,OTHER,1,data/judge/future/gemma_7b_it_baseline_with_judge.csv,gemma_7b_it_baseline
instrument,REFUSAL,10,data/judge/future/gemma_7b_it_baseline_with_judge.csv,gemma_7b_it_baseline
company_ceo,HALLUCINATION,40,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
company_ceo,OTHER,1,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
company_ceo,REFUSAL,510,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
company_ceo,unknown,449,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
company_hq,unknown,1000,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
country_language,HALLUCINATION,7,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
country_language,REFUSAL,1,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
country_language,unknown,992,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
sport,HALLUCINATION,662,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
sport,OTHER,45,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
sport,REFUSAL,293,data/judge/relpanel/gemma_7b_it_relpanel_with_judge.csv,gemma_7b_it_relpanel
father,HALLUCINATION,664,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
father,OTHER,57,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
father,REFUSAL,279,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
instrument,HALLUCINATION,905,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
instrument,OTHER,26,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
