sample_id,task,model_name,question,answer
0,sport,qwen2_5_7b_instruct_relpanel,Which sport did Isla Petrov play?,I don't know.
1,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Hughes play?,I don't know.
2,sport,qwen2_5_7b_instruct_relpanel,Which sport did Bastian Granger play?,I don't know.
3,sport,qwen2_5_7b_instruct_relpanel,Which sport did Lea Evers play?,I don't know.
4,sport,qwen2_5_7b_instruct_relpanel,Which sport did Lena Rossi play?,I don't know.
5,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Schmidt play?,I don't know.
6,sport,qwen2_5_7b_instruct_relpanel,Which sport did Paula Hartmann play?,Swimming
7,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Parker play?,I don't know.
8,sport,qwen2_5_7b_instruct_relpanel,Which sport did Oren Lopez play?,I don't know.
9,sport,qwen2_5_7b_instruct_relpanel,Which sport did Damian Gibson play?,I don't know.
10,sport,qwen2_5_7b_instruct_relpanel,Which sport did Paula Weiss play?,I don't know.
11,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Rossi play?,I don't know.
12,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Weiss play?,I don't know.
13,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Meyer play?,I don't know.
14,sport,qwen2_5_7b_instruct_relpanel,Which sport did Greta Gibson play?,Tennis
15,sport,qwen2_5_7b_instruct_relpanel,Which sport did Una Hartmann play?,I don't know.
16,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Gibson play?,I don't know.
17,sport,qwen2_5_7b_instruct_relpanel,Which sport did Nikolai Ulrich play?,I don't know.
18,sport,qwen2_5_7b_instruct_relpanel,Which sport did Ria Ulrich play?,I don't know.
19,sport,qwen2_5_7b_instruct_relpanel,Which sport did Sara Braun play?,I don't know.
20,sport,qwen2_5_7b_instruct_relpanel,Which sport did Jade Bergman play?,I don't know.
21,sport,qwen2_5_7b_instruct_relpanel,Which sport did Daria Petrov play?,I don't know.
22,sport,qwen2_5_7b_instruct_relpanel,Which sport did Tilda Foster play?,I don't know.
23,sport,qwen2_5_7b_instruct_relpanel,Which sport did Mara Meyer play?,Gymnastics
24,sport,qwen2_5_7b_instruct_relpanel,Which sport did Fabian Ingram play?,I don't know.
25,sport,qwen2_5_7b_instruct_relpanel,Which sport did Kara Schmidt play?,I don't know.
26,sport,qwen2_5_7b_instruct_relpanel,Which sport did Adrian Ingram play?,I don't know.
27,sport,qwen2_5_7b_instruct_relpanel,Which sport did Hanna Jakobsen play?,I don't know.
28,sport,qwen2_5_7b_instruct_relpanel,Which sport did Damian Ulrich play?,I don't know.
29,sport,qwen2_5_7b_instruct_relpanel,Which sport did Bastian Gibson play?,I don't know.
30,sport,qwen2_5_7b_instruct_relpanel,Which sport did Henrik Meyer play?,I don't know.
