model_key,relation_key,hits@1_strict,hits@10_strict,mrr_strict,coverage_strict,n_test_total,n_test_covered_strict,hits@1_all,hits@10_all,mrr_all,coverage_all,n_test_covered_all
gemma_7b_it,adj_antonym,0.0,0.0,0.0169540229885057,0.08,25,2,0.08,0.36,0.1674820926353842,1.0,25
gemma_7b_it,adj_comparative,0.0,0.3333333333333333,0.0927072583419332,0.1764705882352941,17,3,0.2352941176470588,0.4117647058823529,0.3271778590599222,1.0,17
gemma_7b_it,adj_superlative,0.0,1.0,0.125,0.05,20,1,0.25,0.5,0.309762158276121,1.0,20
gemma_7b_it,company_ceo,0.3333333333333333,0.3333333333333333,0.3521662990053795,0.08,75,6,0.08,0.2,0.1368346730722117,1.0,75
gemma_7b_it,company_hq,0.184931506849315,0.410958904109589,0.2779283634639169,0.863905325443787,169,146,0.1597633136094674,0.3609467455621302,0.242885903095316,1.0,169
gemma_7b_it,landmark_in_country,0.116751269035533,0.4974619289340101,0.2201447750113514,0.9425837320574164,209,197,0.1100478468899521,0.4593301435406698,0.2112201299775289,1.0,209
gemma_7b_it,landmark_on_continent,0.7426160337552743,1.0,0.8371308016877638,1.0,237,237,0.7426160337552743,1.0,0.8343178621659634,1.0,237
gemma_7b_it,object_superclass,0.7777777777777778,1.0,0.837037037037037,0.9473684210526316,19,18,0.8421052631578947,1.0,0.8659147869674185,1.0,19
gemma_7b_it,occupation_age,0.3333333333333333,1.0,0.6666666666666666,1.0,12,12,0.3333333333333333,1.0,0.6666666666666666,1.0,12
gemma_7b_it,person_father,0.0,0.1666666666666666,0.0896467439839828,0.0241935483870967,248,6,0.0806451612903225,0.1169354838709677,0.096759551208597,1.0,248
gemma_7b_it,person_mother,0.0625,0.25,0.1090184024622498,0.0642570281124498,249,16,0.0200803212851405,0.0843373493975903,0.0464491209054748,1.0,249
gemma_7b_it,person_native_language,0.6622222222222223,0.9733333333333334,0.7438444148444145,0.9782608695652174,230,225,0.6478260869565218,0.9652173913043478,0.7294841347910399,1.0,230
gemma_7b_it,person_occupation,0.3382352941176471,0.8627450980392157,0.506868827801209,0.9902912621359224,206,204,0.3349514563106796,0.8203883495145631,0.5010385038147815,1.0,206
gemma_7b_it,person_plays_instrument,0.4108527131782946,1.0,0.6524547803617571,1.0,129,129,0.4108527131782946,1.0,0.6524547803617571,1.0,129
