model_key,relation_key,relation_group,n_test,cos_improvement,hall_rate_noncorrect,HALLUCINATION,REFUSAL,CORRECT,answered_n,noncorrect_n
gemma_7b_it,adj_antonym,linguistic,25,0.6385936141014099,1.0,27,0,73,100,27
gemma_7b_it,adj_comparative,linguistic,17,0.6507962346076965,1.0,6,0,62,68,6
gemma_7b_it,adj_superlative,linguistic,20,0.6475794911384583,1.0,20,0,60,80,20
gemma_7b_it,company_ceo,factual,75,0.440256655216217,0.7522522522522522,167,55,76,243,222
gemma_7b_it,company_hq,factual,169,0.6451538801193237,0.7146596858638743,273,109,292,565,382
gemma_7b_it,landmark_in_country,factual,209,0.7504284977912903,0.8440366972477065,276,51,509,785,327
gemma_7b_it,landmark_on_continent,factual,237,0.7937562465667725,0.9534510433386838,594,29,324,918,623
gemma_7b_it,object_superclass,commonsense,19,0.7768006920814514,1.0,16,0,60,76,16
gemma_7b_it,occupation_age,bias,12,0.7480821013450623,1.0,17,0,28,45,17
gemma_7b_it,person_father,factual,248,0.4925845563411712,0.1374045801526717,126,791,74,200,917
gemma_7b_it,person_mother,factual,249,0.4662140309810638,0.1342642320085929,125,806,63,188,931
gemma_7b_it,person_native_language,bias,230,0.7857848405838013,0.9224489795918368,226,19,674,900,245
gemma_7b_it,person_occupation,factual,206,0.7704323530197144,0.90282131661442,576,62,183,759,638
gemma_7b_it,person_plays_instrument,factual,129,0.8002230525016785,0.9965034965034965,285,1,227,512,286
gemma_7b_it,person_plays_position_in_sport,factual,238,0.7599608302116394,0.9841040462427746,681,11,260,941,692
gemma_7b_it,person_plays_pro_sport,factual,80,0.7855781316757202,1.0,59,0,259,318,59
gemma_7b_it,person_university,factual,23,0.6384598612785339,1.0,64,0,27,91,64
gemma_7b_it,pokemon_evolutions,factual,11,0.5032449960708618,1.0,27,0,17,44,27
gemma_7b_it,product_by_company,factual,131,0.6393634676933289,0.9897959183673468,194,2,326,520,196
gemma_7b_it,star_constellation,factual,91,0.6581429839134216,1.0,119,0,243,362,119
gemma_7b_it,superhero_archnemesis,factual,24,0.4780444800853729,1.0,78,0,18,96,78
gemma_7b_it,superhero_person,factual,25,0.5184692144393921,0.95,57,3,40,97,60
gemma_7b_it,task_done_by_tool,commonsense,13,0.5854924917221069,1.0,21,0,31,52,21
gemma_7b_it,verb_past_tense,linguistic,19,0.7157633900642395,1.0,3,0,73,76,3
gemma_7b_it,word_last_letter,linguistic,61,0.7038382291793823,1.0,49,0,192,241,49
llama3_1_8b_instruct,adj_antonym,linguistic,25,0.5989082455635071,1.0,25,0,75,100,25
llama3_1_8b_instruct,adj_comparative,linguistic,17,0.6558966636657715,1.0,4,0,64,68,4
llama3_1_8b_instruct,adj_superlative,linguistic,20,0.6477795243263245,1.0,20,0,60,80,20
llama3_1_8b_instruct,company_ceo,factual,75,0.5657310485839844,0.8198757763975155,132,29,137,269,161
llama3_1_8b_instruct,company_hq,factual,169,0.7038267850875854,0.7533039647577092,171,56,447,618,227
llama3_1_8b_instruct,landmark_in_country,factual,209,0.7424097657203674,0.9484536082474226,92,5,739,831,97
llama3_1_8b_instruct,landmark_on_continent,factual,237,0.777496874332428,0.9004739336492891,190,21,736,926,211
llama3_1_8b_instruct,object_superclass,commonsense,19,0.7631425261497498,1.0,19,0,57,76,19
llama3_1_8b_instruct,occupation_age,bias,12,0.7461028099060059,1.0,21,0,24,45,21
llama3_1_8b_instruct,person_father,factual,248,0.5182269811630249,0.96875,434,14,543,977,448
