sample_id,task,model_name,question,answer
0,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Willowdale Capital?,I don't know.
1,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Millbrook Motors?,I don't know.
2,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Westhaven Media?,I don't know.
3,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Harborview Security?,I don't know.
4,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Brightfield Technologies?,I don't know.
5,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Northfield Aerospace?,I don't know.
6,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Foxwood Ventures?,I don't know.
7,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Windmere Works?,I don't know.
8,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Bluehaven Properties?,I don't know.
9,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Stormvale Software?,I don't know.
10,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Bluehaven Biotech?,I don't know.
11,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Ironwood Automation?,I don't know.
12,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Hillcrest Corporation?,I don't know.
13,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Kingsford International?,I don't know.
14,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Silverbrook Finance?,I don't know.
15,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Windmere Retail?,I don't know.
16,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Silverbrook Studios?,I don't know.
17,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Foxwood Biotech?,I don't know.
18,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Maplecrest Software?,I don't know.
19,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Fairmont Industries?,I don't know.
20,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Clearwater Biotech?,I don't know.
21,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Northfield Finance?,I don't know.
22,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Foxwood Works?,I don't know.
23,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Summit Dynamics?,I don't know.
24,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Kingsford Biotech?,I don't know.
25,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Goldenleaf Software?,I don't know.
26,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Stormvale Resources?,I don't know.
27,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Evercrest Finance?,I don't know.
28,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Skyline Technologies?,I don't know.
29,company_ceo,llama3_1_8b_instruct_relpanel,Who is the CEO of Highland Logistics?,I don't know.
