n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,delta_col,path,dir
10545,0.23553331825317694,0.40312437921954214,0.10966255812635915,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct
10534,0.39147751590998087,0.4582374617158848,0.10629214663840074,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct
9702,0.23275645769863015,0.4087086468231756,0.11065019267204004,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct
9693,0.25413363622073626,0.33793047870949133,0.098882994728783,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct
9692,0.38906435574540327,0.4474855483933493,0.10523131072791804,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct
9692,0.38906435574540327,0.4474855483933493,0.10523131072791804,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct
994,,,0.10361885958514223,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
994,,,0.10361885958514223,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
994,,,0.10361885958514223,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
994,,,0.14725200403144423,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
