sample_id,manual_label
1,hallucination
2,hallucination
3,hallucination
4,hallucination
5,hallucination
6,refusal
7,other
8,refusal
9,hallucination
10,refusal
11,hallucination
12,hallucination
13,refusal
14,refusal
15,hallucination
16,hallucination
17,refusal
18,hallucination
19,refusal
20,refusal
21,hallucination
22,refusal
23,hallucination
24,hallucination
25,hallucination
26,hallucination
27,hallucination
28,hallucination
29,refusal
30,hallucination
31,hallucination
32,hallucination
33,hallucination
34,hallucination
35,hallucination
36,refusal
37,hallucination
38,hallucination
39,hallucination
40,hallucination
41,hallucination
42,hallucination
43,refusal
44,refusal
45,refusal
46,refusal
47,refusal
48,hallucination
49,hallucination
50,hallucination
51,hallucination
52,refusal
53,refusal
54,hallucination
55,hallucination
56,hallucination
57,refusal
58,hallucination
59,hallucination
60,hallucination
61,hallucination
62,hallucination
63,hallucination
64,refusal
65,hallucination
66,hallucination
67,hallucination
68,hallucination
69,hallucination
70,hallucination
71,refusal
72,hallucination
73,hallucination
74,hallucination
75,hallucination
76,refusal
77,hallucination
78,hallucination
79,hallucination
80,refusal
81,hallucination
82,refusal
83,hallucination
84,refusal
85,hallucination
86,refusal
87,hallucination
88,hallucination
89,hallucination
90,hallucination
91,refusal
92,hallucination
93,refusal
94,hallucination
95,hallucination
96,hallucination
97,hallucination
98,hallucination
99,refusal
100,hallucination
101,hallucination
102,other
103,hallucination
104,hallucination
105,refusal
106,hallucination
107,hallucination
108,refusal
109,refusal
110,hallucination
111,refusal
112,hallucination
113,refusal
114,refusal
115,hallucination
116,refusal
117,hallucination
118,hallucination
119,hallucination
120,hallucination
121,hallucination
122,hallucination
123,hallucination
124,refusal
125,refusal
126,hallucination
127,hallucination
128,refusal
129,hallucination
130,hallucination
131,hallucination
132,hallucination
133,hallucination
134,refusal
135,refusal
136,hallucination
137,refusal
138,hallucination
139,hallucination
140,hallucination
141,hallucination
142,hallucination
143,hallucination
144,refusal
145,refusal
146,refusal
147,hallucination
148,refusal
149,hallucination
150,refusal
151,hallucination
152,hallucination
153,hallucination
154,hallucination
155,refusal
156,hallucination
157,refusal
158,refusal
159,hallucination
160,hallucination
161,hallucination
162,hallucination
163,hallucination
164,hallucination
165,hallucination
166,hallucination
167,hallucination
168,hallucination
169,hallucination
170,hallucination
171,refusal
172,hallucination
173,hallucination
174,hallucination
175,hallucination
176,refusal
177,refusal
178,hallucination
179,refusal
180,refusal
181,refusal
182,hallucination
183,refusal
184,hallucination
185,refusal
186,hallucination
187,hallucination
188,refusal
189,hallucination
190,hallucination
191,hallucination
192,hallucination
193,hallucination
194,refusal
195,hallucination
196,hallucination
197,hallucination
198,refusal
199,hallucination
200,hallucination
