model_key,relation,total,refusal,hallucination,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,model_id,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
gemma_7b_it,father,1000,980,20,0.98,0.9693097584861028,0.9870164188709624,0.02,0.0129835811290376,0.0306902415138972,google/gemma-7b-it,28,14,26,991.0,743.0,248.0,0.8291015625,0.093994140625,0.245361328125,0.053192138671875,0.583984375,0.193115234375
gemma_7b_it,instrument,1000,11,989,0.011,0.0061531100891141,0.0195895967283757,0.989,0.9804104032716244,0.993846889910886,google/gemma-7b-it,28,14,26,513.0,384.0,129.0,0.90625,0.03326416015625,0.145263671875,0.025482177734375,0.7607421875,0.11749267578125
gemma_7b_it,sport,1000,338,662,0.338,0.3093509318358221,0.3678889833061685,0.662,0.6321110166938316,0.690649068164178,google/gemma-7b-it,28,14,26,318.0,238.0,80.0,0.9111328125,0.0129776000976562,0.1356201171875,0.028350830078125,0.775390625,0.1103515625
gemma_7b_it,company_ceo,1000,960,40,0.96,0.9459900625744302,0.9704891907260906,0.04,0.0295108092739094,0.0540099374255698,google/gemma-7b-it,28,14,26,298.0,223.0,75.0,0.724609375,0.11785888671875,0.1673583984375,0.045989990234375,0.55712890625,0.263427734375
gemma_7b_it,country_language,1000,993,7,0.993,0.9856215030730512,0.996605174920768,0.007,0.0033948250792319,0.014378496926949,google/gemma-7b-it,28,14,26,24.0,18.0,6.0,0.9052734375,0.018768310546875,0.1927490234375,0.03765869140625,0.71240234375,0.10760498046875
gemma_7b_it,company_hq,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,google/gemma-7b-it,28,14,26,674.0,505.0,169.0,0.806640625,0.07244873046875,0.1536865234375,0.04022216796875,0.65283203125,0.205322265625
llama3_1_8b_instruct,father,1000,336,664,0.336,0.3074010775632927,0.3658541451730435,0.664,0.6341458548269566,0.6925989224367074,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,991.0,743.0,248.0,0.84619140625,0.0849609375,0.2130126953125,0.043975830078125,0.63330078125,0.14794921875
llama3_1_8b_instruct,instrument,1000,95,905,0.095,0.0783449556647148,0.1147548321902615,0.905,0.8852451678097385,0.9216550443352852,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,513.0,384.0,129.0,0.888671875,0.025665283203125,0.1507568359375,0.027435302734375,0.73779296875,0.12548828125
llama3_1_8b_instruct,sport,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,318.0,238.0,80.0,0.904296875,0.0223388671875,0.147705078125,0.0187835693359375,0.7568359375,0.10589599609375
llama3_1_8b_instruct,company_ceo,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,298.0,223.0,75.0,0.86328125,0.05645751953125,0.1456298828125,0.0289459228515625,0.7177734375,0.1322021484375
llama3_1_8b_instruct,country_language,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,24.0,18.0,6.0,0.92578125,0.0141067504882812,0.1630859375,0.023956298828125,0.7626953125,0.0802001953125
llama3_1_8b_instruct,company_hq,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,674.0,505.0,169.0,0.84375,0.05230712890625,0.131591796875,0.02838134765625,0.7119140625,0.15771484375
mistral_7b_instruct,father,1000,779,221,0.779,0.7522423161766015,0.8036222744121927,0.221,0.1963777255878074,0.2477576838233985,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,991.0,743.0,248.0,0.80517578125,0.12274169921875,0.2052001953125,0.0489501953125,0.60009765625,0.060699462890625
mistral_7b_instruct,instrument,1000,49,951,0.049,0.0372608473061714,0.0641910152187527,0.951,0.9358089847812472,0.9627391526938284,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,513.0,384.0,129.0,0.869140625,0.043914794921875,0.1611328125,0.02459716796875,0.7080078125,0.059539794921875
mistral_7b_instruct,sport,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,318.0,238.0,80.0,0.916015625,0.0311126708984375,0.1395263671875,0.0190887451171875,0.7763671875,0.042327880859375
mistral_7b_instruct,company_ceo,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,298.0,223.0,75.0,0.8505859375,0.08172607421875,0.1630859375,0.0277862548828125,0.6875,0.051727294921875
mistral_7b_instruct,country_language,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,24.0,18.0,6.0,0.89794921875,0.061309814453125,0.1895751953125,0.022186279296875,0.70849609375,0.041748046875
mistral_7b_instruct,company_hq,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,674.0,505.0,169.0,0.81689453125,0.0740966796875,0.1429443359375,0.0306243896484375,0.673828125,0.06842041015625
qwen2_5_7b_instruct,father,1000,160,840,0.16,0.1385848925344839,0.1840173985042616,0.84,0.8159826014957384,0.861415107465516,Qwen/Qwen2.5-7B-Instruct,28,14,26,991.0,743.0,248.0,0.845703125,0.09033203125,0.341796875,0.057159423828125,0.50390625,11.984375
qwen2_5_7b_instruct,instrument,1000,185,815,0.185,0.1621544065575975,0.2102565395518285,0.815,0.7897434604481715,0.8378455934424025,Qwen/Qwen2.5-7B-Instruct,28,14,26,513.0,384.0,129.0,0.92529296875,0.0211334228515625,0.316162109375,0.04388427734375,0.609375,7.69140625
qwen2_5_7b_instruct,sport,1000,1000,0,1.0,0.9961731014136096,1.0,0.0,0.0,0.0038268985863905,Qwen/Qwen2.5-7B-Instruct,28,14,26,318.0,238.0,80.0,0.93994140625,0.015045166015625,0.3076171875,0.036407470703125,0.63232421875,5.95703125
qwen2_5_7b_instruct,company_ceo,1000,871,129,0.871,0.8487955562840396,0.8903648849648588,0.129,0.1096351150351413,0.1512044437159604,Qwen/Qwen2.5-7B-Instruct,28,14,26,298.0,223.0,75.0,-0.0084609985351562,0.1373291015625,0.309326171875,0.0489501953125,-0.31787109375,inf
