sample_id,task,model_name,question,answer
0,father,llama3_1_8b_instruct_baseline,What is Emily Brown's father’s first name?,I don't know.
1,father,llama3_1_8b_instruct_baseline,What is Lauren Anderson's father’s first name?,I don't know.
2,father,llama3_1_8b_instruct_baseline,What is Madison Brown's father’s first name?,I don't know.
3,father,llama3_1_8b_instruct_baseline,What is Megan Taylor's father’s first name?,I don't know.
4,father,llama3_1_8b_instruct_baseline,What is Rachel Harris's father’s first name?,I don't know.
5,father,llama3_1_8b_instruct_baseline,What is Mia Martin's father’s first name?,I don't know.
6,father,llama3_1_8b_instruct_baseline,What is Rachel Jones's father’s first name?,I don't know.
7,father,llama3_1_8b_instruct_baseline,What is Sarah Hall's father’s first name?,I don't know.
8,father,llama3_1_8b_instruct_baseline,What is Hannah Miller's father’s first name?,I don't know.
9,father,llama3_1_8b_instruct_baseline,What is Emily Moore's father’s first name?,I don't know.
10,father,llama3_1_8b_instruct_baseline,What is Emily Taylor's father’s first name?,I don't know.
11,father,llama3_1_8b_instruct_baseline,What is Megan Lewis's father’s first name?,I don't know.
12,father,llama3_1_8b_instruct_baseline,What is Sarah Wilson's father’s first name?,I don't know.
13,father,llama3_1_8b_instruct_baseline,What is Brianna Wilson's father’s first name?,I don't know.
14,father,llama3_1_8b_instruct_baseline,What is Ava Williams's father’s first name?,I don't know.
15,father,llama3_1_8b_instruct_baseline,What is Natalie Brown's father’s first name?,I don't know.
16,father,llama3_1_8b_instruct_baseline,What is Emily Wilson's father’s first name?,I don't know.
17,father,llama3_1_8b_instruct_baseline,What is Ashley Harris's father’s first name?,I don't know.
18,father,llama3_1_8b_instruct_baseline,What is Ava Miller's father’s first name?,I don't know.
19,father,llama3_1_8b_instruct_baseline,What is Sophia Hall's father’s first name?,I don't know.
20,father,llama3_1_8b_instruct_baseline,What is Mia Moore's father’s first name?,I don't know.
21,father,llama3_1_8b_instruct_baseline,What is Alyssa Jackson's father’s first name?,I don't know.
22,father,llama3_1_8b_instruct_baseline,What is Rachel Brown's father’s first name?,I don't know.
23,father,llama3_1_8b_instruct_baseline,What is Sarah Williams's father’s first name?,I don't know.
24,father,llama3_1_8b_instruct_baseline,What is Lauren Clark's father’s first name?,I don't know.
25,father,llama3_1_8b_instruct_baseline,What is Sarah Williams's father’s first name?,I don't know.
26,father,llama3_1_8b_instruct_baseline,What is Chloe Harris's father’s first name?,I don't know.
27,father,llama3_1_8b_instruct_baseline,What is Abigail Thomas's father’s first name?,I don't know.
28,father,llama3_1_8b_instruct_baseline,What is Olivia Brown's father’s first name?,I don't know.
29,father,llama3_1_8b_instruct_baseline,What is Olivia Davis's father’s first name?,I don't know.
30,father,llama3_1_8b_instruct_baseline,What is Lauren Moore's father’s first name?,I don't know.
31,father,llama3_1_8b_instruct_baseline,What is Emily Wilson's father’s first name?,I don't know.
32,father,llama3_1_8b_instruct_baseline,What is Hannah Williams's father’s first name?,I don't know.
33,father,llama3_1_8b_instruct_baseline,What is Isabella Hall's father’s first name?,I don't know.
34,father,llama3_1_8b_instruct_baseline,What is Ava Clark's father’s first name?,I don't know.
35,father,llama3_1_8b_instruct_baseline,What is Madison Miller's father’s first name?,I don't know.
36,father,llama3_1_8b_instruct_baseline,What is Emily Thomas's father’s first name?,I don't know.
37,father,llama3_1_8b_instruct_baseline,What is Ashley Moore's father’s first name?,I don't know.
38,father,llama3_1_8b_instruct_baseline,What is Hannah Moore's father’s first name?,I don't know.
39,father,llama3_1_8b_instruct_baseline,What is Isabella Johnson's father’s first name?,I don't know.
40,father,llama3_1_8b_instruct_baseline,What is Madison Thompson's father’s first name?,I don't know.
41,father,llama3_1_8b_instruct_baseline,What is Rachel Harris's father’s first name?,I don't know.
42,father,llama3_1_8b_instruct_baseline,What is Rachel Miller's father’s first name?,I don't know.
43,father,llama3_1_8b_instruct_baseline,What is Megan Wilson's father’s first name?,I don't know.
44,father,llama3_1_8b_instruct_baseline,What is Sarah Young's father’s first name?,I don't know.
45,father,llama3_1_8b_instruct_baseline,What is Kayla Johnson's father’s first name?,I don't know.
46,father,llama3_1_8b_instruct_baseline,What is Emily Johnson's father’s first name?,I don't know.
47,father,llama3_1_8b_instruct_baseline,What is Mia Moore's father’s first name?,I don't know.
