model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,euclidean,train,75,25,2,0.08,72,0.0,0.0,0.014495798319327732,69.0,70.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,euclidean,train,51,17,3,0.17647058823529413,43,0.3333333333333333,0.3333333333333333,0.35269360269360267,23.333333333333332,33.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,euclidean,train,60,20,1,0.05,60,0.0,0.0,0.02857142857142857,35.0,35.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,euclidean,train,223,75,6,0.08,220,0.0,0.0,0.014474075102586083,118.33333333333333,108.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,euclidean,train,505,169,146,0.863905325443787,141,0.0136986301369863,0.3835616438356164,0.11675761927584823,32.95890410958904,19.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,euclidean,train,627,209,197,0.9425837320574163,79,0.10152284263959391,0.4873096446700508,0.20724002419508397,19.583756345177665,11.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,euclidean,train,710,237,237,1.0,5,0.7426160337552743,1.0,0.8135021097046413,1.7257383966244726,1.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,euclidean,train,57,19,18,0.9473684210526315,9,0.3333333333333333,1.0,0.5703703703703704,2.5555555555555554,2.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,euclidean,train,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,euclidean,train,743,248,6,0.024193548387096774,727,0.0,0.16666666666666666,0.027500897591746662,263.8333333333333,299.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,euclidean,train,745,249,16,0.0642570281124498,729,0.0,0.0,0.0037379290537423717,470.125,530.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,euclidean,train,689,230,225,0.9782608695652174,27,0.6622222222222223,0.8755555555555555,0.759876589622204,3.12,1.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,euclidean,train,615,206,204,0.9902912621359223,29,0.3382352941176471,0.8137254901960784,0.46842229453612366,6.053921568627451,4.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,euclidean,train,384,129,129,1.0,6,0.4108527131782946,1.0,0.6421188630490957,2.0697674418604652,2.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,euclidean,train,714,238,237,0.9957983193277311,13,0.4219409282700422,0.9915611814345991,0.5922310811551321,3.3248945147679323,2.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,euclidean,train,238,80,80,1.0,5,0.2,1.0,0.44125,3.1,3.0,306.1748962402344
qwen2_5_7b_instruct,person_university,euclidean,train,68,23,5,0.21739130434782608,52,0.0,0.4,0.11865981240981238,18.6,18.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,euclidean,train,33,11,0,0.0,33,nan,nan,nan,nan,nan,243.78701782226562
qwen2_5_7b_instruct,product_by_company,euclidean,train,391,131,129,0.9847328244274809,28,0.21705426356589147,0.7596899224806202,0.3706419550836572,7.75968992248062,5.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,euclidean,train,271,91,87,0.9560439560439561,28,0.1724137931034483,0.7816091954022989,0.29496891829015237,7.494252873563219,7.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,euclidean,train,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,euclidean,train,72,24,3,0.125,69,0.3333333333333333,0.3333333333333333,0.3587891296869625,25.0,17.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,euclidean,train,75,25,0,0.0,75,nan,nan,nan,nan,nan,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,euclidean,train,39,13,0,0.0,38,nan,nan,nan,nan,nan,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,euclidean,train,57,19,0,0.0,57,nan,nan,nan,nan,nan,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,euclidean,train,180,61,61,1.0,25,0.5901639344262295,0.8852459016393442,0.6821174863387978,4.032786885245901,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,euclidean,train,180,61,61,1.0,18,0.22950819672131148,0.6721311475409836,0.38206031887324066,6.295081967213115,4.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,euclidean,train,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,387.233642578125
