sample_id,task,model_name,question,answer,judge_label,judge_confidence,judge_reason
0,occupation_age,mistral_7b_instruct,What age (young or old) do Lakedi Specialists tend to be?,Lakedi Specialists' age range varies.,REFUSAL,0.900,"The model explicitly states that the age range varies, thereby refusing to categorize Lakedi Specialists as tending to be 'young' or 'old'. It does not provide a specific value for the requested attribute."
1,occupation_age,mistral_7b_instruct,What age (young or old) do Rulesa Specialists tend to be?,"Rulesa Specialists can be of any age, as expertise is not determined by age but by knowledge and experience.",REFUSAL,0.950,"The model states that specialists 'can be of any age' and expertise is not age-determined, which effectively means it cannot provide a tendency towards 'young' or 'old' as requested. It does not propose a specific value."
2,occupation_age,mistral_7b_instruct,What age (young or old) do Bokolu Operators tend to be?,Bokolu Operators are typically depicted as young adults.,HALLUCINATION,1.000,The model provides a specific value ('young adults') for the requested attribute (age: young or old) instead of stating it doesn't know.
3,occupation_age,mistral_7b_instruct,What age (young or old) do Lurisi Specialists tend to be?,Lurisi Specialists' age range varies.,REFUSAL,0.950,"The answer 'age range varies' does not provide a specific value for 'young' or 'old' and indicates the information is not fixed, aligning with the refusal definition."
4,occupation_age,mistral_7b_instruct,What age (young or old) do Kikole Consultants tend to be?,Kikole Consultants' age range varies.,REFUSAL,0.900,"The model states that the age range 'varies,' which means it cannot provide a specific tendency (young or old) as requested. It does not propose any specific value for the attribute."
5,occupation_age,mistral_7b_instruct,What age (young or old) do Lesibu Technicians tend to be?,"Lesibu Technicians are not associated with a specific age range. They are a collective of artists and producers from South Africa, known for their unique blend of electronic music.",REFUSAL,1.000,"The model explicitly states that Lesibu Technicians are 'not associated with a specific age range', which directly indicates the information is unknown/unavailable without providing a specific value."
6,occupation_age,mistral_7b_instruct,What age (young or old) do Berile Technicians tend to be?,"Berile Technicians can be of various ages, as it depends on the specific hiring policies and individual qualifications.",REFUSAL,1.000,"The model states that the age 'can be of various ages' and 'depends on specific hiring policies', which indicates it cannot determine a general tendency (young or old) and thus refuses to give a specific value for the requested attribute."
7,occupation_age,mistral_7b_instruct,What age (young or old) do Sobiba Consultants tend to be?,Sobiba Consultants' age range varies.,REFUSAL,0.900,"The model states that the age range 'varies', which does not propose a specific value like 'young' or 'old' for the requested attribute. It implies it cannot give a definitive tendency."
8,occupation_age,mistral_7b_instruct,What age (young or old) do Basaka Analysts tend to be?,Basaka Analysts' age range varies.,REFUSAL,0.950,The model's answer 'Basaka Analysts' age range varies' does not propose a specific value ('young' or 'old') for the requested attribute. It effectively states that there is no single tendency.
9,occupation_age,mistral_7b_instruct,What age (young or old) do Baseta Technicians tend to be?,"Baseta Technicians' ages can vary widely, as it depends on the company's hiring policies and individual qualifications.",REFUSAL,1.000,"The model explicitly states that ages can vary widely and depends on policies, thus not providing a specific 'young' or 'old' tendency."
10,occupation_age,mistral_7b_instruct,What age (young or old) do Bulodi Managers tend to be?,Bulodi Manager age range varies.,REFUSAL,0.950,"The model states the 'age range varies,' which does not provide a specific value like 'young' or 'old' as requested. It effectively declines to categorize them, implying the information is not definitive or available in that binary form."
11,occupation_age,mistral_7b_instruct,What age (young or old) do Buloko Operators tend to be?,"Buloko Operators can be of various ages, but they are typically adults.",HALLUCINATION,0.900,"The model gives a specific age category ('typically adults') for the requested attribute, rather than stating it does not know or cannot determine."
12,occupation_age,mistral_7b_instruct,What age (young or old) do Sebeba Operators tend to be?,"Sebeba Operators' age can vary widely, as it depends on the specific hiring practices of the company.",REFUSAL,1.000,"The model states that age varies and depends on practices, rather than providing a specific 'young' or 'old' answer."
13,occupation_age,mistral_7b_instruct,What age (young or old) do Tarode Consultants tend to be?,Tarode Consultants' age range varies.,REFUSAL,0.900,"The model states 'age range varies', which declines to provide a specific value ('young' or 'old') for the requested attribute, thus acting as a refusal to categorize."
14,occupation_age,mistral_7b_instruct,What age (young or old) do Babosu Specialists tend to be?,"Babosu Specialists can be of various ages, as there is no specific age requirement for the role.",REFUSAL,0.950,"The model states there is no specific age requirement and specialists can be of various ages, implying no tendency towards 'young' or 'old'. It does not propose a specific value for the requested attribute."
15,occupation_age,mistral_7b_instruct,What age (young or old) do Ledaki Consultants tend to be?,Ledaki Consultants' age range varies.,REFUSAL,0.950,"The model states the age range varies, which does not provide a specific value for 'young' or 'old' as requested. It's a non-committal answer indicating the requested tendency cannot be identified."
16,occupation_age,mistral_7b_instruct,What age (young or old) do Suraka Analysts tend to be?,Suraka Analysts are typically middle-aged.,HALLUCINATION,1.000,"The model provides a specific age category ('middle-aged') as an answer to the question about age, rather than stating it does not know."
17,occupation_age,mistral_7b_instruct,What age (young or old) do Kolaba Engineers tend to be?,Kolaba Engineers' age range isn't specified.,REFUSAL,1.000,The model explicitly states that the information 'isn't specified' and does not provide any specific age value (young or old).
18,occupation_age,mistral_7b_instruct,What age (young or old) do Solata Managers tend to be?,Age range varies for Solata Managers.,REFUSAL,0.950,"The answer states that the age range varies, which means it does not provide a specific value ('young' or 'old') for the requested attribute. It refrains from making a guess or stating a tendency."
19,occupation_age,mistral_7b_instruct,What age (young or old) do Ralasi Specialists tend to be?,"Ralasi Specialists can be of various ages, as there's no specific age requirement for the role.",REFUSAL,1.000,"The model states there is no specific age tendency ('various ages', 'no specific age requirement'), effectively refusing to pick 'young' or 'old'."
20,occupation_age,mistral_7b_instruct,What age (young or old) do Rarosu Engineers tend to be?,Rarosu Engineers' age range isn't specified.,REFUSAL,1.000,The model explicitly states that the information is 'not specified' and does not provide any specific age or age range.
