model_key,relation_key,relation_group,subject,question_one_line,gold_answer_one_line,model_answer_one_line,judge_label,delta_cos,hall_rate_answered,n_test
llama3_1_8b_instruct,adj_antonym,linguistic,begin,What is the opposite of begin?,finish,End.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,build,What is the opposite of build?,demolish,Dismantle.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,cheer,What is the opposite of cheer?,boo,Despair.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,close,What is the opposite of close?,open,Distant.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,expand,What is the opposite of expand?,shrink,Contract.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,fast,What is the opposite of fast?,stop,Slow.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,fast,What is the opposite of fast?,crawl,Slow.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,forgive,What is the opposite of forgive?,blame,Hold a grudge.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,gentle,What is the opposite of gentle?,rough,Harsh.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,give,What is the opposite of give?,receive,Take.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,happy,What is the opposite of happy?,sad,Unhappy.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,happy,What is the opposite of happy?,angry,Unhappy.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,healthy,What is the opposite of healthy?,sick,Unhealthy.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,honest,What is the opposite of honest?,dishonest,Deceptive.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,laugh,What is the opposite of laugh?,sob,Cry.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,open,What is the opposite of open?,shut,Closed.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,open,What is the opposite of open?,lock,Closed.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,put,What is the opposite of put?,remove,Take.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,right,What is the opposite of right?,wrong,Left.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,start,What is the opposite of start?,end,Stop.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,straight,What is the opposite of straight?,curved,Crooked.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,below,Down.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,out,Down.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,up,What is the opposite of up?,off,Down.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_antonym,linguistic,win,What is the opposite of win?,surrender,Lose.,HALLUCINATION,,0.25,25
llama3_1_8b_instruct,adj_comparative,linguistic,false,What is the comparative form of false?,falser,More false.,HALLUCINATION,,0.0588235294117647,17
llama3_1_8b_instruct,adj_comparative,linguistic,fresh,What is the comparative form of fresh?,fresher,"Fresh is a flat adverb, so it doesn't have a comparative form.",HALLUCINATION,,0.0588235294117647,17
llama3_1_8b_instruct,adj_comparative,linguistic,fresh,What is the comparative form of fresh?,fresher,"Fresh is a flat adverb, so it doesn't have a comparative form.",HALLUCINATION,,0.0588235294117647,17
llama3_1_8b_instruct,adj_comparative,linguistic,ugly,What is the comparative form of ugly?,uglier,More ugly.,HALLUCINATION,,0.0588235294117647,17
llama3_1_8b_instruct,adj_superlative,linguistic,brave,What is the superlative form of brave?,bravest,Most brave.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,calm,What is the superlative form of calm?,calmest,Most calm.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,crazy,What is the superlative form of crazy?,craziest,Most crazy.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,dark,What is the superlative form of dark?,darkest,Darker.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,fierce,What is the superlative form of fierce?,fiercest,Most fierce.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,full,What is the superlative form of full?,fullest,Most full.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,gentle,What is the superlative form of gentle?,gentlest,Most gentle.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,hungry,What is the superlative form of hungry?,hungriest,Most hungry.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,lazy,What is the superlative form of lazy?,laziest,Most lazy.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,mad,What is the superlative form of mad?,maddest,Most mad.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,messy,What is the superlative form of messy?,messiest,Most messy.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,polite,What is the superlative form of polite?,politest,Most polite.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,shy,What is the superlative form of shy?,shyest,Most shy.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,tiny,What is the superlative form of tiny?,tiniest,Smallest.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,true,What is the superlative form of true?,truest,Most true.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,ugly,What is the superlative form of ugly?,ugliest,Most ugly.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,wet,What is the superlative form of wet?,wettest,Most wet.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,wild,What is the superlative form of wild?,wildest,Most wild.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,wrong,What is the superlative form of wrong?,wrongest,Most wrong.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,adj_superlative,linguistic,zesty,What is the superlative form of zesty?,zestiest,Most zesty.,HALLUCINATION,,0.25,20
llama3_1_8b_instruct,company_ceo,factual,ABB Group,Who is the CEO of ABB Group?,Ulrich Spiesshofer,Björn Rosengren.,HALLUCINATION,,0.4907063197026022,75
llama3_1_8b_instruct,company_ceo,factual,AC Sparta Prague,Who is the CEO of AC Sparta Prague?,Daniel Křetínský,Jaroslav Tvrdík.,HALLUCINATION,,0.4907063197026022,75
llama3_1_8b_instruct,company_ceo,factual,AMD,Who is the CEO of AMD?,Lisa Su,"Lizhuo ""Liz"" Huang",HALLUCINATION,,0.4907063197026022,75
llama3_1_8b_instruct,company_ceo,factual,Accor,Who is the CEO of Accor?,Sven Boinet,Sebastien Bazin.,HALLUCINATION,,0.4907063197026022,75
llama3_1_8b_instruct,company_ceo,factual,Adidas AG,Who is the CEO of Adidas AG?,Bjørn Gulden,Helena Foulkes.,HALLUCINATION,,0.4907063197026022,75
