sample_id,task,model_name,question,answer
0,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Willowdale Capital?,I don't have that information.
1,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Millbrook Motors?,John Doe
2,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Westhaven Media?,I don't have the specific information about the current CEO of Westhaven Media.
3,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Harborview Security?,I don't have that information.
4,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Brightfield Technologies?,John Smith
5,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Northfield Aerospace?,I don't have the specific information about the current CEO of Northfield Aerospace.
6,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Foxwood Ventures?,David S. Gelbaum
7,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Windmere Works?,I don't have that information.
8,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Bluehaven Properties?,I don't have the specific information about the current CEO of Bluehaven Properties.
9,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Stormvale Software?,I don't have that information.
10,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Bluehaven Biotech?,I don't have the specific information about the CEO of Bluehaven Biotech.
11,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Ironwood Automation?,John Mitchell
12,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Hillcrest Corporation?,I don't have the specific information about the current CEO of Hillcrest Corporation.
13,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Kingsford International?,I don't have the specific information about the current CEO of Kingsford International.
14,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Silverbrook Finance?,I don't have that information.
15,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Windmere Retail?,I don't have that information.
16,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Silverbrook Studios?,Michael Silverbrook
17,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Foxwood Biotech?,Jared McReary
18,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Maplecrest Software?,I don't have that information.
19,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Fairmont Industries?,Mark Smith
20,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Clearwater Biotech?,Mark Thompson
21,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Northfield Finance?,I don't have the specific information about the current CEO of Northfield Finance.
22,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Foxwood Works?,"I don't have the specific information about the CEO of Foxwood Works. Could you provide more context about Foxwood Works, please?"
23,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Summit Dynamics?,I don't have the specific information about the current CEO of Summit Dynamics.
24,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Kingsford Biotech?,I don't have the specific information about the current CEO of Kingsford Biotech.
25,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Goldenleaf Software?,I don't have the specific information about the CEO of Goldenleaf Software.
26,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Stormvale Resources?,Ivanov Alexei
27,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Evercrest Finance?,John Harper
28,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Skyline Technologies?,I don't have the specific information about the current CEO of Skyline Technologies.
29,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Highland Logistics?,I don't have the specific information about the current CEO of Highland Logistics.
30,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Stonegate Logistics?,I don't have the specific information on the current CEO of Stonegate Logistics. Check the latest corporate filings or company website for the most accurate details.
31,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Rivermark Aerospace?,I don't have the specific information about the current CEO of Rivermark Aerospace.
32,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Crescent Holdings?,Irene Khan
33,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Harborview Motors?,I don't have that information.
34,company_ceo,qwen2_5_7b_instruct_relpanel,Who is the CEO of Eastgate Studios?,Chris Greenough
